indicator_id,metric_title,public_explorer_visible,currently_in_app,theme,subtheme,ui_tier,source_key,source_name,source_file_or_api,source_geography,geography_version,source_period,unit,aggregation_method,benchmark_method,last_refresh_date,default_view,primary_visualisation,secondary_visualisation,compact_view_options,full_view_options,module_bundle_view,comparison_view,trend_view,map_view,source_url,docs_url,caveats
ea_flood_area_overlap_share,Flood area overlap share,True,True,Environment & Access,Environment & air quality,advanced,ea_flood_area_neighbourhood_snapshot,Environment Agency Flood Monitoring API,london_maps/data_for_app/Environment_Agency/ea_flood_area_neighbourhood_snapshot.csv,Neighbourhood,current custom neighbourhoods,snapshot,share,recompute_rate_from_numerator_denominator,direct_aggregate,2026-03-22,benchmark_lollipop,benchmark_lollipop,choropleth_map,benchmark_lollipop | choropleth_map,benchmark_lollipop | choropleth_map | ranked_distribution,,benchmark_lollipop,,choropleth_map,https://environment.data.gov.uk/flood-monitoring/doc/reference,https://environment.data.gov.uk/flood-monitoring/doc/reference,This is a contextual overlap measure based on Environment Agency flood-area polygons. It should not be read as a prediction of flooding or realised flood events.
dft_average_annual_daily_traffic,Average annual daily motor traffic,True,True,Environment & Access,Transport & connectivity,advanced,dft_average_annual_daily_traffic_neighbourhood_snapshot,Department for Transport Road Traffic Statistics API,london_maps/data_for_app/DfT/dft_average_annual_daily_traffic_neighbourhood_snapshot.csv,Traffic count points summarised to neighbourhood,current custom neighbourhoods,annual,count,area_weighted_mean,direct_aggregate,2026-03-22,benchmark_lollipop,benchmark_lollipop,ranked_distribution,benchmark_lollipop,benchmark_lollipop | ranked_distribution,,benchmark_lollipop,,,https://roadtraffic.dft.gov.uk/,https://roadtraffic.dft.gov.uk/api-docs,This is a sampled traffic-flow context measure based on DfT count points and link lengths. It should not be read as total traffic on every street in the neighbourhood.
naptan_bus_access_node_count,Bus access node count,True,True,Environment & Access,Transport & connectivity,advanced,naptan_access_nodes_neighbourhood_snapshot,NaPTAN / NPTG API,london_maps/data_for_app/NaPTAN/naptan_access_nodes_neighbourhood_snapshot.csv,Neighbourhood,current custom neighbourhoods,snapshot,count,sum_counts,direct_aggregate,2026-03-22,benchmark_lollipop,benchmark_lollipop,ranked_strip,benchmark_lollipop,benchmark_lollipop | ranked_strip,domain_tile_matrix,benchmark_lollipop,,,https://beta-naptan.dft.gov.uk/,https://naptan.api.dft.gov.uk/swagger/index.html,"Bus access nodes capture stop infrastructure within the neighbourhood boundary, not service frequency or reliability."
tfl_cycle_dock_capacity_total,Cycle dock capacity,True,True,Environment & Access,Transport & connectivity,advanced,tfl_cycle_docking_station_neighbourhood_snapshot,TfL Unified API,london_maps/data_for_app/TfL/tfl_cycle_docking_station_neighbourhood_snapshot.csv,Neighbourhood,current custom neighbourhoods,snapshot,count,sum_counts,direct_aggregate,2026-03-22,benchmark_lollipop,benchmark_lollipop,ranked_distribution,benchmark_lollipop,benchmark_lollipop | ranked_distribution,domain_tile_matrix,benchmark_lollipop,,,https://api.tfl.gov.uk/BikePoint,https://api.tfl.gov.uk/,"Dock capacity sums the total number of docking spaces at cycle-hire stations within the neighbourhood. It is a specific cycle-access context measure, not a full transport-capacity metric."
tfl_cycle_dock_capacity_density,Cycle dock capacity density,True,True,Environment & Access,Transport & connectivity,advanced,tfl_cycle_docking_station_neighbourhood_snapshot,TfL Unified API,london_maps/data_for_app/TfL/tfl_cycle_docking_station_neighbourhood_snapshot.csv,Neighbourhood,current custom neighbourhoods,snapshot,density_per_sq_km,recompute_rate_from_numerator_denominator,direct_aggregate,2026-03-22,benchmark_lollipop,benchmark_lollipop,choropleth_map,benchmark_lollipop | choropleth_map,benchmark_lollipop | choropleth_map | ranked_distribution,domain_tile_matrix,benchmark_lollipop,,choropleth_map,https://api.tfl.gov.uk/BikePoint,https://api.tfl.gov.uk/,"Dock-capacity density gives a more comparable view of cycle-hire infrastructure than raw totals, but it is still only one part of local transport access."
tfl_cycle_docking_station_count,Cycle docking station count,True,True,Environment & Access,Transport & connectivity,advanced,tfl_cycle_docking_station_neighbourhood_snapshot,TfL Unified API,london_maps/data_for_app/TfL/tfl_cycle_docking_station_neighbourhood_snapshot.csv,Neighbourhood,current custom neighbourhoods,snapshot,count,sum_counts,direct_aggregate,2026-03-22,benchmark_lollipop,benchmark_lollipop,ranked_distribution,benchmark_lollipop,benchmark_lollipop | ranked_distribution,domain_tile_matrix,benchmark_lollipop,,,https://api.tfl.gov.uk/BikePoint,https://api.tfl.gov.uk/,"Cycle docking station counts show cycle-hire infrastructure within the neighbourhood boundary. They are a bounded transport-access context measure, not a full public transport accessibility score."
tfl_cycle_docking_station_density,Cycle docking station density,True,True,Environment & Access,Transport & connectivity,standard,tfl_cycle_docking_station_neighbourhood_snapshot,TfL Unified API,london_maps/data_for_app/TfL/tfl_cycle_docking_station_neighbourhood_snapshot.csv,Neighbourhood,current custom neighbourhoods,snapshot,density_per_sq_km,recompute_rate_from_numerator_denominator,direct_aggregate,2026-03-22,benchmark_lollipop,benchmark_lollipop,choropleth_map,benchmark_lollipop | choropleth_map,benchmark_lollipop | choropleth_map | ranked_distribution,domain_tile_matrix,benchmark_lollipop,,choropleth_map,https://api.tfl.gov.uk/BikePoint,https://api.tfl.gov.uk/,"Density is more comparable than a raw count, but it still reflects the limited geography of the cycle-hire network rather than overall transport accessibility."
naptan_public_transport_access_node_count,Public transport access node count,True,True,Environment & Access,Transport & connectivity,standard,naptan_access_nodes_neighbourhood_snapshot,NaPTAN / NPTG API,london_maps/data_for_app/NaPTAN/naptan_access_nodes_neighbourhood_snapshot.csv,Neighbourhood,current custom neighbourhoods,snapshot,count,sum_counts,direct_aggregate,2026-03-22,benchmark_lollipop,benchmark_lollipop,ranked_distribution,benchmark_lollipop,benchmark_lollipop | ranked_distribution,domain_tile_matrix,benchmark_lollipop,,,https://beta-naptan.dft.gov.uk/,https://naptan.api.dft.gov.uk/swagger/index.html,"Counts transport access nodes within neighbourhood boundaries. This is an infrastructure proxy, not a full public transport accessibility score."
naptan_access_node_density,Public transport access node density,True,True,Environment & Access,Transport & connectivity,standard,naptan_access_nodes_neighbourhood_snapshot,NaPTAN / NPTG API,london_maps/data_for_app/NaPTAN/naptan_access_nodes_neighbourhood_snapshot.csv,Neighbourhood,current custom neighbourhoods,snapshot,density_per_sq_km,recompute_rate_from_numerator_denominator,direct_aggregate,2026-03-22,benchmark_lollipop,benchmark_lollipop,choropleth_map,benchmark_lollipop,benchmark_lollipop | choropleth_map | choropleth_map,domain_tile_matrix,benchmark_lollipop,,choropleth_map,https://beta-naptan.dft.gov.uk/,https://naptan.api.dft.gov.uk/swagger/index.html,"Density is based on access nodes per square kilometre. It is more comparable than a raw count, but it still represents transport infrastructure proxy rather than full access quality."
naptan_rail_and_tube_node_count,Rail and tube access node count,True,True,Environment & Access,Transport & connectivity,advanced,naptan_access_nodes_neighbourhood_snapshot,NaPTAN / NPTG API,london_maps/data_for_app/NaPTAN/naptan_access_nodes_neighbourhood_snapshot.csv,Neighbourhood,current custom neighbourhoods,snapshot,count,sum_counts,direct_aggregate,2026-03-22,benchmark_lollipop,benchmark_lollipop,ranked_strip,benchmark_lollipop,benchmark_lollipop | ranked_strip,domain_tile_matrix,benchmark_lollipop,,,https://beta-naptan.dft.gov.uk/,https://naptan.api.dft.gov.uk/swagger/index.html,"Rail and tube access nodes capture station infrastructure within the neighbourhood boundary, not service frequency, connectivity, or capacity."
