lsoa21cd,lsoa21nm,borough_code,borough_name,ward25cd,ward25nm,icb_code,neighbourhood_id,neighbourhood_name,assignment_method,assignment_source_file,definition_group,manual_override,manual_override_detail
E01000001,City of London 001A,E09000001,City of London,E05009288,Aldersgate,NEL,nel__city_and_hackney_shoreditch_park_and_city,City and Hackney Shoreditch Park and City,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000002,City of London 001B,E09000001,City of London,E05009302,Cripplegate,NEL,nel__city_and_hackney_shoreditch_park_and_city,City and Hackney Shoreditch Park and City,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000003,City of London 001C,E09000001,City of London,E05009302,Cripplegate,NEL,nel__city_and_hackney_shoreditch_park_and_city,City and Hackney Shoreditch Park and City,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000005,City of London 001E,E09000001,City of London,E05009308,Portsoken,NEL,nel__city_and_hackney_shoreditch_park_and_city,City and Hackney Shoreditch Park and City,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000006,Barking and Dagenham 016A,E09000002,Barking and Dagenham,E05014066,Northbury,NEL,nel__barking_and_dagenham_west,Barking and Dagenham West,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000007,Barking and Dagenham 015A,E09000002,Barking and Dagenham,E05014066,Northbury,NEL,nel__barking_and_dagenham_west,Barking and Dagenham West,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000008,Barking and Dagenham 015B,E09000002,Barking and Dagenham,E05014066,Northbury,NEL,nel__barking_and_dagenham_west,Barking and Dagenham West,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000009,Barking and Dagenham 016B,E09000002,Barking and Dagenham,E05014066,Northbury,NEL,nel__barking_and_dagenham_west,Barking and Dagenham West,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000011,Barking and Dagenham 016C,E09000002,Barking and Dagenham,E05014066,Northbury,NEL,nel__barking_and_dagenham_west,Barking and Dagenham West,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000012,Barking and Dagenham 015D,E09000002,Barking and Dagenham,E05014066,Northbury,NEL,nel__barking_and_dagenham_west,Barking and Dagenham West,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000013,Barking and Dagenham 013A,E09000002,Barking and Dagenham,E05014067,Parsloes,NEL,nel__barking_and_dagenham_east,Barking and Dagenham East,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000014,Barking and Dagenham 013B,E09000002,Barking and Dagenham,E05014067,Parsloes,NEL,nel__barking_and_dagenham_east,Barking and Dagenham East,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000015,Barking and Dagenham 009A,E09000002,Barking and Dagenham,E05014054,Alibon,NEL,nel__barking_and_dagenham_east,Barking and Dagenham East,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000016,Barking and Dagenham 009B,E09000002,Barking and Dagenham,E05014054,Alibon,NEL,nel__barking_and_dagenham_east,Barking and Dagenham East,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000017,Barking and Dagenham 009C,E09000002,Barking and Dagenham,E05014067,Parsloes,NEL,nel__barking_and_dagenham_east,Barking and Dagenham East,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000018,Barking and Dagenham 009D,E09000002,Barking and Dagenham,E05014054,Alibon,NEL,nel__barking_and_dagenham_east,Barking and Dagenham East,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000019,Barking and Dagenham 023A,E09000002,Barking and Dagenham,E05014057,Becontree,NEL,nel__barking_and_dagenham_north,Barking and Dagenham North,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000020,Barking and Dagenham 023B,E09000002,Barking and Dagenham,E05014057,Becontree,NEL,nel__barking_and_dagenham_north,Barking and Dagenham North,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000021,Barking and Dagenham 008A,E09000002,Barking and Dagenham,E05014057,Becontree,NEL,nel__barking_and_dagenham_north,Barking and Dagenham North,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000022,Barking and Dagenham 008B,E09000002,Barking and Dagenham,E05014057,Becontree,NEL,nel__barking_and_dagenham_north,Barking and Dagenham North,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000024,Barking and Dagenham 008D,E09000002,Barking and Dagenham,E05014065,Mayesbrook,NEL,nel__barking_and_dagenham_west,Barking and Dagenham West,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000025,Barking and Dagenham 008E,E09000002,Barking and Dagenham,E05014065,Mayesbrook,NEL,nel__barking_and_dagenham_west,Barking and Dagenham West,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000027,Barking and Dagenham 001A,E09000002,Barking and Dagenham,E05014058,Chadwell Heath,NEL,nel__barking_and_dagenham_north,Barking and Dagenham North,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000028,Barking and Dagenham 001B,E09000002,Barking and Dagenham,E05014058,Chadwell Heath,NEL,nel__barking_and_dagenham_north,Barking and Dagenham North,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000029,Barking and Dagenham 001C,E09000002,Barking and Dagenham,E05014058,Chadwell Heath,NEL,nel__barking_and_dagenham_north,Barking and Dagenham North,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
