period,lsoa21cd,gp_registered_population_total,gp_registered_population_female,gp_registered_population_male
2023-01-01,E01000001,1661.0,748.0,913.0
2023-01-01,E01000002,1681.0,760.0,921.0
2023-01-01,E01000003,1796.0,829.0,967.0
2023-01-01,E01000005,2210.0,1146.0,1064.0
2023-01-01,E01000006,2385.0,1123.0,1262.0
2023-01-01,E01000007,3521.0,1721.0,1800.0
2023-01-01,E01000008,2095.0,1011.0,1084.0
2023-01-01,E01000009,2791.0,1220.0,1571.0
2023-01-01,E01000011,2551.0,1097.0,1454.0
2023-01-01,E01000012,3090.0,1508.0,1582.0
2023-01-01,E01000013,2171.0,1082.0,1089.0
2023-01-01,E01000014,2031.0,1027.0,1004.0
2023-01-01,E01000015,2719.0,1360.0,1359.0
2023-01-01,E01000016,2143.0,1082.0,1061.0
2023-01-01,E01000017,2057.0,1014.0,1043.0
2023-01-01,E01000018,2027.0,1033.0,994.0
2023-01-01,E01000019,1912.0,934.0,978.0
2023-01-01,E01000020,2238.0,1067.0,1171.0
2023-01-01,E01000021,2291.0,1098.0,1193.0
2023-01-01,E01000022,1764.0,877.0,887.0
2023-01-01,E01000024,1739.0,838.0,901.0
2023-01-01,E01000025,2104.0,1049.0,1055.0
2023-01-01,E01000027,2179.0,1115.0,1064.0
2023-01-01,E01000028,2060.0,1037.0,1023.0
2023-01-01,E01000029,1883.0,956.0,927.0
2023-01-01,E01000030,2680.0,1403.0,1277.0
2023-01-01,E01000031,2017.0,996.0,1021.0
2023-01-01,E01000032,2336.0,1130.0,1206.0
2023-01-01,E01000033,1698.0,851.0,847.0
2023-01-01,E01000034,1789.0,925.0,864.0
2023-01-01,E01000035,2176.0,1086.0,1090.0
2023-01-01,E01000036,1768.0,864.0,904.0
2023-01-01,E01000037,1730.0,846.0,884.0
2023-01-01,E01000038,1922.0,986.0,936.0
2023-01-01,E01000039,1886.0,957.0,929.0
2023-01-01,E01000040,2206.0,1074.0,1132.0
2023-01-01,E01000041,2091.0,1048.0,1043.0
2023-01-01,E01000042,2266.0,1090.0,1176.0
2023-01-01,E01000043,1841.0,888.0,953.0
2023-01-01,E01000044,2652.0,1229.0,1423.0
2023-01-01,E01000045,2173.0,1067.0,1106.0
2023-01-01,E01000046,2279.0,1146.0,1133.0
2023-01-01,E01000049,1791.0,873.0,918.0
2023-01-01,E01000050,2227.0,1033.0,1194.0
2023-01-01,E01000051,1264.0,631.0,633.0
2023-01-01,E01000052,2881.0,1415.0,1466.0
2023-01-01,E01000053,1809.0,893.0,916.0
2023-01-01,E01000054,2265.0,1117.0,1148.0
2023-01-01,E01000055,1905.0,920.0,985.0
2023-01-01,E01000056,1948.0,1007.0,941.0
2023-01-01,E01000057,1719.0,883.0,836.0
2023-01-01,E01000058,2374.0,1184.0,1190.0
2023-01-01,E01000059,1985.0,1008.0,977.0
2023-01-01,E01000060,2249.0,1122.0,1127.0
2023-01-01,E01000061,2560.0,1329.0,1231.0
2023-01-01,E01000062,2444.0,1220.0,1224.0
2023-01-01,E01000063,1961.0,921.0,1040.0
2023-01-01,E01000064,2542.0,1299.0,1243.0
2023-01-01,E01000065,2399.0,1164.0,1235.0
2023-01-01,E01000066,2516.0,1242.0,1274.0
2023-01-01,E01000067,2570.0,1261.0,1309.0
2023-01-01,E01000068,2168.0,1024.0,1144.0
2023-01-01,E01000069,2238.0,1097.0,1141.0
2023-01-01,E01000070,2437.0,1185.0,1252.0
2023-01-01,E01000071,3059.0,1493.0,1566.0
2023-01-01,E01000072,2508.0,1227.0,1281.0
2023-01-01,E01000073,2157.0,1056.0,1101.0
2023-01-01,E01000074,2022.0,1017.0,1005.0
2023-01-01,E01000075,2325.0,1110.0,1215.0
2023-01-01,E01000076,2389.0,1186.0,1203.0
2023-01-01,E01000077,2136.0,1063.0,1073.0
2023-01-01,E01000078,2075.0,1058.0,1017.0
2023-01-01,E01000079,2075.0,1052.0,1023.0
2023-01-01,E01000080,1954.0,958.0,996.0
2023-01-01,E01000081,2148.0,1088.0,1060.0
2023-01-01,E01000082,2061.0,1000.0,1061.0
2023-01-01,E01000083,2145.0,1084.0,1061.0
2023-01-01,E01000084,1769.0,863.0,906.0
2023-01-01,E01000085,1992.0,995.0,997.0
2023-01-01,E01000086,1750.0,869.0,881.0
2023-01-01,E01000087,1890.0,949.0,941.0
2023-01-01,E01000088,2364.0,1177.0,1187.0
2023-01-01,E01000089,2222.0,1099.0,1123.0
2023-01-01,E01000090,2049.0,1017.0,1032.0
2023-01-01,E01000091,2610.0,1289.0,1321.0
2023-01-01,E01000093,2283.0,1089.0,1194.0
2023-01-01,E01000094,2858.0,1430.0,1428.0
2023-01-01,E01000095,2699.0,1411.0,1288.0
2023-01-01,E01000096,2047.0,1014.0,1033.0
2023-01-01,E01000097,2147.0,1089.0,1058.0
2023-01-01,E01000098,2315.0,1165.0,1150.0
2023-01-01,E01000099,3125.0,1567.0,1558.0
2023-01-01,E01000100,1968.0,998.0,970.0
2023-01-01,E01000101,2170.0,1092.0,1078.0
2023-01-01,E01000102,2217.0,1152.0,1065.0
2023-01-01,E01000103,2040.0,1035.0,1005.0
2023-01-01,E01000104,2201.0,1132.0,1069.0
2023-01-01,E01000105,2781.0,1401.0,1380.0
2023-01-01,E01000106,2711.0,1394.0,1317.0
2023-01-01,E01000107,2014.0,1017.0,997.0
2023-01-01,E01000108,2197.0,1083.0,1114.0
2023-01-01,E01000110,1760.0,849.0,911.0
2023-01-01,E01000111,2274.0,1126.0,1148.0
2023-01-01,E01000112,2348.0,1142.0,1206.0
2023-01-01,E01000113,2340.0,1119.0,1221.0
2023-01-01,E01000114,2781.0,1377.0,1404.0
2023-01-01,E01000115,1540.0,777.0,763.0
2023-01-01,E01000116,1839.0,942.0,897.0
2023-01-01,E01000117,1773.0,913.0,860.0
2023-01-01,E01000118,2295.0,1157.0,1138.0
2023-01-01,E01000119,2038.0,1011.0,1027.0
2023-01-01,E01000120,1708.0,822.0,886.0
2023-01-01,E01000121,1500.0,769.0,731.0
2023-01-01,E01000122,1642.0,828.0,814.0
2023-01-01,E01000123,1925.0,940.0,985.0
2023-01-01,E01000124,1956.0,992.0,964.0
2023-01-01,E01000126,2654.0,1311.0,1343.0
2023-01-01,E01000127,1869.0,930.0,939.0
2023-01-01,E01000128,2459.0,1195.0,1264.0
2023-01-01,E01000129,2338.0,1118.0,1220.0
2023-01-01,E01000130,2174.0,1107.0,1067.0
2023-01-01,E01000131,2574.0,1222.0,1352.0
2023-01-01,E01000132,1986.0,1002.0,984.0
2023-01-01,E01000133,2038.0,989.0,1049.0
2023-01-01,E01000134,1900.0,966.0,934.0
2023-01-01,E01000135,2228.0,1108.0,1120.0
2023-01-01,E01000136,1764.0,936.0,828.0
2023-01-01,E01000137,1949.0,1026.0,923.0
2023-01-01,E01000138,2448.0,1163.0,1285.0
2023-01-01,E01000139,1902.0,950.0,952.0
2023-01-01,E01000140,2179.0,1101.0,1078.0
2023-01-01,E01000141,2678.0,1288.0,1390.0
2023-01-01,E01000142,2834.0,1403.0,1431.0
2023-01-01,E01000143,2044.0,1003.0,1041.0
2023-01-01,E01000144,2400.0,1185.0,1215.0
2023-01-01,E01000145,2031.0,982.0,1049.0
2023-01-01,E01000146,2463.0,1193.0,1270.0
2023-01-01,E01000147,2324.0,1103.0,1221.0
2023-01-01,E01000150,2470.0,1212.0,1258.0
2023-01-01,E01000151,1880.0,912.0,968.0
2023-01-01,E01000152,2746.0,1419.0,1327.0
2023-01-01,E01000153,2199.0,1117.0,1082.0
2023-01-01,E01000154,2122.0,1103.0,1019.0
2023-01-01,E01000156,2154.0,1120.0,1034.0
2023-01-01,E01000157,1774.0,882.0,892.0
2023-01-01,E01000158,1537.0,796.0,741.0
2023-01-01,E01000159,1965.0,982.0,983.0
2023-01-01,E01000160,2094.0,1055.0,1039.0
2023-01-01,E01000161,2405.0,1243.0,1162.0
2023-01-01,E01000162,1768.0,880.0,888.0
2023-01-01,E01000163,1819.0,949.0,870.0
2023-01-01,E01000164,1956.0,978.0,978.0
2023-01-01,E01000165,1952.0,983.0,969.0
2023-01-01,E01000166,1769.0,885.0,884.0
2023-01-01,E01000167,1512.0,744.0,768.0
2023-01-01,E01000168,1708.0,848.0,860.0
2023-01-01,E01000169,1639.0,842.0,797.0
2023-01-01,E01000170,1995.0,1020.0,975.0
2023-01-01,E01000171,2488.0,1272.0,1216.0
2023-01-01,E01000172,1858.0,941.0,917.0
