date,geography,geography code,Residence type: Lives in a communal establishment,Residence type: Lives in a household,Residence type: Total: All usual residents
2021,City of London 001A,E01000001,0,1475,1475
2021,City of London 001B,E01000002,0,1384,1384
2021,City of London 001C,E01000003,0,1613,1613
2021,City of London 001E,E01000005,54,1046,1100
2021,Barking and Dagenham 016A,E01000006,0,1845,1845
2021,Barking and Dagenham 015A,E01000007,0,2908,2908
2021,Barking and Dagenham 015B,E01000008,0,1795,1795
2021,Barking and Dagenham 016B,E01000009,20,1784,1804
2021,Barking and Dagenham 016C,E01000011,11,1690,1701
2021,Barking and Dagenham 015D,E01000012,8,2339,2347
2021,Barking and Dagenham 013A,E01000013,0,1871,1871
2021,Barking and Dagenham 013B,E01000014,3,1748,1751
2021,Barking and Dagenham 009A,E01000015,0,2418,2418
2021,Barking and Dagenham 009B,E01000016,1,1850,1851
2021,Barking and Dagenham 009C,E01000017,0,1722,1722
2021,Barking and Dagenham 009D,E01000018,0,1776,1776
2021,Barking and Dagenham 023A,E01000019,0,1657,1657
2021,Barking and Dagenham 023B,E01000020,61,2130,2191
2021,Barking and Dagenham 008A,E01000021,0,1693,1693
2021,Barking and Dagenham 008B,E01000022,0,1477,1477
2021,Barking and Dagenham 008D,E01000024,0,1485,1485
2021,Barking and Dagenham 008E,E01000025,1,1919,1920
2021,Barking and Dagenham 001A,E01000027,20,2062,2082
2021,Barking and Dagenham 001B,E01000028,24,1793,1817
2021,Barking and Dagenham 001C,E01000029,0,1819,1819
2021,Barking and Dagenham 001D,E01000030,2,2561,2563
2021,Barking and Dagenham 002A,E01000031,0,1770,1770
2021,Barking and Dagenham 002B,E01000032,0,2078,2078
2021,Barking and Dagenham 006A,E01000033,0,1543,1543
2021,Barking and Dagenham 003A,E01000034,74,1501,1575
2021,Barking and Dagenham 010A,E01000035,69,1790,1859
2021,Barking and Dagenham 010B,E01000036,0,1470,1470
2021,Barking and Dagenham 003B,E01000037,77,1619,1696
2021,Barking and Dagenham 003C,E01000038,0,1616,1616
2021,Barking and Dagenham 003D,E01000039,19,1733,1752
2021,Barking and Dagenham 019A,E01000040,0,1879,1879
2021,Barking and Dagenham 017A,E01000041,1,1841,1842
2021,Barking and Dagenham 017B,E01000042,0,1882,1882
2021,Barking and Dagenham 019B,E01000043,0,1537,1537
2021,Barking and Dagenham 016D,E01000044,3,1985,1988
2021,Barking and Dagenham 017C,E01000045,0,1723,1723
2021,Barking and Dagenham 017D,E01000046,0,1956,1956
2021,Barking and Dagenham 021C,E01000049,0,1973,1973
2021,Barking and Dagenham 019C,E01000050,0,1839,1839
2021,Barking and Dagenham 021D,E01000051,0,1107,1107
2021,Barking and Dagenham 019D,E01000052,0,2368,2368
2021,Barking and Dagenham 020A,E01000053,3,1614,1617
2021,Barking and Dagenham 018A,E01000054,0,1871,1871
2021,Barking and Dagenham 018B,E01000055,2,1703,1705
2021,Barking and Dagenham 018C,E01000056,56,1646,1702
2021,Barking and Dagenham 012A,E01000057,0,1550,1550
2021,Barking and Dagenham 018D,E01000058,0,2135,2135
2021,Barking and Dagenham 013C,E01000059,44,1666,1710
2021,Barking and Dagenham 006B,E01000060,3,2177,2180
2021,Barking and Dagenham 006C,E01000061,46,1879,1925
2021,Barking and Dagenham 006D,E01000062,0,2218,2218
2021,Barking and Dagenham 004A,E01000063,0,1778,1778
2021,Barking and Dagenham 006E,E01000064,61,2235,2296
2021,Barking and Dagenham 007A,E01000065,0,1982,1982
2021,Barking and Dagenham 011A,E01000066,0,2499,2499
2021,Barking and Dagenham 011B,E01000067,0,2237,2237
2021,Barking and Dagenham 016E,E01000068,11,1784,1795
2021,Barking and Dagenham 011C,E01000069,0,2096,2096
2021,Barking and Dagenham 011D,E01000070,0,2073,2073
2021,Barking and Dagenham 011E,E01000071,7,2600,2607
2021,Barking and Dagenham 017E,E01000072,2,2148,2150
2021,Barking and Dagenham 012B,E01000073,0,1848,1848
2021,Barking and Dagenham 012C,E01000074,0,1759,1759
2021,Barking and Dagenham 012D,E01000075,0,2080,2080
2021,Barking and Dagenham 012E,E01000076,0,2161,2161
2021,Barking and Dagenham 008F,E01000077,0,1719,1719
2021,Barking and Dagenham 007B,E01000078,0,1899,1899
2021,Barking and Dagenham 009E,E01000079,0,1716,1716
2021,Barking and Dagenham 007C,E01000080,0,1777,1777
2021,Barking and Dagenham 007D,E01000081,10,1966,1976
2021,Barking and Dagenham 007E,E01000082,0,1913,1913
2021,Barking and Dagenham 007F,E01000083,0,1919,1919
2021,Barking and Dagenham 013D,E01000084,0,1438,1438
2021,Barking and Dagenham 013E,E01000085,0,1646,1646
2021,Barking and Dagenham 013F,E01000086,0,1449,1449
2021,Barking and Dagenham 020B,E01000087,5,1631,1636
2021,Barking and Dagenham 020C,E01000088,93,1882,1975
2021,Barking and Dagenham 020D,E01000089,0,1824,1824
2021,Barking and Dagenham 020E,E01000090,0,1707,1707
2021,Barking and Dagenham 022A,E01000091,71,2020,2091
2021,Barking and Dagenham 022B,E01000093,16,1793,1809
2021,Barking and Dagenham 022C,E01000094,0,2461,2461
2021,Barking and Dagenham 018E,E01000095,1,2249,2250
2021,Barking and Dagenham 022D,E01000096,0,1658,1658
2021,Barking and Dagenham 023C,E01000097,0,1933,1933
2021,Barking and Dagenham 023D,E01000098,0,1936,1936
2021,Barking and Dagenham 023E,E01000099,0,2778,2778
2021,Barking and Dagenham 004B,E01000100,0,1942,1942
2021,Barking and Dagenham 004C,E01000101,0,1699,1699
2021,Barking and Dagenham 007G,E01000102,0,1784,1784
2021,Barking and Dagenham 014A,E01000103,0,1773,1773
2021,Barking and Dagenham 014B,E01000104,0,1915,1915
2021,Barking and Dagenham 014C,E01000105,1,2331,2332
2021,Barking and Dagenham 014D,E01000106,0,2207,2207
2021,Barking and Dagenham 010C,E01000107,34,1752,1786
2021,Barking and Dagenham 010D,E01000108,0,1915,1915
2021,Barking and Dagenham 002C,E01000110,12,1561,1573
2021,Barking and Dagenham 002D,E01000111,10,2145,2155
2021,Barking and Dagenham 002E,E01000112,0,1971,1971
2021,Barking and Dagenham 002F,E01000113,0,1993,1993
2021,Barking and Dagenham 004E,E01000114,0,2419,2419
2021,Barnet 009A,E01000115,0,1395,1395
2021,Barnet 009B,E01000116,0,1745,1745
2021,Barnet 010A,E01000117,0,1736,1736
2021,Barnet 010B,E01000118,6,2043,2049
2021,Barnet 009C,E01000119,0,1793,1793
2021,Barnet 009D,E01000120,0,1495,1495
2021,Barnet 010C,E01000121,39,1438,1477
2021,Barnet 009E,E01000122,10,1501,1511
2021,Barnet 010D,E01000123,0,1762,1762
2021,Barnet 010E,E01000124,0,1867,1867
2021,Barnet 026A,E01000126,0,2274,2274
2021,Barnet 024B,E01000127,0,1557,1557
2021,Barnet 024C,E01000128,0,2049,2049
2021,Barnet 024D,E01000129,0,1604,1604
2021,Barnet 021A,E01000130,0,1939,1939
2021,Barnet 024E,E01000131,0,2021,2021
2021,Barnet 021B,E01000132,0,1617,1617
2021,Barnet 021C,E01000133,0,1645,1645
2021,Barnet 024F,E01000134,0,1824,1824
2021,Barnet 038A,E01000135,85,1614,1699
2021,Barnet 038B,E01000136,29,1457,1486
2021,Barnet 041A,E01000137,1,1657,1658
2021,Barnet 040A,E01000138,3,1614,1617
2021,Barnet 041B,E01000139,4,1384,1388
2021,Barnet 041C,E01000140,0,1957,1957
2021,Barnet 039A,E01000141,18,1846,1864
2021,Barnet 040B,E01000142,67,2170,2237
2021,Barnet 041D,E01000143,77,1594,1671
2021,Barnet 038C,E01000144,0,1660,1660
2021,Barnet 037A,E01000145,35,1579,1614
2021,Barnet 038D,E01000146,3,1869,1872
2021,Barnet 043F,E01000147,0,1913,1913
2021,Barnet 036A,E01000150,0,2255,2255
2021,Barnet 026B,E01000151,0,1721,1721
2021,Barnet 026C,E01000152,0,2693,2693
2021,Barnet 026D,E01000153,1,1928,1929
2021,Barnet 026E,E01000154,0,1915,1915
2021,Barnet 022A,E01000156,0,2026,2026
2021,Barnet 022B,E01000157,0,1582,1582
2021,Barnet 015A,E01000158,30,1434,1464
2021,Barnet 015B,E01000159,0,1786,1786
2021,Barnet 015C,E01000160,5,1950,1955
2021,Barnet 015D,E01000161,55,1979,2034
2021,Barnet 015E,E01000162,138,1513,1651
2021,Barnet 022C,E01000163,0,1691,1691
2021,Barnet 022D,E01000164,0,1712,1712
2021,Barnet 022E,E01000165,40,1772,1812
2021,Barnet 003A,E01000166,0,1620,1620
2021,Barnet 002A,E01000167,0,1389,1389
2021,Barnet 003B,E01000168,7,1509,1516
2021,Barnet 003C,E01000169,9,1622,1631
2021,Barnet 006A,E01000170,0,1906,1906
2021,Barnet 006B,E01000171,0,2289,2289
2021,Barnet 003D,E01000172,12,1678,1690
2021,Barnet 006C,E01000173,0,1690,1690
2021,Barnet 006D,E01000174,0,1759,1759
2021,Barnet 006E,E01000175,0,2031,2031
2021,Barnet 027A,E01000176,0,1722,1722
2021,Barnet 029A,E01000177,0,1663,1663
2021,Barnet 027B,E01000178,0,1673,1673
2021,Barnet 029B,E01000179,0,1789,1789
2021,Barnet 029C,E01000180,0,1616,1616
2021,Barnet 029D,E01000181,0,1688,1688
2021,Barnet 029E,E01000182,0,1619,1619
2021,Barnet 033A,E01000183,79,1443,1522
2021,Barnet 027C,E01000184,0,1873,1873
2021,Barnet 029F,E01000185,0,1474,1474
2021,Barnet 014A,E01000186,0,1771,1771
2021,Barnet 014B,E01000187,0,1737,1737
2021,Barnet 014C,E01000188,0,1578,1578
2021,Barnet 014D,E01000189,0,2469,2469
2021,Barnet 014E,E01000190,1,1730,1731
2021,Barnet 014F,E01000191,0,1549,1549
2021,Barnet 018A,E01000192,0,1997,1997
2021,Barnet 018B,E01000193,0,1948,1948
2021,Barnet 018C,E01000194,0,1906,1906
2021,Barnet 013A,E01000195,0,2019,2019
2021,Barnet 028A,E01000196,0,2124,2124
2021,Barnet 023A,E01000197,0,1851,1851
2021,Barnet 025A,E01000198,0,2193,2193
2021,Barnet 025B,E01000199,0,1580,1580
2021,Barnet 028B,E01000200,0,1978,1978
2021,Barnet 028C,E01000201,0,1541,1541
2021,Barnet 028D,E01000202,0,1673,1673
2021,Barnet 028E,E01000203,46,1797,1843
2021,Barnet 025C,E01000204,0,1701,1701
2021,Barnet 035A,E01000205,0,1506,1506
2021,Barnet 033B,E01000206,0,1501,1501
2021,Barnet 033C,E01000207,0,1579,1579
2021,Barnet 033D,E01000208,0,1629,1629
2021,Barnet 035B,E01000209,2,1481,1483
2021,Barnet 033E,E01000210,0,1548,1548
2021,Barnet 035C,E01000211,3,2125,2128
2021,Barnet 035D,E01000212,0,1347,1347
2021,Barnet 033F,E01000213,0,1351,1351
2021,Barnet 038E,E01000214,0,1627,1627
2021,Barnet 037B,E01000215,0,2146,2146
2021,Barnet 035E,E01000216,0,1978,1978
2021,Barnet 035F,E01000217,0,1785,1785
2021,Barnet 037C,E01000218,25,1819,1844
2021,Barnet 037D,E01000219,0,2196,2196
2021,Barnet 037E,E01000220,68,1820,1888
2021,Barnet 039B,E01000221,3,1409,1412
2021,Barnet 040C,E01000222,4,2034,2038
2021,Barnet 039C,E01000223,0,2032,2032
2021,Barnet 040D,E01000224,0,1692,1692
2021,Barnet 037F,E01000225,11,1859,1870
2021,Barnet 018D,E01000226,0,1735,1735
2021,Barnet 018E,E01000227,42,1827,1869
2021,Barnet 007A,E01000228,0,1436,1436
2021,Barnet 013B,E01000229,4,1666,1670
2021,Barnet 013C,E01000230,26,1934,1960
2021,Barnet 013D,E01000231,0,1787,1787
2021,Barnet 013E,E01000232,27,1844,1871
2021,Barnet 013F,E01000233,2,1936,1938
2021,Barnet 021D,E01000234,0,1781,1781
2021,Barnet 021E,E01000235,0,1862,1862
2021,Barnet 034A,E01000236,0,1952,1952
2021,Barnet 032A,E01000237,0,2100,2100
2021,Barnet 034B,E01000238,0,2096,2096
2021,Barnet 031A,E01000239,0,2058,2058
2021,Barnet 031B,E01000240,0,1734,1734
2021,Barnet 031C,E01000241,0,1788,1788
2021,Barnet 032B,E01000242,22,1579,1601
2021,Barnet 032C,E01000243,0,2165,2165
2021,Barnet 032D,E01000244,87,1551,1638
2021,Barnet 032E,E01000245,0,2057,2057
2021,Barnet 002B,E01000246,0,1520,1520
2021,Barnet 002C,E01000247,0,1696,1696
2021,Barnet 001A,E01000248,51,1652,1703
2021,Barnet 001B,E01000249,0,1613,1613
2021,Barnet 001C,E01000250,29,2581,2610
2021,Barnet 002D,E01000251,4,2258,2262
2021,Barnet 002E,E01000252,0,1715,1715
2021,Barnet 007B,E01000253,59,1925,1984
2021,Barnet 001D,E01000254,25,1575,1600
2021,Barnet 017A,E01000255,1,1699,1700
2021,Barnet 016A,E01000256,0,1928,1928
2021,Barnet 017B,E01000257,0,2090,2090
2021,Barnet 016B,E01000258,2,1889,1891
2021,Barnet 025D,E01000259,1,2642,2643
2021,Barnet 025E,E01000260,0,2166,2166
2021,Barnet 017C,E01000261,192,1576,1768
2021,Barnet 016C,E01000263,0,1525,1525
2021,Barnet 016D,E01000264,0,1823,1823
2021,Barnet 011A,E01000265,0,1922,1922
2021,Barnet 011B,E01000266,0,1436,1436
2021,Barnet 005A,E01000267,0,1527,1527
2021,Barnet 005B,E01000268,16,2059,2075
2021,Barnet 005C,E01000269,0,1386,1386
2021,Barnet 005D,E01000270,0,1545,1545
2021,Barnet 008A,E01000271,0,1638,1638
2021,Barnet 008B,E01000272,102,1324,1426
2021,Barnet 008C,E01000273,33,1637,1670
2021,Barnet 011C,E01000274,0,1936,1936
2021,Barnet 012A,E01000275,93,1647,1740
2021,Barnet 020A,E01000276,0,1538,1538
2021,Barnet 012B,E01000277,153,1499,1652
