date,geography,geography code,Marital and civil partnership status: Divorced or civil partnership dissolved,Marital and civil partnership status: Divorced or civil partnership dissolved: Divorced,Marital and civil partnership status: Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved,Marital and civil partnership status: Married or in a registered civil partnership,Marital and civil partnership status: Married or in a registered civil partnership: In a registered civil partnership,Marital and civil partnership status: Married or in a registered civil partnership: In a registered civil partnership: Opposite sex,Marital and civil partnership status: Married or in a registered civil partnership: In a registered civil partnership: Same sex,Marital and civil partnership status: Married or in a registered civil partnership: Married,Marital and civil partnership status: Married or in a registered civil partnership: Married: Opposite sex,Marital and civil partnership status: Married or in a registered civil partnership: Married: Same sex,Marital and civil partnership status: Never married and never registered a civil partnership,"Marital and civil partnership status: Separated, but still legally married or still legally in a civil partnership","Marital and civil partnership status: Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership","Marital and civil partnership status: Separated, but still legally married or still legally in a civil partnership: Separated, but still married",Marital and civil partnership status: Total: All usual residents aged 16 and over,Marital and civil partnership status: Widowed or surviving civil partnership partner,Marital and civil partnership status: Widowed or surviving civil partnership partner: Surviving partner from civil partnership,Marital and civil partnership status: Widowed or surviving civil partnership partner: Widowed
2021,City of London 001A,E01000001,94,91,3,582,29,0,29,553,521,32,588,22,1,21,1353,67,0,67
2021,City of London 001B,E01000002,85,83,2,487,32,5,27,455,443,12,662,21,2,19,1299,44,0,44
2021,City of London 001C,E01000003,142,133,9,426,22,6,16,404,391,13,841,35,0,35,1500,56,1,55
2021,City of London 001E,E01000005,82,80,2,264,2,0,2,262,260,2,536,32,0,32,958,44,0,44
2021,Barking and Dagenham 016A,E01000006,89,89,0,674,4,2,2,670,667,3,578,23,0,23,1430,66,0,66
2021,Barking and Dagenham 015A,E01000007,145,145,0,945,6,6,0,939,931,8,975,61,2,59,2160,34,0,34
2021,Barking and Dagenham 015B,E01000008,91,91,0,456,0,0,0,456,455,1,640,47,0,47,1258,24,0,24
2021,Barking and Dagenham 016B,E01000009,117,117,0,688,6,2,4,682,681,1,504,35,0,35,1408,64,0,64
2021,Barking and Dagenham 016C,E01000011,71,71,0,655,2,2,0,653,636,17,533,17,0,17,1319,43,0,43
2021,Barking and Dagenham 015D,E01000012,140,140,0,721,2,2,0,719,702,17,639,44,0,44,1578,34,0,34
2021,Barking and Dagenham 013A,E01000013,130,130,0,588,2,2,0,586,583,3,580,34,0,34,1396,64,0,64
2021,Barking and Dagenham 013B,E01000014,114,114,0,532,2,2,0,530,529,1,567,47,0,47,1322,62,0,62
2021,Barking and Dagenham 009A,E01000015,164,164,0,656,2,2,0,654,650,4,785,54,1,53,1734,75,0,75
2021,Barking and Dagenham 009B,E01000016,114,114,0,596,0,0,0,596,593,3,576,42,0,42,1399,71,0,71
2021,Barking and Dagenham 009C,E01000017,117,116,1,529,3,2,1,526,525,1,549,30,0,30,1303,78,0,78
