date,geography,geography code,Sex: All persons,Sex: Female,Sex: Male
2021,City of London 001A,E01000001,1475,686,789
2021,City of London 001B,E01000002,1384,607,777
2021,City of London 001C,E01000003,1613,755,858
2021,City of London 001E,E01000005,1100,545,555
2021,Barking and Dagenham 016A,E01000006,1845,902,943
2021,Barking and Dagenham 015A,E01000007,2908,1461,1447
2021,Barking and Dagenham 015B,E01000008,1795,948,847
2021,Barking and Dagenham 016B,E01000009,1805,856,949
2021,Barking and Dagenham 016C,E01000011,1701,789,912
2021,Barking and Dagenham 015D,E01000012,2347,1194,1153
2021,Barking and Dagenham 013A,E01000013,1871,970,901
2021,Barking and Dagenham 013B,E01000014,1751,895,856
2021,Barking and Dagenham 009A,E01000015,2418,1287,1131
2021,Barking and Dagenham 009B,E01000016,1851,981,870
2021,Barking and Dagenham 009C,E01000017,1724,898,826
2021,Barking and Dagenham 009D,E01000018,1776,908,868
2021,Barking and Dagenham 023A,E01000019,1657,819,838
2021,Barking and Dagenham 023B,E01000020,2191,1138,1053
2021,Barking and Dagenham 008A,E01000021,1693,856,837
2021,Barking and Dagenham 008B,E01000022,1476,762,714
2021,Barking and Dagenham 008D,E01000024,1485,746,739
2021,Barking and Dagenham 008E,E01000025,1917,928,989
2021,Barking and Dagenham 001A,E01000027,2082,1117,965
2021,Barking and Dagenham 001B,E01000028,1817,975,842
2021,Barking and Dagenham 001C,E01000029,1819,905,914
2021,Barking and Dagenham 001D,E01000030,2563,1365,1198
2021,Barking and Dagenham 002A,E01000031,1770,904,866
2021,Barking and Dagenham 002B,E01000032,2078,1049,1029
2021,Barking and Dagenham 006A,E01000033,1543,804,739
2021,Barking and Dagenham 003A,E01000034,1575,825,750
2021,Barking and Dagenham 010A,E01000035,1859,939,920
2021,Barking and Dagenham 010B,E01000036,1470,749,721
2021,Barking and Dagenham 003B,E01000037,1697,836,861
2021,Barking and Dagenham 003C,E01000038,1616,845,771
2021,Barking and Dagenham 003D,E01000039,1751,888,863
2021,Barking and Dagenham 019A,E01000040,1879,947,932
2021,Barking and Dagenham 017A,E01000041,1842,936,906
2021,Barking and Dagenham 017B,E01000042,1882,952,930
2021,Barking and Dagenham 019B,E01000043,1537,761,776
2021,Barking and Dagenham 016D,E01000044,1988,1029,959
2021,Barking and Dagenham 017C,E01000045,1725,889,836
2021,Barking and Dagenham 017D,E01000046,1956,1016,940
2021,Barking and Dagenham 021C,E01000049,1973,1040,933
2021,Barking and Dagenham 019C,E01000050,1839,921,918
2021,Barking and Dagenham 021D,E01000051,1107,560,547
2021,Barking and Dagenham 019D,E01000052,2368,1203,1165
2021,Barking and Dagenham 020A,E01000053,1617,826,791
2021,Barking and Dagenham 018A,E01000054,1873,972,901
2021,Barking and Dagenham 018B,E01000055,1705,861,844
2021,Barking and Dagenham 018C,E01000056,1702,916,786
2021,Barking and Dagenham 012A,E01000057,1550,835,715
2021,Barking and Dagenham 018D,E01000058,2135,1110,1025
2021,Barking and Dagenham 013C,E01000059,1705,893,812
2021,Barking and Dagenham 006B,E01000060,2180,1155,1025
2021,Barking and Dagenham 006C,E01000061,1925,1039,886
2021,Barking and Dagenham 006D,E01000062,2218,1155,1063
2021,Barking and Dagenham 004A,E01000063,1779,865,914
2021,Barking and Dagenham 006E,E01000064,2296,1199,1097
2021,Barking and Dagenham 007A,E01000065,1982,1001,981
2021,Barking and Dagenham 011A,E01000066,2496,1308,1188
2021,Barking and Dagenham 011B,E01000067,2237,1135,1102
2021,Barking and Dagenham 016E,E01000068,1795,844,951
2021,Barking and Dagenham 011C,E01000069,2096,1000,1096
2021,Barking and Dagenham 011D,E01000070,2073,1031,1042
2021,Barking and Dagenham 011E,E01000071,2606,1296,1310
2021,Barking and Dagenham 017E,E01000072,2149,1110,1039
2021,Barking and Dagenham 012B,E01000073,1848,953,895
2021,Barking and Dagenham 012C,E01000074,1759,913,846
2021,Barking and Dagenham 012D,E01000075,2078,1031,1047
2021,Barking and Dagenham 012E,E01000076,2161,1139,1022
2021,Barking and Dagenham 008F,E01000077,1721,872,849
2021,Barking and Dagenham 007B,E01000078,1899,996,903
2021,Barking and Dagenham 009E,E01000079,1716,898,818
2021,Barking and Dagenham 007C,E01000080,1779,892,887
2021,Barking and Dagenham 007D,E01000081,1976,1013,963
2021,Barking and Dagenham 007E,E01000082,1912,987,925
2021,Barking and Dagenham 007F,E01000083,1919,1038,881
2021,Barking and Dagenham 013D,E01000084,1438,736,702
2021,Barking and Dagenham 013E,E01000085,1646,866,780
2021,Barking and Dagenham 013F,E01000086,1449,759,690
2021,Barking and Dagenham 020B,E01000087,1636,840,796
2021,Barking and Dagenham 020C,E01000088,1975,1014,961
2021,Barking and Dagenham 020D,E01000089,1824,949,875
2021,Barking and Dagenham 020E,E01000090,1707,867,840
2021,Barking and Dagenham 022A,E01000091,2091,1078,1013
2021,Barking and Dagenham 022B,E01000093,1809,923,886
2021,Barking and Dagenham 022C,E01000094,2461,1293,1168
2021,Barking and Dagenham 018E,E01000095,2252,1156,1096
2021,Barking and Dagenham 022D,E01000096,1658,885,773
2021,Barking and Dagenham 023C,E01000097,1933,1004,929
2021,Barking and Dagenham 023D,E01000098,1936,997,939
2021,Barking and Dagenham 023E,E01000099,2778,1458,1320
2021,Barking and Dagenham 004B,E01000100,1942,1030,912
2021,Barking and Dagenham 004C,E01000101,1699,870,829
2021,Barking and Dagenham 007G,E01000102,1785,930,855
2021,Barking and Dagenham 014A,E01000103,1774,909,865
2021,Barking and Dagenham 014B,E01000104,1915,1003,912
2021,Barking and Dagenham 014C,E01000105,2332,1210,1122
2021,Barking and Dagenham 014D,E01000106,2207,1150,1057
2021,Barking and Dagenham 010C,E01000107,1786,926,860
2021,Barking and Dagenham 010D,E01000108,1915,995,920
