date,geography,geography code,Household deprivation: Household is deprived in four dimensions,Household deprivation: Household is deprived in one dimension,Household deprivation: Household is deprived in three dimensions,Household deprivation: Household is deprived in two dimensions,Household deprivation: Household is not deprived in any dimension,Household deprivation: Total: All households
2021,City of London 001A,E01000001,0,253,3,34,548,838
2021,City of London 001B,E01000002,0,253,1,28,542,824
2021,City of London 001C,E01000003,4,387,27,109,487,1014
2021,City of London 001E,E01000005,4,177,37,98,163,479
2021,Barking and Dagenham 016A,E01000006,3,241,32,74,204,554
2021,Barking and Dagenham 015A,E01000007,13,439,61,167,509,1189
2021,Barking and Dagenham 015B,E01000008,1,229,44,139,136,549
2021,Barking and Dagenham 016B,E01000009,2,221,42,126,210,601
2021,Barking and Dagenham 016C,E01000011,0,194,26,86,167,473
2021,Barking and Dagenham 015D,E01000012,3,281,43,186,270,783
2021,Barking and Dagenham 013A,E01000013,3,230,50,132,202,617
2021,Barking and Dagenham 013B,E01000014,3,246,42,124,221,636
2021,Barking and Dagenham 009A,E01000015,4,298,48,149,336,835
2021,Barking and Dagenham 009B,E01000016,0,246,34,102,245,627
2021,Barking and Dagenham 009C,E01000017,10,222,50,139,177,598
2021,Barking and Dagenham 009D,E01000018,2,238,39,115,250,644
2021,Barking and Dagenham 023A,E01000019,0,184,34,99,184,501
2021,Barking and Dagenham 023B,E01000020,4,223,67,137,232,663
2021,Barking and Dagenham 008A,E01000021,4,220,35,128,204,591
2021,Barking and Dagenham 008B,E01000022,1,168,24,90,195,478
2021,Barking and Dagenham 008D,E01000024,3,161,25,110,160,459
2021,Barking and Dagenham 008E,E01000025,3,292,47,133,219,694
2021,Barking and Dagenham 001A,E01000027,13,232,49,166,202,662
2021,Barking and Dagenham 001B,E01000028,6,242,39,149,185,621
2021,Barking and Dagenham 001C,E01000029,0,259,18,122,282,681
2021,Barking and Dagenham 001D,E01000030,5,352,88,176,285,906
2021,Barking and Dagenham 002A,E01000031,0,216,18,101,258,593
2021,Barking and Dagenham 002B,E01000032,2,277,33,138,273,723
2021,Barking and Dagenham 006A,E01000033,1,194,52,125,180,552
2021,Barking and Dagenham 003A,E01000034,1,189,40,109,177,516
2021,Barking and Dagenham 010A,E01000035,1,235,22,115,221,594
2021,Barking and Dagenham 010B,E01000036,3,182,15,80,194,474
2021,Barking and Dagenham 003B,E01000037,0,215,16,63,295,589
2021,Barking and Dagenham 003C,E01000038,0,226,18,93,228,565
2021,Barking and Dagenham 003D,E01000039,2,201,24,101,314,642
2021,Barking and Dagenham 019A,E01000040,1,267,44,145,199,656
2021,Barking and Dagenham 017A,E01000041,2,250,22,121,205,600
2021,Barking and Dagenham 017B,E01000042,2,251,64,137,201,655
2021,Barking and Dagenham 019B,E01000043,0,190,21,98,162,471
