date,geography,geography code,Length of residence in the UK: 10 years or more,"Length of residence in the UK: 2 years or more, but less than 5 years","Length of residence in the UK: 5 years or more, but less than 10 years",Length of residence in the UK: Born in the UK,Length of residence in the UK: Less than 2 years,Length of residence in the UK: Total: All usual residents
2021,City of London 001A,E01000001,262,100,111,874,128,1475
2021,City of London 001B,E01000002,282,123,116,759,104,1384
2021,City of London 001C,E01000003,358,99,126,924,106,1613
2021,City of London 001E,E01000005,315,57,70,563,97,1102
2021,Barking and Dagenham 016A,E01000006,548,161,173,888,75,1845
2021,Barking and Dagenham 015A,E01000007,848,259,364,1219,218,2908
2021,Barking and Dagenham 015B,E01000008,555,77,167,921,74,1794
2021,Barking and Dagenham 016B,E01000009,529,176,253,720,126,1804
2021,Barking and Dagenham 016C,E01000011,461,220,225,665,132,1703
2021,Barking and Dagenham 015D,E01000012,657,220,266,1075,128,2346
2021,Barking and Dagenham 013A,E01000013,434,114,132,1120,71,1871
2021,Barking and Dagenham 013B,E01000014,382,99,112,1107,51,1751
2021,Barking and Dagenham 009A,E01000015,535,110,197,1494,81,2417
2021,Barking and Dagenham 009B,E01000016,425,113,114,1144,55,1851
2021,Barking and Dagenham 009C,E01000017,452,52,108,1077,34,1723
2021,Barking and Dagenham 009D,E01000018,419,109,108,1096,44,1776
2021,Barking and Dagenham 023A,E01000019,400,91,149,961,54,1655
2021,Barking and Dagenham 023B,E01000020,574,85,136,1332,64,2191
2021,Barking and Dagenham 008A,E01000021,389,80,169,997,57,1692
2021,Barking and Dagenham 008B,E01000022,398,34,108,892,44,1476
2021,Barking and Dagenham 008D,E01000024,411,52,86,882,54,1485
2021,Barking and Dagenham 008E,E01000025,487,63,139,1177,54,1920
2021,Barking and Dagenham 001A,E01000027,369,62,123,1495,33,2082
2021,Barking and Dagenham 001B,E01000028,530,69,101,1068,49,1817
2021,Barking and Dagenham 001C,E01000029,530,55,118,1069,47,1819
2021,Barking and Dagenham 001D,E01000030,592,61,130,1730,50,2563
2021,Barking and Dagenham 002A,E01000031,467,56,101,1093,54,1771
2021,Barking and Dagenham 002B,E01000032,478,112,186,1252,51,2079
2021,Barking and Dagenham 006A,E01000033,287,64,55,1108,28,1542
2021,Barking and Dagenham 003A,E01000034,323,25,92,1105,29,1574
2021,Barking and Dagenham 010A,E01000035,438,96,137,1128,60,1859
2021,Barking and Dagenham 010B,E01000036,412,75,108,804,70,1469
2021,Barking and Dagenham 003B,E01000037,271,51,100,1244,31,1697
2021,Barking and Dagenham 003C,E01000038,298,39,89,1164,24,1614
2021,Barking and Dagenham 003D,E01000039,311,66,108,1239,28,1752
2021,Barking and Dagenham 019A,E01000040,453,128,159,1036,103,1879
2021,Barking and Dagenham 017A,E01000041,425,87,156,1118,56,1842
2021,Barking and Dagenham 017B,E01000042,449,90,152,1125,63,1879
2021,Barking and Dagenham 019B,E01000043,422,56,118,895,46,1537
2021,Barking and Dagenham 016D,E01000044,581,178,225,914,90,1988
2021,Barking and Dagenham 017C,E01000045,408,78,154,1032,52,1724
2021,Barking and Dagenham 017D,E01000046,449,76,190,1211,30,1956
2021,Barking and Dagenham 021C,E01000049,640,69,123,1073,65,1970
2021,Barking and Dagenham 019C,E01000050,556,141,209,855,78,1839
2021,Barking and Dagenham 021D,E01000051,343,90,125,499,50,1107
2021,Barking and Dagenham 019D,E01000052,673,171,245,1111,168,2368
2021,Barking and Dagenham 020A,E01000053,371,83,128,988,47,1617
2021,Barking and Dagenham 018A,E01000054,408,55,149,1226,33,1871
2021,Barking and Dagenham 018B,E01000055,420,51,106,1083,45,1705
2021,Barking and Dagenham 018C,E01000056,353,52,110,1151,35,1701
2021,Barking and Dagenham 012A,E01000057,425,44,147,886,47,1549
2021,Barking and Dagenham 018D,E01000058,530,157,237,1154,56,2134
2021,Barking and Dagenham 013C,E01000059,338,57,134,1132,49,1710
2021,Barking and Dagenham 006B,E01000060,491,67,123,1462,37,2180
2021,Barking and Dagenham 006C,E01000061,423,69,110,1288,32,1922
2021,Barking and Dagenham 006D,E01000062,549,114,126,1363,66,2218
2021,Barking and Dagenham 004A,E01000063,411,62,111,1157,37,1778
2021,Barking and Dagenham 006E,E01000064,574,105,175,1388,54,2296
2021,Barking and Dagenham 007A,E01000065,492,91,131,1231,35,1980
2021,Barking and Dagenham 011A,E01000066,643,67,112,1546,131,2499
2021,Barking and Dagenham 011B,E01000067,606,68,114,1396,53,2237
2021,Barking and Dagenham 016E,E01000068,525,85,131,978,79,1798
2021,Barking and Dagenham 011C,E01000069,542,45,76,1392,41,2096
2021,Barking and Dagenham 011D,E01000070,580,75,128,1229,62,2074
2021,Barking and Dagenham 011E,E01000071,701,118,209,1499,81,2608
2021,Barking and Dagenham 017E,E01000072,489,105,116,1361,78,2149
2021,Barking and Dagenham 012B,E01000073,420,98,145,1159,25,1847
2021,Barking and Dagenham 012C,E01000074,387,88,128,1108,48,1759
2021,Barking and Dagenham 012D,E01000075,470,118,157,1284,50,2079
2021,Barking and Dagenham 012E,E01000076,523,94,137,1336,71,2161
2021,Barking and Dagenham 008F,E01000077,419,67,112,1075,44,1717
2021,Barking and Dagenham 007B,E01000078,398,85,162,1192,61,1898
2021,Barking and Dagenham 009E,E01000079,401,85,125,1062,41,1714
2021,Barking and Dagenham 007C,E01000080,430,70,116,1120,40,1776
2021,Barking and Dagenham 007D,E01000081,514,80,149,1182,50,1975
2021,Barking and Dagenham 007E,E01000082,403,61,159,1239,51,1913
2021,Barking and Dagenham 007F,E01000083,414,66,124,1272,44,1920
2021,Barking and Dagenham 013D,E01000084,342,72,111,883,31,1439
2021,Barking and Dagenham 013E,E01000085,372,68,145,1016,45,1646
2021,Barking and Dagenham 013F,E01000086,300,72,104,917,55,1448
2021,Barking and Dagenham 020B,E01000087,399,77,117,991,52,1636
2021,Barking and Dagenham 020C,E01000088,564,79,167,1095,70,1975
2021,Barking and Dagenham 020D,E01000089,505,108,146,1013,52,1824
2021,Barking and Dagenham 020E,E01000090,534,82,149,884,58,1707
2021,Barking and Dagenham 022A,E01000091,613,74,117,1234,53,2091
2021,Barking and Dagenham 022B,E01000093,487,67,117,1098,38,1807
2021,Barking and Dagenham 022C,E01000094,747,123,221,1297,74,2462
2021,Barking and Dagenham 018E,E01000095,518,85,165,1424,57,2249
2021,Barking and Dagenham 022D,E01000096,500,32,102,976,48,1658
2021,Barking and Dagenham 023C,E01000097,411,124,168,1187,41,1931
2021,Barking and Dagenham 023D,E01000098,480,77,110,1221,50,1938
2021,Barking and Dagenham 023E,E01000099,629,115,242,1691,101,2778
2021,Barking and Dagenham 004B,E01000100,390,98,161,1231,63,1943
2021,Barking and Dagenham 004C,E01000101,402,72,138,1028,59,1699
2021,Barking and Dagenham 007G,E01000102,407,74,129,1118,55,1783
2021,Barking and Dagenham 014A,E01000103,439,61,134,1107,30,1771
2021,Barking and Dagenham 014B,E01000104,515,52,101,1197,49,1914
2021,Barking and Dagenham 014C,E01000105,549,96,176,1453,59,2333
2021,Barking and Dagenham 014D,E01000106,515,95,166,1345,86,2207
2021,Barking and Dagenham 010C,E01000107,370,102,125,1136,56,1789
2021,Barking and Dagenham 010D,E01000108,432,103,135,1184,61,1915
2021,Barking and Dagenham 002C,E01000110,368,68,98,984,55,1573
2021,Barking and Dagenham 002D,E01000111,477,96,192,1256,132,2153
2021,Barking and Dagenham 002E,E01000112,498,110,203,1087,73,1971
2021,Barking and Dagenham 002F,E01000113,496,167,182,1020,131,1996
2021,Barking and Dagenham 004E,E01000114,609,97,193,1446,74,2419
2021,Barnet 009A,E01000115,386,17,33,940,18,1394
2021,Barnet 009B,E01000116,402,35,46,1235,29,1747
2021,Barnet 010A,E01000117,383,25,62,1240,25,1735
2021,Barnet 010B,E01000118,525,53,73,1372,26,2049
2021,Barnet 009C,E01000119,570,64,76,1031,52,1793
2021,Barnet 009D,E01000120,455,29,31,954,27,1496
2021,Barnet 010C,E01000121,383,23,34,1025,12,1477
2021,Barnet 009E,E01000122,447,22,62,963,17,1511
2021,Barnet 010D,E01000123,468,87,91,1077,39,1762
2021,Barnet 010E,E01000124,479,83,157,1085,63,1867
2021,Barnet 026A,E01000126,855,77,131,1145,66,2274
2021,Barnet 024B,E01000127,517,85,90,818,47,1557
2021,Barnet 024C,E01000128,704,76,197,1011,60,2048
2021,Barnet 024D,E01000129,570,112,151,697,73,1603
2021,Barnet 021A,E01000130,623,133,112,967,105,1940
2021,Barnet 024E,E01000131,701,164,204,837,116,2022
2021,Barnet 021B,E01000132,536,64,103,862,51,1616
2021,Barnet 021C,E01000133,544,60,98,910,32,1644
2021,Barnet 024F,E01000134,575,113,161,900,76,1825
2021,Barnet 038A,E01000135,540,130,108,832,90,1700
2021,Barnet 038B,E01000136,403,86,99,834,64,1486
2021,Barnet 041A,E01000137,594,75,105,825,61,1660
2021,Barnet 040A,E01000138,585,96,164,706,67,1618
2021,Barnet 041B,E01000139,407,110,103,719,47,1386
2021,Barnet 041C,E01000140,505,182,192,990,88,1957
2021,Barnet 039A,E01000141,613,154,215,768,116,1866
2021,Barnet 040B,E01000142,727,176,223,1003,108,2237
2021,Barnet 041D,E01000143,413,109,140,932,75,1669
2021,Barnet 038C,E01000144,483,144,226,634,173,1660
2021,Barnet 037A,E01000145,477,69,122,872,75,1615
2021,Barnet 038D,E01000146,539,185,190,819,140,1873
2021,Barnet 043F,E01000147,744,128,192,737,111,1912
2021,Barnet 036A,E01000150,796,132,240,1005,81,2254
2021,Barnet 026B,E01000151,602,66,117,909,28,1722
2021,Barnet 026C,E01000152,937,88,246,1294,128,2693
2021,Barnet 026D,E01000153,630,44,104,1098,53,1929
2021,Barnet 026E,E01000154,680,88,165,902,80,1915
2021,Barnet 022A,E01000156,475,79,159,1266,45,2024
2021,Barnet 022B,E01000157,367,61,99,1020,34,1581
2021,Barnet 015A,E01000158,354,50,81,948,28,1461
2021,Barnet 015B,E01000159,455,43,77,1174,37,1786
2021,Barnet 015C,E01000160,468,149,161,1105,72,1955
2021,Barnet 015D,E01000161,570,137,148,1116,61,2032
2021,Barnet 015E,E01000162,463,71,80,1006,31,1651
2021,Barnet 022C,E01000163,473,108,148,923,41,1693
2021,Barnet 022D,E01000164,471,85,104,1012,40,1712
2021,Barnet 022E,E01000165,603,79,130,941,57,1810
2021,Barnet 003A,E01000166,349,36,65,1149,21,1620
2021,Barnet 002A,E01000167,225,37,63,1044,20,1389
2021,Barnet 003B,E01000168,398,18,28,1053,19,1516
2021,Barnet 003C,E01000169,286,34,83,1193,35,1631
2021,Barnet 006A,E01000170,377,60,84,1332,53,1906
2021,Barnet 006B,E01000171,482,169,200,1307,132,2290
2021,Barnet 003D,E01000172,340,37,50,1249,15,1691
2021,Barnet 006C,E01000173,323,42,73,1241,11,1690
2021,Barnet 006D,E01000174,331,80,102,1184,62,1759
2021,Barnet 006E,E01000175,438,102,89,1354,48,2031
2021,Barnet 027A,E01000176,404,32,73,1186,27,1722
2021,Barnet 029A,E01000177,296,67,117,1130,53,1663
2021,Barnet 027B,E01000178,337,78,97,1122,38,1672
2021,Barnet 029B,E01000179,383,136,126,1087,57,1789
2021,Barnet 029C,E01000180,432,98,109,923,54,1616
2021,Barnet 029D,E01000181,351,96,123,1051,67,1688
2021,Barnet 029E,E01000182,356,98,98,1019,46,1617
2021,Barnet 033A,E01000183,387,56,98,914,67,1522
2021,Barnet 027C,E01000184,538,83,135,1043,73,1872
2021,Barnet 029F,E01000185,541,56,77,776,24,1474
2021,Barnet 014A,E01000186,404,75,70,1190,34,1773
2021,Barnet 014B,E01000187,415,54,111,1129,30,1739
2021,Barnet 014C,E01000188,413,33,70,1048,14,1578
2021,Barnet 014D,E01000189,729,109,253,1316,62,2469
2021,Barnet 014E,E01000190,425,38,78,1153,37,1731
2021,Barnet 014F,E01000191,379,77,76,992,26,1550
2021,Barnet 018A,E01000192,558,110,121,1124,83,1996
2021,Barnet 018B,E01000193,551,139,228,946,84,1948
2021,Barnet 018C,E01000194,622,127,195,868,95,1907
2021,Barnet 013A,E01000195,595,101,181,1092,50,2019
2021,Barnet 028A,E01000196,618,234,242,894,136,2124
2021,Barnet 023A,E01000197,517,118,137,1006,72,1850
2021,Barnet 025A,E01000198,546,103,140,1367,37,2193
2021,Barnet 025B,E01000199,360,57,57,1051,55,1580
2021,Barnet 028B,E01000200,432,90,128,1210,118,1978
2021,Barnet 028C,E01000201,399,43,50,930,117,1539
2021,Barnet 028D,E01000202,427,77,103,1010,57,1674
2021,Barnet 028E,E01000203,529,115,125,1008,68,1845
2021,Barnet 025C,E01000204,407,88,99,1068,39,1701
2021,Barnet 035A,E01000205,354,49,48,1022,33,1506
2021,Barnet 033B,E01000206,380,99,100,855,68,1502
2021,Barnet 033C,E01000207,387,51,87,1020,38,1583
2021,Barnet 033D,E01000208,427,89,87,960,66,1629
2021,Barnet 035B,E01000209,319,47,47,1053,18,1484
2021,Barnet 033E,E01000210,361,56,92,1002,35,1546
2021,Barnet 035C,E01000211,668,185,261,893,121,2128
2021,Barnet 035D,E01000212,353,73,129,761,29,1345
2021,Barnet 033F,E01000213,251,52,46,967,33,1349
2021,Barnet 038E,E01000214,425,110,112,879,101,1627
2021,Barnet 037B,E01000215,484,121,146,1329,64,2144
2021,Barnet 035E,E01000216,503,119,176,1061,117,1976
2021,Barnet 035F,E01000217,437,85,112,1090,60,1784
2021,Barnet 037C,E01000218,405,129,141,1088,80,1843
2021,Barnet 037D,E01000219,495,228,198,1166,109,2196
2021,Barnet 037E,E01000220,498,132,150,1040,67,1887
2021,Barnet 039B,E01000221,469,54,86,757,45,1411
2021,Barnet 040C,E01000222,741,101,232,878,86,2038
2021,Barnet 039C,E01000223,700,131,189,967,45,2032
2021,Barnet 040D,E01000224,628,145,181,665,75,1694
2021,Barnet 037F,E01000225,377,51,109,1303,28,1868
2021,Barnet 018D,E01000226,566,64,141,917,47,1735
2021,Barnet 018E,E01000227,551,63,119,1092,46,1871
2021,Barnet 007A,E01000228,379,31,55,950,21,1436
2021,Barnet 013B,E01000229,448,75,119,992,36,1670
2021,Barnet 013C,E01000230,440,48,101,1331,39,1959
2021,Barnet 013D,E01000231,599,73,123,946,45,1786
2021,Barnet 013E,E01000232,521,57,97,1146,50,1871
2021,Barnet 013F,E01000233,565,60,111,1163,39,1938
2021,Barnet 021D,E01000234,400,91,102,1148,40,1781
2021,Barnet 021E,E01000235,559,88,128,1030,57,1862
2021,Barnet 034A,E01000236,372,133,155,1212,79,1951
2021,Barnet 032A,E01000237,464,204,301,981,150,2100
2021,Barnet 034B,E01000238,420,145,217,1253,64,2099
2021,Barnet 031A,E01000239,656,207,211,859,127,2060
2021,Barnet 031B,E01000240,583,121,126,836,69,1735
2021,Barnet 031C,E01000241,506,110,131,949,92,1788
2021,Barnet 032B,E01000242,388,62,56,1045,50,1601
2021,Barnet 032C,E01000243,493,232,262,999,177,2163
2021,Barnet 032D,E01000244,488,109,152,701,188,1638
2021,Barnet 032E,E01000245,616,179,226,916,120,2057
2021,Barnet 002B,E01000246,284,27,43,1143,23,1520
2021,Barnet 002C,E01000247,285,49,88,1254,20,1696
2021,Barnet 001A,E01000248,285,45,60,1292,20,1702
2021,Barnet 001B,E01000249,255,28,41,1282,7,1613
2021,Barnet 001C,E01000250,579,111,193,1650,77,2610
2021,Barnet 002D,E01000251,489,72,127,1491,83,2262
2021,Barnet 002E,E01000252,362,72,90,1171,21,1716
2021,Barnet 007B,E01000253,450,24,38,1419,49,1980
2021,Barnet 001D,E01000254,214,34,47,1281,23,1599
2021,Barnet 017A,E01000255,465,40,72,1094,29,1700
2021,Barnet 016A,E01000256,477,70,98,1214,70,1929
2021,Barnet 017B,E01000257,585,96,137,1205,67,2090
2021,Barnet 016B,E01000258,466,58,64,1249,53,1890
2021,Barnet 025D,E01000259,845,108,142,1488,60,2643
2021,Barnet 025E,E01000260,627,138,210,1108,83,2166
2021,Barnet 017C,E01000261,302,38,47,1270,111,1768
2021,Barnet 016C,E01000263,272,8,17,1217,12,1526
2021,Barnet 016D,E01000264,476,107,169,985,86,1823
2021,Barnet 011A,E01000265,499,119,133,1127,44,1922
2021,Barnet 011B,E01000266,308,19,29,1062,18,1436
2021,Barnet 005A,E01000267,316,52,59,1053,47,1527
2021,Barnet 005B,E01000268,502,129,143,1208,93,2075
2021,Barnet 005C,E01000269,314,12,37,1012,8,1383
2021,Barnet 005D,E01000270,356,34,50,1075,30,1545
2021,Barnet 008A,E01000271,400,46,64,1096,32,1638
2021,Barnet 008B,E01000272,341,43,43,984,15,1426
2021,Barnet 008C,E01000273,435,90,101,992,52,1670
2021,Barnet 011C,E01000274,468,75,93,1256,44,1936
2021,Barnet 012A,E01000275,467,140,131,917,87,1742
2021,Barnet 020A,E01000276,410,97,37,931,63,1538
