date,geography,geography code,Age of arrival in the UK: Arrived in the UK,Age of arrival in the UK: Arrived in the UK: Aged 0 to 4 years,Age of arrival in the UK: Arrived in the UK: Aged 10 to 14 years,Age of arrival in the UK: Arrived in the UK: Aged 15 years,Age of arrival in the UK: Arrived in the UK: Aged 16 to 17 years,Age of arrival in the UK: Arrived in the UK: Aged 18 to 19 years,Age of arrival in the UK: Arrived in the UK: Aged 20 to 24 years,Age of arrival in the UK: Arrived in the UK: Aged 25 to 29 years,Age of arrival in the UK: Arrived in the UK: Aged 30 to 44 years,Age of arrival in the UK: Arrived in the UK: Aged 45 to 59 years,Age of arrival in the UK: Arrived in the UK: Aged 5 to 7 years,Age of arrival in the UK: Arrived in the UK: Aged 60 to 64 years,Age of arrival in the UK: Arrived in the UK: Aged 65 to 74 years,Age of arrival in the UK: Arrived in the UK: Aged 75 to 84 years,Age of arrival in the UK: Arrived in the UK: Aged 8 to 9 years,Age of arrival in the UK: Arrived in the UK: Aged 85 to 89 years,Age of arrival in the UK: Arrived in the UK: Aged 90 years and over,Age of arrival in the UK: Born in the UK,Age of arrival in the UK: Total: All usual residents
2021,City of London 001A,E01000001,605,34,18,5,15,43,150,135,152,32,7,4,8,1,1,0,0,874,1479
2021,City of London 001B,E01000002,627,30,27,4,26,55,134,141,116,60,21,2,3,0,8,0,0,759,1386
2021,City of London 001C,E01000003,690,21,24,8,28,42,156,192,157,34,11,2,3,3,9,0,0,924,1614
2021,City of London 001E,E01000005,539,32,24,14,32,45,126,95,117,30,5,5,5,0,8,0,1,563,1102
2021,Barking and Dagenham 016A,E01000006,961,79,61,12,34,54,185,160,240,59,35,5,8,4,25,0,0,888,1849
2021,Barking and Dagenham 015A,E01000007,1690,159,100,26,53,100,292,322,438,72,68,11,7,1,41,0,0,1219,2909
2021,Barking and Dagenham 015B,E01000008,873,86,51,18,38,43,113,149,228,54,49,3,5,2,34,0,0,921,1794
2021,Barking and Dagenham 016B,E01000009,1082,87,63,20,42,77,214,158,266,76,38,9,3,1,28,0,0,720,1802
2021,Barking and Dagenham 016C,E01000011,1037,80,112,12,48,61,158,158,249,66,61,10,2,0,20,0,0,665,1702
2021,Barking and Dagenham 015D,E01000012,1270,127,98,20,46,62,237,210,286,73,58,11,3,7,32,0,0,1075,2345
2021,Barking and Dagenham 013A,E01000013,753,66,61,8,23,43,125,132,201,36,30,4,5,0,19,0,0,1120,1873
2021,Barking and Dagenham 013B,E01000014,646,68,36,7,32,39,130,117,146,26,18,1,7,0,19,0,0,1107,1753
2021,Barking and Dagenham 009A,E01000015,929,68,49,7,33,55,153,201,233,37,46,5,7,3,32,0,0,1494,2423
2021,Barking and Dagenham 009B,E01000016,707,62,51,7,18,47,135,125,151,46,35,5,2,2,21,0,0,1144,1851
2021,Barking and Dagenham 009C,E01000017,647,52,58,13,16,34,114,111,155,33,33,5,4,2,17,0,0,1077,1724
2021,Barking and Dagenham 009D,E01000018,679,58,49,9,33,39,118,110,186,27,30,5,2,1,12,0,0,1096,1775
2021,Barking and Dagenham 023A,E01000019,697,79,59,8,27,42,112,113,166,37,19,3,3,2,27,0,0,961,1658
2021,Barking and Dagenham 023B,E01000020,860,79,60,5,19,43,163,136,212,33,58,8,4,1,39,0,0,1332,2192
2021,Barking and Dagenham 008A,E01000021,696,70,40,8,27,41,126,124,159,32,35,6,4,1,23,0,0,997,1693
2021,Barking and Dagenham 008B,E01000022,582,70,43,4,15,31,107,96,138,23,26,6,2,1,19,1,0,892,1474
2021,Barking and Dagenham 008D,E01000024,598,47,46,12,20,44,103,98,145,35,30,3,4,0,10,1,0,882,1480
2021,Barking and Dagenham 008E,E01000025,743,93,45,5,25,38,138,136,164,48,29,3,5,0,14,0,0,1177,1920
2021,Barking and Dagenham 001A,E01000027,588,54,35,3,26,22,113,153,101,26,30,4,5,1,15,0,0,1495,2083
2021,Barking and Dagenham 001B,E01000028,750,95,46,13,27,38,124,143,170,30,30,5,5,1,23,0,0,1068,1818
2021,Barking and Dagenham 001C,E01000029,751,60,54,14,35,42,191,134,138,22,26,4,3,1,27,0,0,1069,1820
2021,Barking and Dagenham 001D,E01000030,837,74,67,20,28,41,145,170,194,27,32,5,7,0,26,1,0,1730,2567
2021,Barking and Dagenham 002A,E01000031,680,54,51,13,35,47,157,102,122,31,39,4,3,0,22,0,0,1093,1773
2021,Barking and Dagenham 002B,E01000032,825,64,46,7,30,56,182,152,177,32,39,7,5,1,27,0,0,1252,2077
2021,Barking and Dagenham 006A,E01000033,433,37,25,6,17,22,84,74,107,26,16,0,3,0,16,0,0,1108,1541
2021,Barking and Dagenham 003A,E01000034,469,44,26,10,12,32,79,82,113,19,24,5,3,1,18,0,1,1105,1574
2021,Barking and Dagenham 010A,E01000035,732,64,57,8,25,45,139,128,174,41,26,7,2,1,15,0,0,1128,1860
2021,Barking and Dagenham 010B,E01000036,665,47,41,7,25,47,120,119,154,39,33,4,3,1,25,0,0,804,1469
2021,Barking and Dagenham 003B,E01000037,453,45,26,11,19,40,95,77,95,17,15,1,2,0,10,0,0,1244,1697
2021,Barking and Dagenham 003C,E01000038,453,42,31,5,16,41,92,81,82,22,19,6,0,1,15,0,0,1164,1617
2021,Barking and Dagenham 003D,E01000039,513,37,35,8,25,37,112,92,92,35,20,1,5,0,14,0,0,1239,1752
2021,Barking and Dagenham 019A,E01000040,841,66,53,30,73,45,149,134,184,38,32,6,4,1,26,0,0,1036,1877
2021,Barking and Dagenham 017A,E01000041,722,76,44,6,19,44,137,145,171,31,27,5,2,0,15,0,0,1118,1840
2021,Barking and Dagenham 017B,E01000042,755,75,56,16,41,34,152,136,159,27,41,2,1,0,15,0,0,1125,1880
2021,Barking and Dagenham 019B,E01000043,641,57,50,13,17,38,140,101,145,30,23,4,6,2,15,0,0,895,1536
2021,Barking and Dagenham 016D,E01000044,1081,80,85,16,42,65,186,182,264,64,56,5,5,3,28,0,0,914,1995
2021,Barking and Dagenham 017C,E01000045,691,56,51,11,25,44,138,110,168,35,37,4,2,1,9,0,0,1032,1723
2021,Barking and Dagenham 017D,E01000046,747,72,39,14,28,37,150,117,191,30,32,3,3,0,31,0,0,1211,1958
2021,Barking and Dagenham 021C,E01000049,896,78,80,28,40,43,172,148,203,36,33,1,4,1,29,0,0,1073,1969
2021,Barking and Dagenham 019C,E01000050,986,69,63,14,43,51,211,177,224,40,50,6,6,1,31,0,0,855,1841
2021,Barking and Dagenham 021D,E01000051,608,45,49,12,33,40,121,124,113,30,22,5,2,0,12,0,0,499,1107
2021,Barking and Dagenham 019D,E01000052,1259,108,76,23,41,59,228,216,329,64,59,4,5,4,43,0,0,1111,2370
2021,Barking and Dagenham 020A,E01000053,631,72,39,8,25,34,116,98,154,36,31,4,3,1,10,0,0,988,1619
2021,Barking and Dagenham 018A,E01000054,646,55,37,15,16,41,141,104,151,36,21,3,3,1,22,0,0,1226,1872
2021,Barking and Dagenham 018B,E01000055,625,62,41,9,13,28,106,109,148,48,34,4,3,1,19,0,0,1083,1708
2021,Barking and Dagenham 018C,E01000056,551,56,46,11,15,31,102,96,133,19,24,4,5,1,8,0,0,1151,1702
2021,Barking and Dagenham 012A,E01000057,665,59,33,8,30,33,117,112,181,31,35,3,4,1,18,0,0,886,1551
2021,Barking and Dagenham 018D,E01000058,980,70,101,18,48,38,144,163,276,56,29,6,1,3,26,1,0,1154,2134
2021,Barking and Dagenham 013C,E01000059,579,43,34,6,17,32,116,105,151,26,21,3,5,3,16,0,1,1132,1711
2021,Barking and Dagenham 006B,E01000060,712,59,39,12,32,34,131,141,173,28,37,4,1,0,21,0,0,1462,2174
2021,Barking and Dagenham 006C,E01000061,633,54,56,11,28,29,112,131,135,15,34,3,1,1,23,0,0,1288,1921
2021,Barking and Dagenham 006D,E01000062,855,80,52,16,24,56,156,146,197,50,40,5,2,1,30,0,0,1363,2218
2021,Barking and Dagenham 004A,E01000063,624,53,43,12,26,31,118,121,132,26,40,3,2,0,17,0,0,1157,1781
2021,Barking and Dagenham 006E,E01000064,906,62,66,12,39,57,181,155,211,52,39,2,6,1,22,1,0,1388,2294
