date,geography,geography code,Migrant indicator: Address one year ago is student term-time or boarding school address in the UK,Migrant indicator: Address one year ago is the same as the address of enumeration,Migrant indicator: Migrant from outside the UK: Address one year ago was outside the UK,Migrant indicator: Migrant from within the UK: Address one year ago was in the UK,Migrant indicator: Total: All usual residents
2021,City of London 001A,E01000001,23,1153,90,199,1465
2021,City of London 001B,E01000002,21,1061,63,230,1375
2021,City of London 001C,E01000003,14,1302,70,224,1610
2021,City of London 001E,E01000005,11,940,51,86,1088
2021,Barking and Dagenham 016A,E01000006,1,1635,26,151,1813
2021,Barking and Dagenham 015A,E01000007,7,2242,61,539,2849
2021,Barking and Dagenham 015B,E01000008,4,1582,23,140,1749
2021,Barking and Dagenham 016B,E01000009,1,1571,46,162,1780
2021,Barking and Dagenham 016C,E01000011,2,1499,40,139,1680
2021,Barking and Dagenham 015D,E01000012,7,1964,31,293,2295
2021,Barking and Dagenham 013A,E01000013,3,1728,24,99,1854
2021,Barking and Dagenham 013B,E01000014,5,1609,14,103,1731
2021,Barking and Dagenham 009A,E01000015,3,2209,19,153,2384
2021,Barking and Dagenham 009B,E01000016,7,1698,9,121,1835
2021,Barking and Dagenham 009C,E01000017,2,1590,6,105,1703
2021,Barking and Dagenham 009D,E01000018,2,1616,6,126,1750
2021,Barking and Dagenham 023A,E01000019,1,1547,11,80,1639
2021,Barking and Dagenham 023B,E01000020,0,1989,27,136,2152
2021,Barking and Dagenham 008A,E01000021,2,1501,23,148,1674
2021,Barking and Dagenham 008B,E01000022,2,1368,10,80,1460
2021,Barking and Dagenham 008D,E01000024,4,1344,21,98,1467
2021,Barking and Dagenham 008E,E01000025,2,1795,12,92,1901
2021,Barking and Dagenham 001A,E01000027,3,1902,15,131,2051
2021,Barking and Dagenham 001B,E01000028,4,1661,15,103,1783
2021,Barking and Dagenham 001C,E01000029,0,1653,11,138,1802
2021,Barking and Dagenham 001D,E01000030,5,2406,11,107,2529
2021,Barking and Dagenham 002A,E01000031,3,1609,18,117,1747
2021,Barking and Dagenham 002B,E01000032,3,1862,21,163,2049
2021,Barking and Dagenham 006A,E01000033,1,1456,8,60,1525
2021,Barking and Dagenham 003A,E01000034,1,1476,7,81,1565
2021,Barking and Dagenham 010A,E01000035,1,1702,22,114,1839
2021,Barking and Dagenham 010B,E01000036,5,1317,18,112,1452
2021,Barking and Dagenham 003B,E01000037,1,1481,3,192,1677
2021,Barking and Dagenham 003C,E01000038,3,1462,16,123,1604
2021,Barking and Dagenham 003D,E01000039,2,1581,13,134,1730
2021,Barking and Dagenham 019A,E01000040,2,1710,32,116,1860
2021,Barking and Dagenham 017A,E01000041,4,1683,24,109,1820
2021,Barking and Dagenham 017B,E01000042,1,1730,7,107,1845
2021,Barking and Dagenham 019B,E01000043,0,1435,21,64,1520
2021,Barking and Dagenham 016D,E01000044,5,1757,14,191,1967
2021,Barking and Dagenham 017C,E01000045,2,1555,14,125,1696
2021,Barking and Dagenham 017D,E01000046,3,1756,14,155,1928
2021,Barking and Dagenham 021C,E01000049,8,1827,25,87,1947
2021,Barking and Dagenham 019C,E01000050,3,1656,20,127,1806
2021,Barking and Dagenham 021D,E01000051,0,1000,8,69,1077
2021,Barking and Dagenham 019D,E01000052,3,2103,35,176,2317
2021,Barking and Dagenham 020A,E01000053,1,1464,19,104,1588
2021,Barking and Dagenham 018A,E01000054,0,1721,19,102,1842
2021,Barking and Dagenham 018B,E01000055,1,1548,18,123,1690
2021,Barking and Dagenham 018C,E01000056,3,1556,11,111,1681
2021,Barking and Dagenham 012A,E01000057,2,1390,15,125,1532
2021,Barking and Dagenham 018D,E01000058,4,1978,13,114,2109
2021,Barking and Dagenham 013C,E01000059,2,1566,13,113,1694
2021,Barking and Dagenham 006B,E01000060,3,1974,9,162,2148
2021,Barking and Dagenham 006C,E01000061,2,1725,9,151,1887
2021,Barking and Dagenham 006D,E01000062,3,2003,28,162,2196
2021,Barking and Dagenham 004A,E01000063,2,1641,15,103,1761
2021,Barking and Dagenham 006E,E01000064,3,2036,18,207,2264
2021,Barking and Dagenham 007A,E01000065,1,1810,19,130,1960
2021,Barking and Dagenham 011A,E01000066,1,2260,76,143,2480
2021,Barking and Dagenham 011B,E01000067,4,2086,23,98,2211
2021,Barking and Dagenham 016E,E01000068,2,1614,27,126,1769
2021,Barking and Dagenham 011C,E01000069,2,1960,15,102,2079
2021,Barking and Dagenham 011D,E01000070,4,1913,23,105,2045
2021,Barking and Dagenham 011E,E01000071,3,2401,15,162,2581
2021,Barking and Dagenham 017E,E01000072,4,1947,19,159,2129
2021,Barking and Dagenham 012B,E01000073,3,1691,8,117,1819
2021,Barking and Dagenham 012C,E01000074,2,1606,8,126,1742
2021,Barking and Dagenham 012D,E01000075,7,1868,13,151,2039
2021,Barking and Dagenham 012E,E01000076,3,1973,16,144,2136
2021,Barking and Dagenham 008F,E01000077,2,1572,18,111,1703
2021,Barking and Dagenham 007B,E01000078,1,1733,7,139,1880
2021,Barking and Dagenham 009E,E01000079,1,1562,10,123,1696
2021,Barking and Dagenham 007C,E01000080,2,1622,3,131,1758
2021,Barking and Dagenham 007D,E01000081,1,1829,10,124,1964
2021,Barking and Dagenham 007E,E01000082,2,1792,5,92,1891
2021,Barking and Dagenham 007F,E01000083,1,1770,13,116,1900
2021,Barking and Dagenham 013D,E01000084,1,1308,9,103,1421
2021,Barking and Dagenham 013E,E01000085,2,1501,21,103,1627
2021,Barking and Dagenham 013F,E01000086,4,1328,26,76,1434
2021,Barking and Dagenham 020B,E01000087,1,1499,19,100,1619
2021,Barking and Dagenham 020C,E01000088,7,1777,26,138,1948
2021,Barking and Dagenham 020D,E01000089,2,1645,17,138,1802
