date,geography,geography code,"Household language (English and Welsh): All adults in household have English in England, or English or Welsh in Wales as a main language","Household language (English and Welsh): At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language","Household language (English and Welsh): No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language","Household language (English and Welsh): No people in household have English in England, or English or Welsh in Wales as a main language",Household language (English and Welsh): Total: All households
2021,City of London 001A,E01000001,696,50,6,87,839
2021,City of London 001B,E01000002,653,42,3,124,822
2021,City of London 001C,E01000003,827,62,11,117,1017
2021,City of London 001E,E01000005,301,85,13,80,479
2021,Barking and Dagenham 016A,E01000006,297,102,39,115,553
2021,Barking and Dagenham 015A,E01000007,737,109,76,269,1191
2021,Barking and Dagenham 015B,E01000008,327,128,25,68,548
2021,Barking and Dagenham 016B,E01000009,281,111,51,155,598
2021,Barking and Dagenham 016C,E01000011,201,112,31,129,473
2021,Barking and Dagenham 015D,E01000012,452,100,71,161,784
2021,Barking and Dagenham 013A,E01000013,439,62,40,78,619
2021,Barking and Dagenham 013B,E01000014,467,51,45,71,634
2021,Barking and Dagenham 009A,E01000015,591,77,69,98,835
2021,Barking and Dagenham 009B,E01000016,465,52,40,70,627
2021,Barking and Dagenham 009C,E01000017,446,66,30,57,599
2021,Barking and Dagenham 009D,E01000018,474,52,40,79,645
2021,Barking and Dagenham 023A,E01000019,332,69,38,59,498
2021,Barking and Dagenham 023B,E01000020,469,86,39,70,664
2021,Barking and Dagenham 008A,E01000021,391,78,37,83,589
2021,Barking and Dagenham 008B,E01000022,338,58,29,54,479
2021,Barking and Dagenham 008D,E01000024,308,66,31,54,459
2021,Barking and Dagenham 008E,E01000025,513,67,41,72,693
2021,Barking and Dagenham 001A,E01000027,517,58,29,58,662
2021,Barking and Dagenham 001B,E01000028,434,92,32,63,621
2021,Barking and Dagenham 001C,E01000029,514,71,24,72,681
2021,Barking and Dagenham 001D,E01000030,719,74,56,57,906
2021,Barking and Dagenham 002A,E01000031,425,97,20,53,595
2021,Barking and Dagenham 002B,E01000032,476,93,55,101,725
2021,Barking and Dagenham 006A,E01000033,465,29,24,34,552
2021,Barking and Dagenham 003A,E01000034,414,51,16,33,514
2021,Barking and Dagenham 010A,E01000035,423,66,34,72,595
2021,Barking and Dagenham 010B,E01000036,321,61,19,70,471
2021,Barking and Dagenham 003B,E01000037,497,46,12,33,588
2021,Barking and Dagenham 003C,E01000038,453,40,24,47,564
2021,Barking and Dagenham 003D,E01000039,533,40,21,48,642
2021,Barking and Dagenham 019A,E01000040,414,91,38,113,656
2021,Barking and Dagenham 017A,E01000041,425,74,37,66,602
2021,Barking and Dagenham 017B,E01000042,468,80,33,74,655
2021,Barking and Dagenham 019B,E01000043,308,89,19,54,470
2021,Barking and Dagenham 016D,E01000044,389,121,40,110,660
2021,Barking and Dagenham 017C,E01000045,417,63,27,72,579
2021,Barking and Dagenham 017D,E01000046,486,67,42,69,664
2021,Barking and Dagenham 021C,E01000049,332,130,43,69,574
2021,Barking and Dagenham 019C,E01000050,360,83,57,133,633
2021,Barking and Dagenham 021D,E01000051,274,36,20,103,433
2021,Barking and Dagenham 019D,E01000052,471,105,78,142,796
2021,Barking and Dagenham 020A,E01000053,501,40,36,74,651
2021,Barking and Dagenham 018A,E01000054,485,51,40,62,638
2021,Barking and Dagenham 018B,E01000055,422,62,31,52,567
2021,Barking and Dagenham 018C,E01000056,431,61,32,39,563
2021,Barking and Dagenham 012A,E01000057,373,67,33,57,530
2021,Barking and Dagenham 018D,E01000058,465,88,47,99,699
2021,Barking and Dagenham 013C,E01000059,442,43,27,58,570
2021,Barking and Dagenham 006B,E01000060,636,53,50,71,810
2021,Barking and Dagenham 006C,E01000061,607,46,21,78,752
2021,Barking and Dagenham 006D,E01000062,592,61,37,76,766
2021,Barking and Dagenham 004A,E01000063,477,63,31,52,623
2021,Barking and Dagenham 006E,E01000064,575,79,39,102,795
2021,Barking and Dagenham 007A,E01000065,592,64,43,84,783
2021,Barking and Dagenham 011A,E01000066,423,172,24,92,711
2021,Barking and Dagenham 011B,E01000067,434,126,40,59,659
2021,Barking and Dagenham 016E,E01000068,280,123,10,64,477
2021,Barking and Dagenham 011C,E01000069,339,139,16,41,535
2021,Barking and Dagenham 011D,E01000070,354,147,23,54,578
2021,Barking and Dagenham 011E,E01000071,519,158,40,89,806
2021,Barking and Dagenham 017E,E01000072,537,79,43,79,738
2021,Barking and Dagenham 012B,E01000073,498,56,40,72,666
2021,Barking and Dagenham 012C,E01000074,455,68,35,67,625
2021,Barking and Dagenham 012D,E01000075,470,77,31,62,640
2021,Barking and Dagenham 012E,E01000076,580,66,36,112,794
2021,Barking and Dagenham 008F,E01000077,424,73,29,66,592
2021,Barking and Dagenham 007B,E01000078,448,55,51,69,623
2021,Barking and Dagenham 009E,E01000079,483,48,29,63,623
2021,Barking and Dagenham 007C,E01000080,469,51,29,59,608
2021,Barking and Dagenham 007D,E01000081,473,67,42,71,653
2021,Barking and Dagenham 007E,E01000082,535,58,31,71,695
2021,Barking and Dagenham 007F,E01000083,472,58,39,64,633
2021,Barking and Dagenham 013D,E01000084,373,49,25,54,501
2021,Barking and Dagenham 013E,E01000085,417,54,34,71,576
2021,Barking and Dagenham 013F,E01000086,369,37,34,49,489
2021,Barking and Dagenham 020B,E01000087,366,71,25,57,519
2021,Barking and Dagenham 020C,E01000088,402,87,46,68,603
2021,Barking and Dagenham 020D,E01000089,425,63,39,74,601
2021,Barking and Dagenham 020E,E01000090,352,82,46,77,557
2021,Barking and Dagenham 022A,E01000091,464,105,41,64,674
2021,Barking and Dagenham 022B,E01000093,488,73,35,65,661
2021,Barking and Dagenham 022C,E01000094,563,88,56,136,843
2021,Barking and Dagenham 018E,E01000095,536,67,59,75,737
2021,Barking and Dagenham 022D,E01000096,339,65,41,40,485
2021,Barking and Dagenham 023C,E01000097,496,77,37,75,685
2021,Barking and Dagenham 023D,E01000098,437,84,35,70,626
2021,Barking and Dagenham 023E,E01000099,651,94,58,131,934
2021,Barking and Dagenham 004B,E01000100,478,68,34,76,656
2021,Barking and Dagenham 004C,E01000101,428,68,29,58,583
2021,Barking and Dagenham 007G,E01000102,455,52,43,79,629
2021,Barking and Dagenham 014A,E01000103,407,54,28,43,532
2021,Barking and Dagenham 014B,E01000104,549,55,42,47,693
2021,Barking and Dagenham 014C,E01000105,721,67,50,97,935
2021,Barking and Dagenham 014D,E01000106,657,64,44,106,871
2021,Barking and Dagenham 010C,E01000107,452,55,32,63,602
