date,geography,geography code,Multiple main languages in household: All household members have the same main language,Multiple main languages in household: Any other combination of multiple main languages,"Multiple main languages in household: Main language differs between generations, but not within partnerships",Multiple main languages in household: Main language differs within partnerships,Multiple main languages in household: One-person household,Multiple main languages in household: Total: All households
2021,City of London 001A,E01000001,395,14,9,49,371,838
2021,City of London 001B,E01000002,359,13,6,37,409,824
2021,City of London 001C,E01000003,352,23,13,47,582,1017
2021,City of London 001E,E01000005,152,30,44,34,219,479
2021,Barking and Dagenham 016A,E01000006,300,73,40,48,94,555
2021,Barking and Dagenham 015A,E01000007,539,44,96,75,437,1191
2021,Barking and Dagenham 015B,E01000008,261,54,72,28,133,548
2021,Barking and Dagenham 016B,E01000009,243,81,61,43,173,601
2021,Barking and Dagenham 016C,E01000011,215,89,42,32,96,474
2021,Barking and Dagenham 015D,E01000012,434,62,73,51,163,783
2021,Barking and Dagenham 013A,E01000013,390,40,50,22,116,618
2021,Barking and Dagenham 013B,E01000014,365,34,52,16,166,633
2021,Barking and Dagenham 009A,E01000015,496,40,84,30,185,835
2021,Barking and Dagenham 009B,E01000016,405,38,38,24,122,627
2021,Barking and Dagenham 009C,E01000017,352,36,45,21,145,599
2021,Barking and Dagenham 009D,E01000018,391,36,42,21,155,645
2021,Barking and Dagenham 023A,E01000019,317,42,39,30,73,501
2021,Barking and Dagenham 023B,E01000020,386,43,67,22,146,664
2021,Barking and Dagenham 008A,E01000021,302,32,58,39,160,591
2021,Barking and Dagenham 008B,E01000022,294,29,50,15,91,479
2021,Barking and Dagenham 008D,E01000024,284,36,48,17,74,459
2021,Barking and Dagenham 008E,E01000025,349,38,51,27,231,696
2021,Barking and Dagenham 001A,E01000027,437,31,35,27,133,663
2021,Barking and Dagenham 001B,E01000028,300,37,57,37,190,621
2021,Barking and Dagenham 001C,E01000029,394,29,45,28,185,681
2021,Barking and Dagenham 001D,E01000030,554,28,67,38,219,906
2021,Barking and Dagenham 002A,E01000031,323,50,37,31,154,595
2021,Barking and Dagenham 002B,E01000032,384,54,73,34,178,723
2021,Barking and Dagenham 006A,E01000033,340,15,29,12,152,548
2021,Barking and Dagenham 003A,E01000034,317,33,22,18,124,514
2021,Barking and Dagenham 010A,E01000035,343,43,42,25,142,595
2021,Barking and Dagenham 010B,E01000036,291,28,36,21,96,472
2021,Barking and Dagenham 003B,E01000037,400,27,15,19,128,589
2021,Barking and Dagenham 003C,E01000038,374,22,27,17,123,563
2021,Barking and Dagenham 003D,E01000039,413,20,25,18,164,640
2021,Barking and Dagenham 019A,E01000040,364,46,57,35,154,656
2021,Barking and Dagenham 017A,E01000041,375,46,46,27,108,602
2021,Barking and Dagenham 017B,E01000042,347,40,44,37,189,657
2021,Barking and Dagenham 019B,E01000043,249,52,46,24,102,473
2021,Barking and Dagenham 016D,E01000044,292,63,63,48,194,660
2021,Barking and Dagenham 017C,E01000045,360,32,37,31,117,577
2021,Barking and Dagenham 017D,E01000046,402,46,55,16,143,662
2021,Barking and Dagenham 021C,E01000049,279,58,89,35,116,577
2021,Barking and Dagenham 019C,E01000050,315,61,63,36,156,631
2021,Barking and Dagenham 021D,E01000051,236,12,26,27,132,433
2021,Barking and Dagenham 019D,E01000052,429,60,90,49,167,795
2021,Barking and Dagenham 020A,E01000053,333,28,39,18,233,651
2021,Barking and Dagenham 018A,E01000054,420,29,45,22,124,640
2021,Barking and Dagenham 018B,E01000055,381,27,54,15,90,567
2021,Barking and Dagenham 018C,E01000056,353,34,49,15,112,563
2021,Barking and Dagenham 012A,E01000057,328,26,52,29,95,530
2021,Barking and Dagenham 018D,E01000058,425,45,80,27,121,698
2021,Barking and Dagenham 013C,E01000059,366,33,31,17,126,573
2021,Barking and Dagenham 006B,E01000060,449,31,61,21,248,810
2021,Barking and Dagenham 006C,E01000061,406,18,33,24,269,750
2021,Barking and Dagenham 006D,E01000062,470,48,42,18,188,766
2021,Barking and Dagenham 004A,E01000063,381,36,35,29,142,623
2021,Barking and Dagenham 006E,E01000064,458,40,53,35,212,798
2021,Barking and Dagenham 007A,E01000065,391,41,52,19,282,785
2021,Barking and Dagenham 011A,E01000066,308,113,44,47,198,710
2021,Barking and Dagenham 011B,E01000067,366,60,61,47,126,660
2021,Barking and Dagenham 016E,E01000068,269,83,33,27,64,476
2021,Barking and Dagenham 011C,E01000069,291,84,48,30,83,536
2021,Barking and Dagenham 011D,E01000070,297,79,46,54,102,578
2021,Barking and Dagenham 011E,E01000071,420,83,79,38,186,806
2021,Barking and Dagenham 017E,E01000072,448,38,63,29,161,739
2021,Barking and Dagenham 012B,E01000073,384,32,41,30,180,667
2021,Barking and Dagenham 012C,E01000074,354,28,50,32,162,626
2021,Barking and Dagenham 012D,E01000075,399,48,46,22,125,640
2021,Barking and Dagenham 012E,E01000076,454,27,61,23,228,793
2021,Barking and Dagenham 008F,E01000077,347,41,36,29,138,591
2021,Barking and Dagenham 007B,E01000078,394,40,52,20,115,621
2021,Barking and Dagenham 009E,E01000079,363,21,43,17,176,620
2021,Barking and Dagenham 007C,E01000080,409,26,41,16,116,608
2021,Barking and Dagenham 007D,E01000081,394,50,49,23,137,653
2021,Barking and Dagenham 007E,E01000082,436,27,43,23,168,697
2021,Barking and Dagenham 007F,E01000083,411,30,51,25,117,634
2021,Barking and Dagenham 013D,E01000084,306,39,28,17,111,501
2021,Barking and Dagenham 013E,E01000085,341,30,43,19,141,574
2021,Barking and Dagenham 013F,E01000086,315,22,44,10,97,488
2021,Barking and Dagenham 020B,E01000087,324,40,36,28,91,519
2021,Barking and Dagenham 020C,E01000088,342,48,67,26,120,603
2021,Barking and Dagenham 020D,E01000089,380,37,47,24,112,600
2021,Barking and Dagenham 020E,E01000090,317,47,60,23,107,554
2021,Barking and Dagenham 022A,E01000091,350,39,71,39,172,671
2021,Barking and Dagenham 022B,E01000093,336,33,52,27,215,663
2021,Barking and Dagenham 022C,E01000094,522,34,75,49,163,843
2021,Barking and Dagenham 018E,E01000095,459,31,62,44,141,737
2021,Barking and Dagenham 022D,E01000096,303,33,52,21,75,484
2021,Barking and Dagenham 023C,E01000097,363,37,51,33,200,684
2021,Barking and Dagenham 023D,E01000098,347,44,42,42,147,622
2021,Barking and Dagenham 023E,E01000099,571,51,71,47,194,934
2021,Barking and Dagenham 004B,E01000100,432,40,42,24,118,656
2021,Barking and Dagenham 004C,E01000101,345,32,43,29,133,582
2021,Barking and Dagenham 007G,E01000102,385,24,52,25,143,629
2021,Barking and Dagenham 014A,E01000103,357,34,32,21,91,535
2021,Barking and Dagenham 014B,E01000104,370,36,49,18,221,694
2021,Barking and Dagenham 014C,E01000105,489,39,59,28,320,935
2021,Barking and Dagenham 014D,E01000106,446,35,51,34,306,872
2021,Barking and Dagenham 010C,E01000107,379,35,40,22,126,602
2021,Barking and Dagenham 010D,E01000108,411,33,42,32,167,685
2021,Barking and Dagenham 002C,E01000110,323,44,34,22,98,521
2021,Barking and Dagenham 002D,E01000111,385,47,43,32,241,748
2021,Barking and Dagenham 002E,E01000112,379,53,55,31,182,700
2021,Barking and Dagenham 002F,E01000113,382,65,50,24,121,642
2021,Barking and Dagenham 004E,E01000114,464,45,62,40,146,757
2021,Barnet 009A,E01000115,320,25,22,33,79,479
2021,Barnet 009B,E01000116,388,24,33,38,135,618
2021,Barnet 010A,E01000117,442,20,29,23,180,694
2021,Barnet 010B,E01000118,472,36,32,34,175,749
2021,Barnet 009C,E01000119,399,49,31,50,99,628
2021,Barnet 009D,E01000120,345,29,21,23,79,497
2021,Barnet 010C,E01000121,327,13,49,21,115,525
2021,Barnet 009E,E01000122,334,25,35,31,95,520
2021,Barnet 010D,E01000123,416,32,27,52,204,731
2021,Barnet 010E,E01000124,363,41,51,35,303,793
2021,Barnet 026A,E01000126,383,63,96,36,191,769
2021,Barnet 024B,E01000127,289,46,49,22,109,515
2021,Barnet 024C,E01000128,358,55,75,32,115,635
2021,Barnet 024D,E01000129,284,52,69,19,150,574
2021,Barnet 021A,E01000130,367,47,72,25,148,659
2021,Barnet 024E,E01000131,384,71,55,42,160,712
2021,Barnet 021B,E01000132,276,42,71,36,80,505
2021,Barnet 021C,E01000133,304,50,46,26,152,578
2021,Barnet 024F,E01000134,335,52,54,39,156,636
2021,Barnet 038A,E01000135,355,36,19,33,181,624
2021,Barnet 038B,E01000136,335,35,11,36,148,565
2021,Barnet 041A,E01000137,300,36,115,34,189,674
2021,Barnet 040A,E01000138,277,44,54,38,244,657
2021,Barnet 041B,E01000139,281,58,30,31,143,543
2021,Barnet 041C,E01000140,453,31,41,65,277,867
2021,Barnet 039A,E01000141,334,71,42,56,287,790
2021,Barnet 040B,E01000142,434,41,54,78,283,890
2021,Barnet 041D,E01000143,361,30,36,28,224,679
2021,Barnet 038C,E01000144,289,52,33,50,320,744
2021,Barnet 037A,E01000145,284,38,22,30,114,488
2021,Barnet 038D,E01000146,380,56,24,62,346,868
2021,Barnet 043F,E01000147,288,84,48,30,111,561
2021,Barnet 036A,E01000150,400,71,82,37,186,776
2021,Barnet 026B,E01000151,301,31,82,23,218,655
2021,Barnet 026C,E01000152,528,58,106,56,182,930
2021,Barnet 026D,E01000153,363,32,66,36,245,742
2021,Barnet 026E,E01000154,362,47,72,38,188,707
2021,Barnet 022A,E01000156,423,42,48,58,177,748
2021,Barnet 022B,E01000157,351,20,35,43,218,667
2021,Barnet 015A,E01000158,328,25,35,34,125,547
2021,Barnet 015B,E01000159,395,38,34,45,140,652
2021,Barnet 015C,E01000160,439,38,36,55,232,800
2021,Barnet 015D,E01000161,428,33,61,52,235,809
2021,Barnet 015E,E01000162,320,29,33,30,137,549
2021,Barnet 022C,E01000163,324,25,57,56,337,799
2021,Barnet 022D,E01000164,336,35,46,49,183,649
2021,Barnet 022E,E01000165,375,46,41,41,202,705
2021,Barnet 003A,E01000166,392,17,35,19,191,654
