date,geography,geography code,National identity: Any other combination of only UK identities,National identity: Any other combination of only UK identities: Cornish and British only identity,National identity: Any other combination of only UK identities: Cornish only identity,National identity: Any other combination of only UK identities: Northern Irish and British only identity,National identity: Any other combination of only UK identities: Northern Irish only identity,National identity: Any other combination of only UK identities: Other,National identity: Any other combination of only UK identities: Scottish and British only identity,National identity: Any other combination of only UK identities: Scottish only identity,National identity: British only identity,National identity: English and British only identity,National identity: English only identity,National identity: Irish and at least one UK identity,National identity: Irish only identity,National identity: Non-UK identity only,National identity: Other identity and at least one UK identity,National identity: Other identity only,National identity: Total: All usual residents,National identity: UK identity and non-UK identity,National identity: Welsh and British only identity,National identity: Welsh only identity
2021,City of London 001A,E01000001,27,3,0,0,5,2,9,8,678,121,104,5,18,412,115,394,1473,120,5,6
2021,City of London 001B,E01000002,31,0,1,0,5,7,7,11,603,114,104,11,26,399,118,373,1389,129,3,6
2021,City of London 001C,E01000003,36,0,2,1,10,5,5,13,745,118,149,9,18,406,139,388,1612,148,3,7
2021,City of London 001E,E01000005,5,0,0,0,1,0,1,3,671,57,54,0,6,282,32,276,1101,32,0,0
2021,Barking and Dagenham 016A,E01000006,1,0,0,0,0,0,1,0,1040,49,96,3,13,595,60,582,1845,63,0,1
2021,Barking and Dagenham 015A,E01000007,9,0,0,0,1,2,1,5,1575,68,93,1,26,1048,114,1022,2908,115,0,0
2021,Barking and Dagenham 015B,E01000008,4,0,0,1,1,2,0,0,1149,88,90,0,4,439,24,435,1794,24,0,0
2021,Barking and Dagenham 016B,E01000009,3,0,0,1,0,1,1,0,933,49,79,1,4,671,67,667,1804,68,0,1
2021,Barking and Dagenham 016C,E01000011,4,0,0,1,1,0,0,2,893,28,49,0,4,688,40,684,1702,40,0,0
2021,Barking and Dagenham 015D,E01000012,4,0,0,0,1,0,3,0,1337,88,71,0,5,775,68,770,2347,68,1,3
2021,Barking and Dagenham 013A,E01000013,5,0,0,0,0,4,0,1,939,152,226,0,9,504,44,495,1872,44,0,2
2021,Barking and Dagenham 013B,E01000014,11,0,0,1,2,3,2,3,892,138,266,2,9,406,35,397,1752,37,0,2
2021,Barking and Dagenham 009A,E01000015,3,0,0,1,0,0,1,1,1326,201,272,1,13,572,40,559,2417,41,1,1
2021,Barking and Dagenham 009B,E01000016,1,0,0,0,1,0,0,0,995,148,241,0,5,412,52,407,1849,52,0,0
2021,Barking and Dagenham 009C,E01000017,5,0,0,0,0,2,0,3,983,109,242,3,8,329,51,321,1723,54,0,1
2021,Barking and Dagenham 009D,E01000018,1,0,0,0,0,0,0,1,831,181,268,0,12,439,56,427,1778,56,0,2
2021,Barking and Dagenham 023A,E01000019,1,0,0,0,0,0,0,1,934,101,152,4,4,403,59,399,1655,63,0,1
2021,Barking and Dagenham 023B,E01000020,10,0,0,0,7,1,0,2,1293,118,224,0,12,487,59,475,2192,59,0,1
2021,Barking and Dagenham 008A,E01000021,4,0,0,0,1,3,0,0,948,135,133,1,1,424,43,423,1690,44,0,2
2021,Barking and Dagenham 008B,E01000022,2,0,0,0,1,0,0,1,839,85,169,0,6,311,71,305,1477,71,0,0
2021,Barking and Dagenham 008D,E01000024,4,0,0,0,0,0,1,3,859,83,151,0,9,352,34,343,1485,34,1,1
2021,Barking and Dagenham 008E,E01000025,4,0,0,0,1,1,0,2,1101,130,267,0,3,383,34,380,1919,34,0,0
2021,Barking and Dagenham 001A,E01000027,5,0,0,0,2,0,1,2,1247,174,259,1,14,353,38,339,2082,39,0,5
2021,Barking and Dagenham 001B,E01000028,3,0,0,0,0,1,1,1,1153,90,151,0,23,359,60,336,1816,60,0,0
2021,Barking and Dagenham 001C,E01000029,3,0,0,0,1,0,0,2,1065,90,253,2,24,346,57,322,1818,59,0,2
2021,Barking and Dagenham 001D,E01000030,12,0,0,0,1,3,3,5,1579,174,303,0,3,424,67,421,2562,67,0,3
2021,Barking and Dagenham 002A,E01000031,7,0,0,0,0,3,1,3,1190,62,165,1,7,294,44,287,1771,45,1,7
2021,Barking and Dagenham 002B,E01000032,6,0,1,0,3,2,0,0,1189,114,221,1,18,470,74,452,2075,75,0,0
2021,Barking and Dagenham 006A,E01000033,6,0,0,0,1,1,2,2,858,179,215,1,7,255,28,248,1543,29,0,1
2021,Barking and Dagenham 003A,E01000034,10,0,0,0,3,2,0,5,870,139,301,1,3,229,25,226,1576,26,0,1
2021,Barking and Dagenham 010A,E01000035,3,0,0,0,1,1,0,1,933,147,263,1,15,465,47,450,1859,48,0,0
2021,Barking and Dagenham 010B,E01000036,1,0,0,0,0,1,0,0,815,88,159,0,2,351,54,349,1471,54,0,3
2021,Barking and Dagenham 003B,E01000037,7,0,0,0,0,4,0,3,952,167,303,2,21,244,23,223,1700,25,0,2
2021,Barking and Dagenham 003C,E01000038,5,0,0,1,1,1,2,0,878,154,307,2,4,235,31,231,1614,33,0,2
2021,Barking and Dagenham 003D,E01000039,5,0,0,0,1,1,0,3,968,184,266,0,8,289,38,281,1751,38,1,0
2021,Barking and Dagenham 019A,E01000040,4,0,0,0,2,0,1,1,1003,71,220,0,4,542,39,538,1879,39,0,0
2021,Barking and Dagenham 017A,E01000041,1,0,0,0,0,0,0,1,1009,151,223,0,4,413,42,409,1841,42,0,2
