date,geography,geography code,Proficiency in English language: Main language is English (English or Welsh in Wales),Proficiency in English language: Main language is not English (English or Welsh in Wales),Proficiency in English language: Main language is not English (English or Welsh in Wales): Can speak English very well,Proficiency in English language: Main language is not English (English or Welsh in Wales): Can speak English well,Proficiency in English language: Main language is not English (English or Welsh in Wales): Cannot speak English,Proficiency in English language: Main language is not English (English or Welsh in Wales): Cannot speak English well,Proficiency in English language: Total: All usual residents aged 3 years and over
2021,City of London 001A,E01000001,1246,203,166,32,1,4,1449
2021,City of London 001B,E01000002,1124,239,199,35,0,5,1363
2021,City of London 001C,E01000003,1336,250,183,54,0,13,1586
2021,City of London 001E,E01000005,756,315,132,111,12,60,1071
2021,Barking and Dagenham 016A,E01000006,1123,626,202,294,22,108,1749
2021,Barking and Dagenham 015A,E01000007,1839,906,358,376,23,149,2745
2021,Barking and Dagenham 015B,E01000008,1299,421,130,187,10,94,1720
2021,Barking and Dagenham 016B,E01000009,973,752,263,287,26,176,1725
2021,Barking and Dagenham 016C,E01000011,920,721,232,271,22,196,1641
2021,Barking and Dagenham 015D,E01000012,1404,769,246,336,29,158,2173
2021,Barking and Dagenham 013A,E01000013,1374,439,146,213,5,75,1813
2021,Barking and Dagenham 013B,E01000014,1288,385,135,155,14,81,1673
2021,Barking and Dagenham 009A,E01000015,1775,520,193,215,8,104,2295
2021,Barking and Dagenham 009B,E01000016,1403,383,162,160,8,53,1786
2021,Barking and Dagenham 009C,E01000017,1333,333,123,137,8,65,1666
2021,Barking and Dagenham 009D,E01000018,1314,394,157,177,7,53,1708
2021,Barking and Dagenham 023A,E01000019,1169,420,144,186,7,83,1589
2021,Barking and Dagenham 023B,E01000020,1641,454,163,201,9,81,2095
2021,Barking and Dagenham 008A,E01000021,1197,431,164,178,12,77,1628
2021,Barking and Dagenham 008B,E01000022,1098,326,112,141,8,65,1424
2021,Barking and Dagenham 008D,E01000024,1080,354,137,138,11,68,1434
2021,Barking and Dagenham 008E,E01000025,1429,405,175,162,11,57,1834
2021,Barking and Dagenham 001A,E01000027,1645,343,137,135,5,66,1988
2021,Barking and Dagenham 001B,E01000028,1351,391,147,158,8,78,1742
2021,Barking and Dagenham 001C,E01000029,1383,374,160,152,8,54,1757
2021,Barking and Dagenham 001D,E01000030,2078,359,141,151,10,57,2437
2021,Barking and Dagenham 002A,E01000031,1333,367,171,128,6,62,1700
2021,Barking and Dagenham 002B,E01000032,1428,553,229,206,16,102,1981
2021,Barking and Dagenham 006A,E01000033,1285,201,61,89,6,45,1486
2021,Barking and Dagenham 003A,E01000034,1293,236,107,91,8,30,1529
2021,Barking and Dagenham 010A,E01000035,1346,444,167,166,16,95,1790
2021,Barking and Dagenham 010B,E01000036,1041,374,124,159,10,81,1415
2021,Barking and Dagenham 003B,E01000037,1412,233,86,107,4,36,1645
2021,Barking and Dagenham 003C,E01000038,1295,277,119,111,6,41,1572
2021,Barking and Dagenham 003D,E01000039,1422,255,108,99,6,42,1677
2021,Barking and Dagenham 019A,E01000040,1247,543,146,272,7,118,1790
2021,Barking and Dagenham 017A,E01000041,1360,411,134,188,13,76,1771
2021,Barking and Dagenham 017B,E01000042,1387,392,150,140,7,95,1779
2021,Barking and Dagenham 019B,E01000043,1100,391,134,154,9,94,1491
2021,Barking and Dagenham 016D,E01000044,1218,682,242,274,18,148,1900
2021,Barking and Dagenham 017C,E01000045,1269,374,124,163,11,76,1643
2021,Barking and Dagenham 017D,E01000046,1459,415,156,186,8,65,1874
2021,Barking and Dagenham 021C,E01000049,1361,510,222,172,12,104,1871
2021,Barking and Dagenham 019C,E01000050,1076,667,238,288,19,122,1743
2021,Barking and Dagenham 021D,E01000051,679,333,171,126,8,28,1012
2021,Barking and Dagenham 019D,E01000052,1446,784,282,316,18,168,2230
2021,Barking and Dagenham 020A,E01000053,1223,314,111,138,6,59,1537
2021,Barking and Dagenham 018A,E01000054,1432,350,154,140,11,45,1782
2021,Barking and Dagenham 018B,E01000055,1316,326,117,143,7,59,1642
2021,Barking and Dagenham 018C,E01000056,1350,287,111,116,9,51,1637
2021,Barking and Dagenham 012A,E01000057,1155,337,128,125,8,76,1492
2021,Barking and Dagenham 018D,E01000058,1504,544,187,247,8,102,2048
2021,Barking and Dagenham 013C,E01000059,1307,343,125,140,15,63,1650
2021,Barking and Dagenham 006B,E01000060,1733,351,154,133,10,54,2084
2021,Barking and Dagenham 006C,E01000061,1553,278,114,117,8,39,1831
2021,Barking and Dagenham 006D,E01000062,1716,417,171,153,10,83,2133
2021,Barking and Dagenham 004A,E01000063,1363,355,146,150,7,52,1718
2021,Barking and Dagenham 006E,E01000064,1697,494,190,201,17,86,2191
2021,Barking and Dagenham 007A,E01000065,1502,407,160,162,8,77,1909
2021,Barking and Dagenham 011A,E01000066,1761,661,294,205,24,138,2422
2021,Barking and Dagenham 011B,E01000067,1664,481,189,171,21,100,2145
2021,Barking and Dagenham 016E,E01000068,1266,462,149,163,21,129,1728
2021,Barking and Dagenham 011C,E01000069,1630,389,136,150,14,89,2019
2021,Barking and Dagenham 011D,E01000070,1511,475,146,212,6,111,1986
2021,Barking and Dagenham 011E,E01000071,1863,633,245,252,25,111,2496
2021,Barking and Dagenham 017E,E01000072,1615,433,157,168,20,88,2048
2021,Barking and Dagenham 012B,E01000073,1388,381,147,159,9,66,1769
2021,Barking and Dagenham 012C,E01000074,1290,396,145,150,15,86,1686
2021,Barking and Dagenham 012D,E01000075,1550,414,140,188,6,80,1964
2021,Barking and Dagenham 012E,E01000076,1600,486,190,176,18,102,2086
2021,Barking and Dagenham 008F,E01000077,1269,369,135,139,17,78,1638
2021,Barking and Dagenham 007B,E01000078,1407,414,143,176,15,80,1821
2021,Barking and Dagenham 009E,E01000079,1305,342,145,130,5,62,1647
2021,Barking and Dagenham 007C,E01000080,1381,341,130,147,3,61,1722
2021,Barking and Dagenham 007D,E01000081,1476,426,152,199,9,66,1902
2021,Barking and Dagenham 007E,E01000082,1498,348,127,154,18,49,1846
2021,Barking and Dagenham 007F,E01000083,1462,386,162,149,8,67,1848
2021,Barking and Dagenham 013D,E01000084,1078,310,119,114,10,67,1388
2021,Barking and Dagenham 013E,E01000085,1229,352,131,136,8,77,1581
2021,Barking and Dagenham 013F,E01000086,1104,290,104,113,5,68,1394
2021,Barking and Dagenham 020B,E01000087,1230,348,110,162,16,60,1578
2021,Barking and Dagenham 020C,E01000088,1429,477,187,197,12,81,1906
2021,Barking and Dagenham 020D,E01000089,1366,388,159,144,13,72,1754
2021,Barking and Dagenham 020E,E01000090,1195,435,158,186,15,76,1630
2021,Barking and Dagenham 022A,E01000091,1604,416,153,170,9,84,2020
2021,Barking and Dagenham 022B,E01000093,1397,334,110,152,4,68,1731
2021,Barking and Dagenham 022C,E01000094,1747,570,252,233,14,71,2317
2021,Barking and Dagenham 018E,E01000095,1643,419,186,160,14,59,2062
2021,Barking and Dagenham 022D,E01000096,1286,307,149,115,11,32,1593
2021,Barking and Dagenham 023C,E01000097,1438,418,164,160,13,81,1856
2021,Barking and Dagenham 023D,E01000098,1466,385,130,154,12,89,1851
2021,Barking and Dagenham 023E,E01000099,1960,677,318,240,11,108,2637
2021,Barking and Dagenham 004B,E01000100,1421,420,169,156,14,81,1841
2021,Barking and Dagenham 004C,E01000101,1282,349,132,146,13,58,1631
2021,Barking and Dagenham 007G,E01000102,1332,381,139,180,10,52,1713
2021,Barking and Dagenham 014A,E01000103,1421,290,113,120,4,53,1711
2021,Barking and Dagenham 014B,E01000104,1527,302,118,124,6,54,1829
2021,Barking and Dagenham 014C,E01000105,1792,451,163,197,12,79,2243
2021,Barking and Dagenham 014D,E01000106,1625,447,164,177,13,93,2072
2021,Barking and Dagenham 010C,E01000107,1339,383,135,151,12,85,1722
2021,Barking and Dagenham 010D,E01000108,1366,444,166,187,9,82,1810
2021,Barking and Dagenham 002C,E01000110,1157,361,142,137,7,75,1518
2021,Barking and Dagenham 002D,E01000111,1478,555,213,221,8,113,2033
2021,Barking and Dagenham 002E,E01000112,1343,497,196,211,9,81,1840
2021,Barking and Dagenham 002F,E01000113,1370,546,164,227,16,139,1916
2021,Barking and Dagenham 004E,E01000114,1821,473,179,204,9,81,2294
2021,Barnet 009A,E01000115,1175,193,104,55,4,30,1368
2021,Barnet 009B,E01000116,1456,246,133,76,7,30,1702
