date,geography,geography code,Religion: Buddhist,Religion: Christian,Religion: Hindu,Religion: Jewish,Religion: Muslim,Religion: No religion,Religion: Not answered,Religion: Other religion,Religion: Sikh,Religion: Total: All usual residents
2021,City of London 001A,E01000001,10,510,39,29,32,713,137,5,0,1475
2021,City of London 001B,E01000002,10,468,21,35,26,680,139,5,0,1384
2021,City of London 001C,E01000003,14,549,18,43,50,774,156,6,3,1613
2021,City of London 001E,E01000005,7,405,16,14,341,244,69,6,0,1102
2021,Barking and Dagenham 016A,E01000006,12,686,105,1,722,130,121,2,67,1846
2021,Barking and Dagenham 015A,E01000007,11,1109,120,1,1097,365,157,19,28,2907
2021,Barking and Dagenham 015B,E01000008,2,847,37,0,623,180,80,3,24,1796
2021,Barking and Dagenham 016B,E01000009,9,552,136,2,711,167,123,11,93,1804
2021,Barking and Dagenham 016C,E01000011,4,562,70,1,815,93,76,1,79,1701
2021,Barking and Dagenham 015D,E01000012,1,878,104,2,861,321,130,10,37,2344
2021,Barking and Dagenham 013A,E01000013,12,940,15,3,271,487,127,8,7,1870
2021,Barking and Dagenham 013B,E01000014,3,883,26,3,274,438,109,12,2,1750
2021,Barking and Dagenham 009A,E01000015,11,1196,31,0,385,641,138,10,6,2418
2021,Barking and Dagenham 009B,E01000016,3,1019,19,2,259,427,106,6,10,1851
2021,Barking and Dagenham 009C,E01000017,1,875,39,1,301,370,117,8,10,1722
2021,Barking and Dagenham 009D,E01000018,1,885,32,2,270,485,92,1,8,1776
2021,Barking and Dagenham 023A,E01000019,14,717,39,1,450,247,107,5,77,1657
2021,Barking and Dagenham 023B,E01000020,4,998,56,2,590,358,122,9,51,2190
2021,Barking and Dagenham 008A,E01000021,12,683,56,6,477,320,80,4,56,1694
2021,Barking and Dagenham 008B,E01000022,2,698,44,0,348,265,83,5,32,1477
2021,Barking and Dagenham 008D,E01000024,3,667,20,2,368,294,69,16,46,1485
2021,Barking and Dagenham 008E,E01000025,9,897,45,1,401,405,119,9,36,1922
2021,Barking and Dagenham 001A,E01000027,2,949,58,5,276,637,107,12,36,2082
2021,Barking and Dagenham 001B,E01000028,4,877,40,8,437,330,77,10,35,1818
2021,Barking and Dagenham 001C,E01000029,14,855,136,11,445,178,92,6,81,1818
2021,Barking and Dagenham 001D,E01000030,7,1218,35,7,453,671,150,4,18,2563
2021,Barking and Dagenham 002A,E01000031,0,659,100,2,568,204,99,9,133,1774
2021,Barking and Dagenham 002B,E01000032,18,796,96,2,568,346,132,15,105,2078
2021,Barking and Dagenham 006A,E01000033,3,732,20,3,178,520,83,4,0,1543
2021,Barking and Dagenham 003A,E01000034,5,836,24,3,190,401,108,5,3,1575
2021,Barking and Dagenham 010A,E01000035,1,1006,37,3,303,345,152,1,13,1861
2021,Barking and Dagenham 010B,E01000036,4,761,33,1,337,224,85,6,19,1470
2021,Barking and Dagenham 003B,E01000037,14,887,51,5,226,399,86,2,29,1699
2021,Barking and Dagenham 003C,E01000038,9,835,54,3,196,403,75,5,36,1616
2021,Barking and Dagenham 003D,E01000039,5,898,35,2,217,468,85,6,36,1752
2021,Barking and Dagenham 019A,E01000040,10,761,74,5,589,324,70,6,40,1879
2021,Barking and Dagenham 017A,E01000041,5,947,19,1,296,432,115,4,23,1842
2021,Barking and Dagenham 017B,E01000042,6,790,41,2,523,394,106,10,10,1882
