date,geography,geography code,Provision of unpaid care: Provides 10 to 19 hours unpaid care a week,Provision of unpaid care: Provides 19 hours or less unpaid care a week,Provision of unpaid care: Provides 20 to 34 hours unpaid care a week,Provision of unpaid care: Provides 20 to 49 hours unpaid care a week,Provision of unpaid care: Provides 35 to 49 hours unpaid care a week,Provision of unpaid care: Provides 50 or more hours unpaid care a week,Provision of unpaid care: Provides 9 hours or less unpaid care a week,Provision of unpaid care: Provides no unpaid care,Provision of unpaid care: Total: All usual residents aged 5 and over
2021,City of London 001A,E01000001,15,67,9,18,9,15,52,1322,1422
2021,City of London 001B,E01000002,12,76,8,9,1,8,64,1258,1351
2021,City of London 001C,E01000003,17,64,8,18,10,23,47,1469,1574
2021,City of London 001E,E01000005,12,38,10,19,9,22,26,972,1051
2021,Barking and Dagenham 016A,E01000006,20,44,14,29,15,32,24,1589,1694
2021,Barking and Dagenham 015A,E01000007,19,47,20,51,31,34,28,2509,2641
2021,Barking and Dagenham 015B,E01000008,14,33,8,29,21,24,19,1585,1671
2021,Barking and Dagenham 016B,E01000009,22,58,20,41,21,28,36,1534,1661
2021,Barking and Dagenham 016C,E01000011,14,32,15,30,15,29,18,1497,1588
2021,Barking and Dagenham 015D,E01000012,11,36,11,28,17,39,25,1971,2074
2021,Barking and Dagenham 013A,E01000013,11,39,17,38,21,48,28,1631,1756
2021,Barking and Dagenham 013B,E01000014,25,52,17,41,24,30,27,1498,1621
2021,Barking and Dagenham 009A,E01000015,13,48,20,53,33,49,35,2054,2204
2021,Barking and Dagenham 009B,E01000016,22,41,10,35,25,50,19,1604,1730
2021,Barking and Dagenham 009C,E01000017,30,67,21,42,21,59,37,1451,1619
2021,Barking and Dagenham 009D,E01000018,21,53,18,44,26,45,32,1520,1662
2021,Barking and Dagenham 023A,E01000019,15,41,14,27,13,45,26,1424,1537
2021,Barking and Dagenham 023B,E01000020,23,67,28,47,19,36,44,1880,2030
2021,Barking and Dagenham 008A,E01000021,15,38,10,31,21,43,23,1450,1562
2021,Barking and Dagenham 008B,E01000022,15,42,15,34,19,39,27,1265,1380
2021,Barking and Dagenham 008D,E01000024,21,53,13,38,25,34,32,1263,1388
2021,Barking and Dagenham 008E,E01000025,16,62,18,30,12,27,46,1666,1785
2021,Barking and Dagenham 001A,E01000027,23,51,22,54,32,64,28,1745,1914
2021,Barking and Dagenham 001B,E01000028,15,43,13,36,23,31,28,1574,1684
2021,Barking and Dagenham 001C,E01000029,14,50,14,30,16,47,36,1584,1711
2021,Barking and Dagenham 001D,E01000030,20,52,18,49,31,48,32,2169,2318
2021,Barking and Dagenham 002A,E01000031,18,53,10,20,10,48,35,1530,1651
2021,Barking and Dagenham 002B,E01000032,21,71,23,48,25,56,50,1726,1901
2021,Barking and Dagenham 006A,E01000033,15,44,11,25,14,47,29,1329,1445
2021,Barking and Dagenham 003A,E01000034,27,52,14,30,16,52,25,1359,1493
2021,Barking and Dagenham 010A,E01000035,16,48,23,40,17,31,32,1618,1737
2021,Barking and Dagenham 010B,E01000036,15,50,14,26,12,32,35,1276,1384
2021,Barking and Dagenham 003B,E01000037,26,71,9,22,13,34,45,1483,1610
2021,Barking and Dagenham 003C,E01000038,23,71,12,19,7,44,48,1386,1520
2021,Barking and Dagenham 003D,E01000039,21,66,14,27,13,38,45,1491,1622
2021,Barking and Dagenham 019A,E01000040,13,36,11,27,16,46,23,1598,1707
2021,Barking and Dagenham 017A,E01000041,12,39,16,40,24,43,27,1598,1720
2021,Barking and Dagenham 017B,E01000042,10,44,13,32,19,37,34,1595,1708
2021,Barking and Dagenham 019B,E01000043,6,24,22,37,15,46,18,1349,1456
2021,Barking and Dagenham 016D,E01000044,23,38,18,31,13,31,15,1733,1833
2021,Barking and Dagenham 017C,E01000045,17,41,21,43,22,37,24,1463,1584
2021,Barking and Dagenham 017D,E01000046,13,36,13,32,19,59,23,1682,1809
2021,Barking and Dagenham 021C,E01000049,21,46,16,51,35,34,25,1676,1807
2021,Barking and Dagenham 019C,E01000050,15,56,16,25,9,37,41,1571,1689
2021,Barking and Dagenham 021D,E01000051,3,17,8,23,15,9,14,921,970
2021,Barking and Dagenham 019D,E01000052,13,46,17,39,22,53,33,1993,2131
2021,Barking and Dagenham 020A,E01000053,25,66,21,35,14,44,41,1334,1479
2021,Barking and Dagenham 018A,E01000054,13,48,11,33,22,55,35,1589,1725
2021,Barking and Dagenham 018B,E01000055,19,41,18,53,35,34,22,1453,1581
2021,Barking and Dagenham 018C,E01000056,10,33,17,28,11,55,23,1467,1583
2021,Barking and Dagenham 012A,E01000057,10,40,14,30,16,39,30,1334,1443
2021,Barking and Dagenham 018D,E01000058,13,33,21,38,17,51,20,1863,1985
2021,Barking and Dagenham 013C,E01000059,24,59,14,35,21,43,35,1444,1581
2021,Barking and Dagenham 006B,E01000060,19,58,14,33,19,48,39,1872,2011
2021,Barking and Dagenham 006C,E01000061,17,51,21,31,10,33,34,1647,1762
2021,Barking and Dagenham 006D,E01000062,28,57,29,55,26,33,29,1926,2071
2021,Barking and Dagenham 004A,E01000063,20,50,13,26,13,42,30,1534,1652
2021,Barking and Dagenham 006E,E01000064,20,71,18,41,23,60,51,1951,2123
2021,Barking and Dagenham 007A,E01000065,23,44,19,52,33,55,21,1712,1863
2021,Barking and Dagenham 011A,E01000066,24,68,40,58,18,41,44,2214,2381
2021,Barking and Dagenham 011B,E01000067,21,64,23,42,19,41,43,1920,2067
2021,Barking and Dagenham 016E,E01000068,26,66,14,29,15,31,40,1570,1696
2021,Barking and Dagenham 011C,E01000069,17,68,11,23,12,51,51,1813,1955
2021,Barking and Dagenham 011D,E01000070,25,69,14,30,16,39,44,1791,1929
2021,Barking and Dagenham 011E,E01000071,28,72,14,39,25,40,44,2287,2438
2021,Barking and Dagenham 017E,E01000072,15,37,15,49,34,48,22,1837,1971
2021,Barking and Dagenham 012B,E01000073,16,51,16,26,10,44,35,1593,1714
2021,Barking and Dagenham 012C,E01000074,15,52,10,24,14,42,37,1507,1625
2021,Barking and Dagenham 012D,E01000075,25,60,21,48,27,50,35,1732,1890
2021,Barking and Dagenham 012E,E01000076,19,54,18,48,30,52,35,1872,2026
2021,Barking and Dagenham 008F,E01000077,18,46,18,42,24,48,28,1450,1586
