date,geography,geography code,Number of disabled people in household: 1 person disabled under the Equality Act in household,Number of disabled people in household: 2 or more people disabled under the Equality Act in household,Number of disabled people in household: No people disabled under the Equality Act in household,Number of disabled people in household: Total: All households
2021,City of London 001A,E01000001,123,14,701,838
2021,City of London 001B,E01000002,113,16,695,824
2021,City of London 001C,E01000003,203,9,805,1017
2021,City of London 001E,E01000005,131,25,323,479
2021,Barking and Dagenham 016A,E01000006,108,36,410,554
2021,Barking and Dagenham 015A,E01000007,196,33,963,1192
2021,Barking and Dagenham 015B,E01000008,165,19,362,546
2021,Barking and Dagenham 016B,E01000009,137,31,433,601
2021,Barking and Dagenham 016C,E01000011,90,31,352,473
2021,Barking and Dagenham 015D,E01000012,168,36,579,783
2021,Barking and Dagenham 013A,E01000013,149,57,413,619
2021,Barking and Dagenham 013B,E01000014,144,52,437,633
2021,Barking and Dagenham 009A,E01000015,156,61,618,835
2021,Barking and Dagenham 009B,E01000016,128,44,455,627
2021,Barking and Dagenham 009C,E01000017,166,50,382,598
2021,Barking and Dagenham 009D,E01000018,142,50,453,645
2021,Barking and Dagenham 023A,E01000019,110,51,337,498
2021,Barking and Dagenham 023B,E01000020,193,50,421,664
2021,Barking and Dagenham 008A,E01000021,151,40,400,591
2021,Barking and Dagenham 008B,E01000022,109,30,340,479
2021,Barking and Dagenham 008D,E01000024,125,41,293,459
2021,Barking and Dagenham 008E,E01000025,170,43,478,691
2021,Barking and Dagenham 001A,E01000027,171,72,419,662
2021,Barking and Dagenham 001B,E01000028,174,34,413,621
2021,Barking and Dagenham 001C,E01000029,151,54,475,680
2021,Barking and Dagenham 001D,E01000030,256,60,590,906
2021,Barking and Dagenham 002A,E01000031,124,47,424,595
2021,Barking and Dagenham 002B,E01000032,169,55,499,723
2021,Barking and Dagenham 006A,E01000033,160,43,349,552
2021,Barking and Dagenham 003A,E01000034,142,54,318,514
2021,Barking and Dagenham 010A,E01000035,127,37,431,595
2021,Barking and Dagenham 010B,E01000036,99,41,331,471
2021,Barking and Dagenham 003B,E01000037,123,27,439,589
2021,Barking and Dagenham 003C,E01000038,134,43,386,563
2021,Barking and Dagenham 003D,E01000039,146,35,460,641
2021,Barking and Dagenham 019A,E01000040,147,43,466,656
2021,Barking and Dagenham 017A,E01000041,131,47,424,602
2021,Barking and Dagenham 017B,E01000042,183,42,433,658
2021,Barking and Dagenham 019B,E01000043,121,38,311,470
2021,Barking and Dagenham 016D,E01000044,158,38,464,660
2021,Barking and Dagenham 017C,E01000045,136,46,393,575
2021,Barking and Dagenham 017D,E01000046,186,46,429,661
2021,Barking and Dagenham 021C,E01000049,143,42,390,575
2021,Barking and Dagenham 019C,E01000050,150,35,449,634
2021,Barking and Dagenham 021D,E01000051,56,8,369,433
2021,Barking and Dagenham 019D,E01000052,191,40,566,797
2021,Barking and Dagenham 020A,E01000053,174,32,445,651
2021,Barking and Dagenham 018A,E01000054,143,52,446,641
2021,Barking and Dagenham 018B,E01000055,122,52,392,566
