date,geography,geography code,Accommodation type: A caravan or other mobile or temporary structure,Accommodation type: Detached,"Accommodation type: In a commercial building, for example, in an office building, hotel or over a shop",Accommodation type: In a purpose-built block of flats or tenement,"Accommodation type: Part of a converted or shared house, including bedsits","Accommodation type: Part of another converted building, for example, former school, church or warehouse",Accommodation type: Semi-detached,Accommodation type: Terraced,Accommodation type: Total
2021,City of London 001A,E01000001,0,0,7,803,0,11,3,13,837
2021,City of London 001B,E01000002,0,1,9,769,2,13,2,29,825
2021,City of London 001C,E01000003,0,1,7,994,2,13,0,0,1017
2021,City of London 001E,E01000005,0,0,10,457,5,5,0,2,479
2021,Barking and Dagenham 016A,E01000006,1,34,0,121,24,3,88,283,554
2021,Barking and Dagenham 015A,E01000007,7,15,14,939,8,8,47,153,1191
2021,Barking and Dagenham 015B,E01000008,1,6,8,494,8,1,11,22,551
2021,Barking and Dagenham 016B,E01000009,0,28,14,248,25,6,49,231,601
2021,Barking and Dagenham 016C,E01000011,0,48,0,35,68,5,95,222,473
2021,Barking and Dagenham 015D,E01000012,0,13,1,555,11,1,70,131,782
2021,Barking and Dagenham 013A,E01000013,0,48,12,25,12,0,151,369,617
2021,Barking and Dagenham 013B,E01000014,0,33,1,62,26,1,127,385,635
2021,Barking and Dagenham 009A,E01000015,0,29,0,242,15,1,165,383,835
2021,Barking and Dagenham 009B,E01000016,1,49,7,17,18,0,136,401,629
2021,Barking and Dagenham 009C,E01000017,0,39,0,36,22,1,142,355,595
2021,Barking and Dagenham 009D,E01000018,0,36,1,7,10,1,170,420,645
2021,Barking and Dagenham 023A,E01000019,0,31,3,23,13,1,165,265,501
2021,Barking and Dagenham 023B,E01000020,1,36,5,78,23,1,230,290,664
2021,Barking and Dagenham 008A,E01000021,0,45,47,78,23,3,192,205,593
2021,Barking and Dagenham 008B,E01000022,0,22,0,15,6,0,202,233,478
2021,Barking and Dagenham 008D,E01000024,1,20,0,8,10,0,172,248,459
2021,Barking and Dagenham 008E,E01000025,1,39,2,75,8,2,142,425,694
2021,Barking and Dagenham 001A,E01000027,0,37,0,152,9,3,200,262,663
2021,Barking and Dagenham 001B,E01000028,0,30,2,297,5,2,86,198,620
2021,Barking and Dagenham 001C,E01000029,0,46,1,101,4,0,345,182,679
2021,Barking and Dagenham 001D,E01000030,1,16,7,549,14,0,153,168,908
2021,Barking and Dagenham 002A,E01000031,0,32,2,90,17,3,203,249,596
2021,Barking and Dagenham 002B,E01000032,1,21,27,195,28,12,286,152,722
2021,Barking and Dagenham 006A,E01000033,1,16,0,177,0,2,170,186,552
2021,Barking and Dagenham 003A,E01000034,0,38,0,54,17,1,259,144,513
2021,Barking and Dagenham 010A,E01000035,0,25,16,174,15,0,99,267,596
2021,Barking and Dagenham 010B,E01000036,0,30,5,27,15,3,179,212,471
2021,Barking and Dagenham 003B,E01000037,0,18,2,37,5,1,232,293,588
2021,Barking and Dagenham 003C,E01000038,0,10,5,59,7,3,235,244,563
2021,Barking and Dagenham 003D,E01000039,5,33,4,118,6,1,170,301,638
2021,Barking and Dagenham 019A,E01000040,0,49,9,189,30,1,134,243,655
2021,Barking and Dagenham 017A,E01000041,1,38,0,17,8,3,146,389,602
2021,Barking and Dagenham 017B,E01000042,1,24,0,259,6,0,105,261,656
2021,Barking and Dagenham 019B,E01000043,0,19,4,67,9,1,244,127,471
