date,geography,geography code,Type of central heating in household: District or communal heat networks only,Type of central heating in household: Electric only,Type of central heating in household: Mains gas only,Type of central heating in household: No central heating,Type of central heating in household: Oil only,Type of central heating in household: Other central heating only,Type of central heating in household: Renewable energy only,Type of central heating in household: Solid fuel only,Type of central heating in household: Tank or bottled gas only,Type of central heating in household: Total: All households,Type of central heating in household: Two or more types of central heating (including renewable energy),Type of central heating in household: Two or more types of central heating (not including renewable energy),Type of central heating in household: Wood only
2021,City of London 001A,E01000001,261,342,108,22,2,26,1,0,5,840,1,72,0
2021,City of London 001B,E01000002,251,357,77,16,1,34,2,0,2,824,2,81,1
2021,City of London 001C,E01000003,198,236,445,36,2,23,1,0,5,1019,2,71,0
2021,City of London 001E,E01000005,108,84,212,6,4,27,0,0,3,479,0,35,0
2021,Barking and Dagenham 016A,E01000006,0,96,390,15,0,11,0,0,6,554,2,34,0
2021,Barking and Dagenham 015A,E01000007,110,469,424,37,9,46,9,0,8,1192,3,77,0
2021,Barking and Dagenham 015B,E01000008,31,143,263,15,1,21,1,0,9,548,1,63,0
2021,Barking and Dagenham 016B,E01000009,3,104,404,17,2,11,0,0,4,600,1,54,0
2021,Barking and Dagenham 016C,E01000011,1,33,363,18,0,14,0,0,4,473,0,40,0
2021,Barking and Dagenham 015D,E01000012,4,336,327,29,0,20,1,0,0,782,0,65,0
2021,Barking and Dagenham 013A,E01000013,1,32,483,10,0,13,0,0,8,616,1,68,0
2021,Barking and Dagenham 013B,E01000014,19,44,484,15,0,12,1,1,3,635,0,56,0
2021,Barking and Dagenham 009A,E01000015,4,46,661,18,0,24,0,0,9,835,1,72,0
2021,Barking and Dagenham 009B,E01000016,1,30,514,8,0,12,0,3,6,629,0,55,0
2021,Barking and Dagenham 009C,E01000017,2,48,465,15,0,17,0,0,0,598,0,51,0
2021,Barking and Dagenham 009D,E01000018,0,23,546,7,0,13,0,0,6,645,1,49,0
2021,Barking and Dagenham 023A,E01000019,1,25,397,13,1,16,0,0,2,499,1,43,0
2021,Barking and Dagenham 023B,E01000020,2,42,538,10,0,11,0,0,0,664,6,55,0
2021,Barking and Dagenham 008A,E01000021,1,55,444,14,0,13,1,0,3,591,2,58,0
2021,Barking and Dagenham 008B,E01000022,0,18,399,5,0,19,1,0,0,479,1,36,0
2021,Barking and Dagenham 008D,E01000024,0,17,378,9,1,13,0,0,1,459,0,40,0
2021,Barking and Dagenham 008E,E01000025,2,44,556,11,0,13,1,0,1,694,0,66,0
2021,Barking and Dagenham 001A,E01000027,2,41,542,12,1,9,1,0,4,662,0,50,0
2021,Barking and Dagenham 001B,E01000028,21,37,466,13,0,17,0,0,5,620,3,58,0
2021,Barking and Dagenham 001C,E01000029,0,64,550,14,0,4,0,0,4,682,0,46,0
2021,Barking and Dagenham 001D,E01000030,18,175,558,24,0,19,2,0,2,906,10,98,0
2021,Barking and Dagenham 002A,E01000031,2,54,475,3,1,10,0,0,2,592,1,44,0
2021,Barking and Dagenham 002B,E01000032,13,65,529,12,1,16,2,0,3,720,3,76,0
2021,Barking and Dagenham 006A,E01000033,10,89,384,10,0,12,1,0,3,553,0,44,0
2021,Barking and Dagenham 003A,E01000034,1,16,424,4,1,12,0,0,1,514,3,52,0
2021,Barking and Dagenham 010A,E01000035,3,55,447,15,0,9,1,0,0,595,1,64,0
2021,Barking and Dagenham 010B,E01000036,1,19,398,7,0,7,0,0,2,471,1,36,0
2021,Barking and Dagenham 003B,E01000037,2,14,505,7,0,4,0,0,3,589,0,54,0
2021,Barking and Dagenham 003C,E01000038,2,14,504,5,0,6,0,0,3,562,1,27,0
2021,Barking and Dagenham 003D,E01000039,1,38,525,6,1,9,0,0,14,642,0,48,0
2021,Barking and Dagenham 019A,E01000040,6,54,500,16,0,18,0,0,3,656,0,59,0
2021,Barking and Dagenham 017A,E01000041,5,24,483,12,0,6,0,0,5,602,4,63,0
2021,Barking and Dagenham 017B,E01000042,7,41,512,12,0,11,0,0,3,654,4,64,0
2021,Barking and Dagenham 019B,E01000043,3,32,350,14,1,12,0,0,4,471,0,55,0
2021,Barking and Dagenham 016D,E01000044,2,94,459,17,1,10,1,0,4,660,4,68,0
2021,Barking and Dagenham 017C,E01000045,2,22,494,10,0,9,1,0,4,577,1,34,0
2021,Barking and Dagenham 017D,E01000046,2,57,520,13,0,11,2,0,1,661,0,55,0
2021,Barking and Dagenham 021C,E01000049,22,178,292,16,0,17,3,0,4,577,3,41,1
2021,Barking and Dagenham 019C,E01000050,18,96,415,18,1,11,1,0,10,629,1,58,0
2021,Barking and Dagenham 021D,E01000051,81,138,126,10,0,19,10,0,2,433,12,35,0
