date,geography,geography code,Second address type: Another address when working away from home,Second address type: Another parent or guardian's address,Second address type: Armed forces base address,Second address type: Holiday home,Second address type: Other,Second address type: Partner's address,Second address type: Second address type not specified,Second address type: Student's home address,Second address type: Student's term-time address,Second address type: Total: All usual residents
2021,City of London 001A,E01000001,18,60,0,116,100,36,0,9,0,339
2021,City of London 001B,E01000002,22,36,0,91,90,25,0,9,0,273
2021,City of London 001C,E01000003,15,51,0,39,58,41,0,9,1,214
2021,City of London 001E,E01000005,4,41,0,0,15,11,0,26,0,97
2021,Barking and Dagenham 016A,E01000006,3,19,0,6,20,9,0,2,0,59
2021,Barking and Dagenham 015A,E01000007,5,42,0,7,30,16,0,0,2,102
2021,Barking and Dagenham 015B,E01000008,8,10,0,1,15,1,0,2,0,37
2021,Barking and Dagenham 016B,E01000009,8,15,0,12,17,5,0,2,0,59
2021,Barking and Dagenham 016C,E01000011,3,19,0,6,13,11,0,3,0,55
2021,Barking and Dagenham 015D,E01000012,5,13,0,9,24,21,0,0,0,72
2021,Barking and Dagenham 013A,E01000013,3,12,0,6,21,2,0,4,0,48
2021,Barking and Dagenham 013B,E01000014,1,7,0,2,18,8,0,0,0,36
2021,Barking and Dagenham 009A,E01000015,3,30,0,5,23,10,0,2,2,75
2021,Barking and Dagenham 009B,E01000016,0,14,0,5,22,6,0,0,0,47
2021,Barking and Dagenham 009C,E01000017,2,12,0,7,10,9,0,1,1,42
2021,Barking and Dagenham 009D,E01000018,7,15,0,6,11,7,0,0,0,46
2021,Barking and Dagenham 023A,E01000019,2,16,1,5,15,4,0,1,1,45
2021,Barking and Dagenham 023B,E01000020,3,15,0,8,17,9,0,1,0,53
2021,Barking and Dagenham 008A,E01000021,8,22,0,10,14,7,0,0,0,61
2021,Barking and Dagenham 008B,E01000022,1,12,0,10,15,8,0,2,1,49
2021,Barking and Dagenham 008D,E01000024,3,12,0,5,11,7,0,0,0,38
2021,Barking and Dagenham 008E,E01000025,6,16,0,3,25,7,0,2,1,60
2021,Barking and Dagenham 001A,E01000027,3,16,0,2,21,9,0,2,0,53
2021,Barking and Dagenham 001B,E01000028,7,16,0,3,19,3,0,0,1,49
2021,Barking and Dagenham 001C,E01000029,6,12,0,7,13,11,0,0,0,49
2021,Barking and Dagenham 001D,E01000030,5,38,0,3,21,9,0,4,0,80
2021,Barking and Dagenham 002A,E01000031,5,14,1,4,33,8,0,4,0,69
2021,Barking and Dagenham 002B,E01000032,5,12,0,14,34,12,0,1,0,78
2021,Barking and Dagenham 006A,E01000033,3,16,0,5,7,8,0,0,0,39
2021,Barking and Dagenham 003A,E01000034,5,6,0,1,11,7,0,3,0,33
2021,Barking and Dagenham 010A,E01000035,1,7,1,22,23,5,0,1,0,60
2021,Barking and Dagenham 010B,E01000036,4,17,0,9,19,8,0,4,2,63
2021,Barking and Dagenham 003B,E01000037,1,17,0,1,11,3,0,2,0,35
2021,Barking and Dagenham 003C,E01000038,4,23,1,7,14,2,0,1,0,52
2021,Barking and Dagenham 003D,E01000039,5,11,0,3,17,7,0,2,0,45
2021,Barking and Dagenham 019A,E01000040,2,14,0,5,18,8,0,1,0,48
2021,Barking and Dagenham 017A,E01000041,0,16,0,4,13,10,0,3,0,46
2021,Barking and Dagenham 017B,E01000042,2,24,1,3,13,5,0,2,0,50
2021,Barking and Dagenham 019B,E01000043,7,19,1,10,25,11,0,4,0,77
2021,Barking and Dagenham 016D,E01000044,7,17,0,2,31,11,0,0,0,68
2021,Barking and Dagenham 017C,E01000045,2,12,0,13,8,6,0,1,1,43
2021,Barking and Dagenham 017D,E01000046,2,23,0,8,23,13,0,3,0,72
2021,Barking and Dagenham 021C,E01000049,4,13,0,2,19,2,0,5,5,50
2021,Barking and Dagenham 019C,E01000050,4,8,0,8,20,9,0,4,0,53
2021,Barking and Dagenham 021D,E01000051,0,10,2,0,14,7,0,0,2,35
2021,Barking and Dagenham 019D,E01000052,9,17,0,4,20,11,0,1,0,62
2021,Barking and Dagenham 020A,E01000053,6,8,0,5,20,16,0,0,1,56
2021,Barking and Dagenham 018A,E01000054,3,28,0,3,13,7,0,3,0,57
2021,Barking and Dagenham 018B,E01000055,5,25,0,5,20,3,0,5,1,64
2021,Barking and Dagenham 018C,E01000056,3,10,0,4,10,6,0,1,0,34
2021,Barking and Dagenham 012A,E01000057,9,7,1,4,24,9,0,0,0,54
2021,Barking and Dagenham 018D,E01000058,5,16,1,18,33,14,0,2,0,89
2021,Barking and Dagenham 013C,E01000059,9,17,1,9,18,8,0,3,0,65
2021,Barking and Dagenham 006B,E01000060,9,12,0,10,32,7,0,1,3,74
2021,Barking and Dagenham 006C,E01000061,4,22,0,4,9,7,0,3,0,49
2021,Barking and Dagenham 006D,E01000062,2,17,0,8,26,16,0,8,0,77
2021,Barking and Dagenham 004A,E01000063,6,13,1,11,12,9,0,0,0,52
2021,Barking and Dagenham 006E,E01000064,4,14,0,10,27,5,0,3,0,63
2021,Barking and Dagenham 007A,E01000065,1,16,1,3,10,5,0,4,0,40
2021,Barking and Dagenham 011A,E01000066,8,9,0,6,33,8,0,5,0,69
2021,Barking and Dagenham 011B,E01000067,7,15,1,18,10,10,0,2,0,63
2021,Barking and Dagenham 016E,E01000068,2,16,0,18,31,5,0,1,1,74
2021,Barking and Dagenham 011C,E01000069,4,14,0,7,18,6,0,4,0,53
2021,Barking and Dagenham 011D,E01000070,3,19,0,13,21,9,0,2,1,68
2021,Barking and Dagenham 011E,E01000071,5,42,0,21,33,11,0,3,0,115
2021,Barking and Dagenham 017E,E01000072,3,14,0,5,14,9,0,4,0,49
2021,Barking and Dagenham 012B,E01000073,5,6,1,7,16,5,0,0,1,41
2021,Barking and Dagenham 012C,E01000074,3,12,0,7,5,7,0,6,1,41
2021,Barking and Dagenham 012D,E01000075,6,20,0,15,26,15,0,0,2,84
2021,Barking and Dagenham 012E,E01000076,2,11,0,15,18,13,0,3,1,63
2021,Barking and Dagenham 008F,E01000077,7,20,0,5,18,4,0,2,0,56
2021,Barking and Dagenham 007B,E01000078,2,13,2,7,23,6,0,2,0,55
2021,Barking and Dagenham 009E,E01000079,3,18,0,3,9,2,0,0,0,35
2021,Barking and Dagenham 007C,E01000080,3,13,1,4,22,9,0,2,1,55
2021,Barking and Dagenham 007D,E01000081,2,12,0,9,14,7,0,0,0,44
2021,Barking and Dagenham 007E,E01000082,6,6,0,5,23,2,0,2,0,44
2021,Barking and Dagenham 007F,E01000083,0,14,0,1,14,10,0,2,1,42
2021,Barking and Dagenham 013D,E01000084,8,9,0,7,9,3,0,0,0,36
2021,Barking and Dagenham 013E,E01000085,5,10,0,2,10,5,0,1,1,34
2021,Barking and Dagenham 013F,E01000086,5,23,0,11,7,6,0,2,0,54
2021,Barking and Dagenham 020B,E01000087,4,17,0,5,9,3,0,6,0,44
2021,Barking and Dagenham 020C,E01000088,7,14,0,5,24,9,0,3,0,62
