date,geography,geography code,Second address indicator: No second address,Second address indicator: Second address is in the UK,Second address indicator: Second address is outside the UK,Second address indicator: Total: All usual residents
2021,City of London 001A,E01000001,1136,212,126,1474
2021,City of London 001B,E01000002,1112,141,131,1384
2021,City of London 001C,E01000003,1399,135,79,1613
2021,City of London 001E,E01000005,1002,38,61,1101
2021,Barking and Dagenham 016A,E01000006,1786,36,23,1845
2021,Barking and Dagenham 015A,E01000007,2806,54,50,2910
2021,Barking and Dagenham 015B,E01000008,1760,28,11,1799
2021,Barking and Dagenham 016B,E01000009,1745,23,36,1804
2021,Barking and Dagenham 016C,E01000011,1644,26,31,1701
2021,Barking and Dagenham 015D,E01000012,2274,38,35,2347
2021,Barking and Dagenham 013A,E01000013,1823,26,22,1871
2021,Barking and Dagenham 013B,E01000014,1711,28,12,1751
2021,Barking and Dagenham 009A,E01000015,2344,40,34,2418
2021,Barking and Dagenham 009B,E01000016,1802,21,28,1851
2021,Barking and Dagenham 009C,E01000017,1682,24,18,1724
2021,Barking and Dagenham 009D,E01000018,1733,29,14,1776
2021,Barking and Dagenham 023A,E01000019,1612,23,22,1657
2021,Barking and Dagenham 023B,E01000020,2136,38,16,2190
2021,Barking and Dagenham 008A,E01000021,1633,43,17,1693
2021,Barking and Dagenham 008B,E01000022,1428,33,16,1477
2021,Barking and Dagenham 008D,E01000024,1445,22,18,1485
2021,Barking and Dagenham 008E,E01000025,1860,28,32,1920
2021,Barking and Dagenham 001A,E01000027,2030,38,14,2082
2021,Barking and Dagenham 001B,E01000028,1768,24,25,1817
2021,Barking and Dagenham 001C,E01000029,1770,32,16,1818
2021,Barking and Dagenham 001D,E01000030,2484,54,25,2563
2021,Barking and Dagenham 002A,E01000031,1701,47,22,1770
2021,Barking and Dagenham 002B,E01000032,1998,46,34,2078
2021,Barking and Dagenham 006A,E01000033,1506,23,14,1543
2021,Barking and Dagenham 003A,E01000034,1541,24,10,1575
2021,Barking and Dagenham 010A,E01000035,1797,32,28,1857
2021,Barking and Dagenham 010B,E01000036,1409,23,38,1470
2021,Barking and Dagenham 003B,E01000037,1662,26,9,1697
2021,Barking and Dagenham 003C,E01000038,1562,40,14,1616
2021,Barking and Dagenham 003D,E01000039,1710,27,15,1752
2021,Barking and Dagenham 019A,E01000040,1831,28,20,1879
2021,Barking and Dagenham 017A,E01000041,1796,22,25,1843
2021,Barking and Dagenham 017B,E01000042,1830,35,17,1882
2021,Barking and Dagenham 019B,E01000043,1460,27,48,1535
2021,Barking and Dagenham 016D,E01000044,1918,20,48,1986
2021,Barking and Dagenham 017C,E01000045,1680,23,20,1723
2021,Barking and Dagenham 017D,E01000046,1884,36,36,1956
2021,Barking and Dagenham 021C,E01000049,1923,31,19,1973
2021,Barking and Dagenham 019C,E01000050,1784,33,22,1839
2021,Barking and Dagenham 021D,E01000051,1071,23,13,1107
2021,Barking and Dagenham 019D,E01000052,2306,32,31,2369
2021,Barking and Dagenham 020A,E01000053,1561,25,31,1617
2021,Barking and Dagenham 018A,E01000054,1814,40,17,1871
2021,Barking and Dagenham 018B,E01000055,1642,36,27,1705
2021,Barking and Dagenham 018C,E01000056,1668,14,20,1702
