date,geography,geography code,Distance travelled to work: 10km to less than 20km,Distance travelled to work: 20km to less than 30km,Distance travelled to work: 2km to less than 5km,Distance travelled to work: 30km to less than 40km,Distance travelled to work: 40km to less than 60km,Distance travelled to work: 5km to less than 10km,Distance travelled to work: 60km and over,Distance travelled to work: Less than 2km,Distance travelled to work: Total: All usual residents aged 16 years and over in employment the week before the census,"Distance travelled to work: Works mainly at an offshore installation, in no fixed place, or outside the UK",Distance travelled to work: Works mainly from home
2021,City of London 001A,E01000001,10,1,53,2,2,35,3,86,864,33,639
2021,City of London 001B,E01000002,5,2,40,4,3,23,2,79,879,45,676
2021,City of London 001C,E01000003,20,3,82,0,0,60,5,144,999,67,618
2021,City of London 001E,E01000005,27,4,78,0,2,43,2,95,498,44,203
2021,Barking and Dagenham 016A,E01000006,161,42,91,8,5,107,13,61,886,206,192
2021,Barking and Dagenham 015A,E01000007,330,58,116,13,23,204,9,79,1386,184,370
2021,Barking and Dagenham 015B,E01000008,141,22,63,4,0,116,9,45,646,166,80
2021,Barking and Dagenham 016B,E01000009,153,39,72,13,8,87,13,56,788,184,163
2021,Barking and Dagenham 016C,E01000011,127,23,74,10,3,105,9,46,736,203,136
2021,Barking and Dagenham 015D,E01000012,149,28,80,4,3,139,12,68,899,228,188
2021,Barking and Dagenham 013A,E01000013,141,58,97,11,6,79,8,77,802,199,126
2021,Barking and Dagenham 013B,E01000014,136,38,107,7,4,85,10,69,796,194,146
2021,Barking and Dagenham 009A,E01000015,174,72,138,15,5,106,11,77,1063,263,202
2021,Barking and Dagenham 009B,E01000016,158,53,137,8,9,85,6,69,864,190,149
2021,Barking and Dagenham 009C,E01000017,137,45,119,8,4,63,12,54,750,170,138
2021,Barking and Dagenham 009D,E01000018,166,66,115,5,3,61,7,63,833,204,143
2021,Barking and Dagenham 023A,E01000019,74,35,119,6,4,86,10,51,683,170,128
2021,Barking and Dagenham 023B,E01000020,143,43,167,8,3,78,9,48,891,210,182
2021,Barking and Dagenham 008A,E01000021,99,24,110,8,3,83,9,54,686,179,117
2021,Barking and Dagenham 008B,E01000022,86,29,107,7,3,63,6,52,638,147,138
2021,Barking and Dagenham 008D,E01000024,109,22,116,6,4,83,6,31,627,145,105
2021,Barking and Dagenham 008E,E01000025,157,44,124,5,3,106,9,42,841,175,176
2021,Barking and Dagenham 001A,E01000027,126,49,119,9,6,95,3,42,802,212,141
2021,Barking and Dagenham 001B,E01000028,94,38,109,21,3,82,7,40,684,164,126
2021,Barking and Dagenham 001C,E01000029,112,45,104,9,6,92,6,45,774,168,187
2021,Barking and Dagenham 001D,E01000030,141,65,140,25,5,125,10,34,976,207,224
2021,Barking and Dagenham 002A,E01000031,130,60,96,7,3,67,6,35,789,143,242
2021,Barking and Dagenham 002B,E01000032,144,32,92,11,3,115,16,62,880,207,198
2021,Barking and Dagenham 006A,E01000033,106,31,101,8,6,77,3,49,592,125,86
2021,Barking and Dagenham 003A,E01000034,88,41,89,11,3,59,9,61,656,155,140
2021,Barking and Dagenham 010A,E01000035,149,46,105,8,3,85,9,50,817,207,155
2021,Barking and Dagenham 010B,E01000036,139,61,64,11,5,61,4,30,690,170,145
2021,Barking and Dagenham 003B,E01000037,114,62,99,7,1,76,7,96,854,165,227
2021,Barking and Dagenham 003C,E01000038,126,45,85,7,2,68,7,90,783,155,198
2021,Barking and Dagenham 003D,E01000039,109,53,81,9,3,73,7,75,820,194,216
2021,Barking and Dagenham 019A,E01000040,143,32,93,5,4,79,1,65,740,167,151
2021,Barking and Dagenham 017A,E01000041,150,30,117,13,8,113,10,50,826,205,130
2021,Barking and Dagenham 017B,E01000042,146,13,89,8,4,112,7,42,708,160,127
2021,Barking and Dagenham 019B,E01000043,137,16,85,11,2,72,6,62,703,171,141
2021,Barking and Dagenham 016D,E01000044,169,22,103,7,11,104,11,66,897,259,145
2021,Barking and Dagenham 017C,E01000045,120,30,89,9,3,103,10,32,727,195,136
2021,Barking and Dagenham 017D,E01000046,165,47,121,4,6,118,16,51,858,195,135
2021,Barking and Dagenham 021C,E01000049,144,24,96,4,6,106,6,73,677,149,69
2021,Barking and Dagenham 019C,E01000050,158,25,72,12,7,115,12,66,818,161,190
2021,Barking and Dagenham 021D,E01000051,132,25,41,6,3,63,0,38,570,98,164
2021,Barking and Dagenham 019D,E01000052,206,27,92,8,8,113,13,78,971,228,198
2021,Barking and Dagenham 020A,E01000053,124,38,66,8,4,95,11,48,691,186,111
2021,Barking and Dagenham 018A,E01000054,153,31,110,14,5,91,6,66,817,198,143
2021,Barking and Dagenham 018B,E01000055,141,49,89,10,7,107,10,58,748,165,112
2021,Barking and Dagenham 018C,E01000056,120,34,94,8,5,99,7,56,708,169,116
2021,Barking and Dagenham 012A,E01000057,107,43,75,15,10,87,12,51,660,148,112
2021,Barking and Dagenham 018D,E01000058,191,45,107,11,1,103,25,65,921,237,136
2021,Barking and Dagenham 013C,E01000059,152,45,88,9,4,103,9,60,784,193,121
2021,Barking and Dagenham 006B,E01000060,147,61,135,11,2,64,14,67,871,196,174
2021,Barking and Dagenham 006C,E01000061,108,51,139,3,3,87,14,70,756,130,151
2021,Barking and Dagenham 006D,E01000062,171,66,152,15,4,90,7,68,1025,258,194
2021,Barking and Dagenham 004A,E01000063,125,30,133,6,2,95,8,61,797,186,151
2021,Barking and Dagenham 006E,E01000064,194,80,149,13,8,91,6,54,1025,236,194
2021,Barking and Dagenham 007A,E01000065,123,42,116,12,5,89,7,60,813,200,159
2021,Barking and Dagenham 011A,E01000066,145,33,124,13,5,123,11,67,977,223,233
2021,Barking and Dagenham 011B,E01000067,173,20,141,8,4,122,11,56,931,171,225
2021,Barking and Dagenham 016E,E01000068,153,29,84,9,6,99,12,54,846,183,217
2021,Barking and Dagenham 011C,E01000069,172,21,137,5,6,116,8,61,1016,183,307
2021,Barking and Dagenham 011D,E01000070,132,17,94,11,5,103,7,62,890,179,280
2021,Barking and Dagenham 011E,E01000071,205,40,115,10,14,138,6,85,1212,260,339
2021,Barking and Dagenham 017E,E01000072,151,28,149,4,10,102,11,35,871,213,168
2021,Barking and Dagenham 012B,E01000073,153,21,102,9,7,106,10,40,788,195,145
2021,Barking and Dagenham 012C,E01000074,124,32,127,9,3,98,5,36,751,166,151
2021,Barking and Dagenham 012D,E01000075,178,45,117,0,5,139,8,60,950,229,169
2021,Barking and Dagenham 012E,E01000076,159,33,132,13,7,110,10,42,855,225,124
2021,Barking and Dagenham 008F,E01000077,137,27,105,5,6,98,8,29,712,167,130
2021,Barking and Dagenham 007B,E01000078,142,39,120,7,8,78,10,69,777,174,130
2021,Barking and Dagenham 009E,E01000079,136,27,96,9,2,64,4,63,723,178,144
2021,Barking and Dagenham 007C,E01000080,153,38,124,6,6,76,7,58,826,200,158
2021,Barking and Dagenham 007D,E01000081,176,46,129,5,7,99,10,74,891,196,149
2021,Barking and Dagenham 007E,E01000082,145,44,147,9,6,89,9,55,861,217,140
2021,Barking and Dagenham 007F,E01000083,120,34,126,13,3,79,6,81,776,175,139
2021,Barking and Dagenham 013D,E01000084,108,52,82,7,4,67,12,55,634,160,87
2021,Barking and Dagenham 013E,E01000085,156,42,101,7,5,73,10,85,733,165,89
2021,Barking and Dagenham 013F,E01000086,123,50,84,4,4,59,5,54,638,160,95
2021,Barking and Dagenham 020B,E01000087,108,52,65,8,8,93,15,51,702,168,134
