date,geography,geography code,Method of travel to workplace: Bicycle,"Method of travel to workplace: Bus, minibus or coach",Method of travel to workplace: Driving a car or van,"Method of travel to workplace: Motorcycle, scooter or moped",Method of travel to workplace: On foot,Method of travel to workplace: Other method of travel to work,Method of travel to workplace: Passenger in a car or van,Method of travel to workplace: Taxi,Method of travel to workplace: Total: All usual residents aged 16 years and over in employment the week before the census,Method of travel to workplace: Train,"Method of travel to workplace: Underground, metro, light rail, tram",Method of travel to workplace: Work mainly at or from home
2021,City of London 001A,E01000001,24,13,18,3,109,4,0,4,866,17,35,639
2021,City of London 001B,E01000002,25,15,19,1,92,7,3,2,881,10,31,676
2021,City of London 001C,E01000003,62,26,24,4,143,17,7,4,1000,21,74,618
2021,City of London 001E,E01000005,18,44,33,3,90,8,1,2,496,25,69,203
2021,Barking and Dagenham 016A,E01000006,6,60,227,5,61,17,10,1,888,104,205,192
2021,Barking and Dagenham 015A,E01000007,21,117,220,3,71,19,21,8,1385,177,358,370
2021,Barking and Dagenham 015B,E01000008,6,125,176,3,40,6,11,4,651,74,126,80
2021,Barking and Dagenham 016B,E01000009,5,70,166,4,44,15,19,1,784,96,201,163
2021,Barking and Dagenham 016C,E01000011,12,86,174,3,42,15,28,1,740,88,155,136
2021,Barking and Dagenham 015D,E01000012,14,98,203,5,38,21,12,10,904,112,203,188
2021,Barking and Dagenham 013A,E01000013,9,76,249,5,43,9,19,2,796,71,187,126
2021,Barking and Dagenham 013B,E01000014,10,80,294,6,30,8,23,4,795,61,133,146
2021,Barking and Dagenham 009A,E01000015,14,105,351,6,54,14,18,9,1064,89,202,202
2021,Barking and Dagenham 009B,E01000016,11,90,305,7,56,15,20,5,862,73,131,149
2021,Barking and Dagenham 009C,E01000017,9,81,254,6,33,13,25,1,754,68,126,138
2021,Barking and Dagenham 009D,E01000018,9,65,275,9,51,12,30,1,833,75,163,143
2021,Barking and Dagenham 023A,E01000019,10,67,255,7,40,10,26,3,687,68,73,128
2021,Barking and Dagenham 023B,E01000020,22,98,317,6,37,11,27,11,892,85,96,182
2021,Barking and Dagenham 008A,E01000021,12,89,264,5,30,7,15,0,684,44,101,117
2021,Barking and Dagenham 008B,E01000022,12,67,240,6,27,9,22,4,637,38,74,138
2021,Barking and Dagenham 008D,E01000024,8,93,235,6,15,10,14,2,629,53,88,105
2021,Barking and Dagenham 008E,E01000025,7,98,272,10,32,13,24,8,838,64,134,176
2021,Barking and Dagenham 001A,E01000027,9,82,335,1,42,9,42,4,806,50,91,141
2021,Barking and Dagenham 001B,E01000028,8,101,258,4,28,6,18,3,687,50,85,126
2021,Barking and Dagenham 001C,E01000029,10,60,303,1,30,10,26,6,772,49,90,187
2021,Barking and Dagenham 001D,E01000030,6,136,368,9,26,19,24,5,977,53,107,224
2021,Barking and Dagenham 002A,E01000031,5,64,268,2,24,18,6,6,790,82,73,242
2021,Barking and Dagenham 002B,E01000032,4,96,299,5,40,12,26,6,883,89,108,198
2021,Barking and Dagenham 006A,E01000033,10,78,237,3,28,10,17,3,591,52,67,86
2021,Barking and Dagenham 003A,E01000034,2,78,257,4,25,8,17,5,654,36,82,140
2021,Barking and Dagenham 010A,E01000035,7,74,253,6,42,9,24,10,817,75,162,155
2021,Barking and Dagenham 010B,E01000036,8,51,220,0,16,11,11,6,695,55,172,145
2021,Barking and Dagenham 003B,E01000037,13,52,341,13,49,6,25,1,853,62,64,227
2021,Barking and Dagenham 003C,E01000038,7,63,310,9,37,6,24,7,780,48,71,198
2021,Barking and Dagenham 003D,E01000039,18,69,312,7,34,8,24,9,821,59,65,216
2021,Barking and Dagenham 019A,E01000040,1,65,213,4,37,7,20,5,737,83,151,151
2021,Barking and Dagenham 017A,E01000041,17,82,286,5,31,16,24,4,824,61,168,130
2021,Barking and Dagenham 017B,E01000042,8,64,201,7,27,9,12,3,709,106,145,127
2021,Barking and Dagenham 019B,E01000043,10,72,222,1,39,7,18,1,700,76,113,141
