date,geography,geography code,"Occupation (current): 1. Managers, directors and senior officials",Occupation (current): 2. Professional occupations,Occupation (current): 3. Associate professional and technical occupations,Occupation (current): 4. Administrative and secretarial occupations,Occupation (current): 5. Skilled trades occupations,"Occupation (current): 6. Caring, leisure and other service occupations",Occupation (current): 7. Sales and customer service occupations,"Occupation (current): 8. Process, plant and machine operatives",Occupation (current): 9. Elementary occupations,Occupation (current): Total: All usual residents aged 16 years and over in employment the week before the census
2021,City of London 001A,E01000001,194,407,185,38,5,20,14,6,4,873
2021,City of London 001B,E01000002,218,417,187,35,3,5,3,3,7,878
2021,City of London 001C,E01000003,190,390,215,72,28,27,26,10,42,1000
2021,City of London 001E,E01000005,52,129,59,45,21,52,34,16,86,494
2021,Barking and Dagenham 016A,E01000006,75,126,99,68,107,82,68,101,161,887
2021,Barking and Dagenham 015A,E01000007,128,290,162,141,84,167,122,85,205,1384
2021,Barking and Dagenham 015B,E01000008,36,73,63,49,66,100,59,66,138,650
2021,Barking and Dagenham 016B,E01000009,57,123,62,70,109,62,70,70,160,783
2021,Barking and Dagenham 016C,E01000011,36,108,69,55,117,52,63,86,151,737
2021,Barking and Dagenham 015D,E01000012,60,129,95,59,91,104,75,100,189,902
2021,Barking and Dagenham 013A,E01000013,66,104,67,67,120,106,70,74,126,800
2021,Barking and Dagenham 013B,E01000014,66,89,87,81,100,88,57,84,143,795
2021,Barking and Dagenham 009A,E01000015,65,156,92,88,156,141,82,96,187,1063
2021,Barking and Dagenham 009B,E01000016,69,129,73,79,119,107,65,78,145,864
2021,Barking and Dagenham 009C,E01000017,45,132,69,75,92,98,54,65,121,751
2021,Barking and Dagenham 009D,E01000018,72,115,68,86,109,100,68,63,151,832
2021,Barking and Dagenham 023A,E01000019,61,89,62,75,76,68,57,77,124,689
2021,Barking and Dagenham 023B,E01000020,52,122,99,100,117,79,61,96,166,892
2021,Barking and Dagenham 008A,E01000021,46,85,69,60,98,95,62,65,104,684
2021,Barking and Dagenham 008B,E01000022,50,101,56,66,70,75,64,61,95,638
2021,Barking and Dagenham 008D,E01000024,40,100,61,59,77,61,50,75,106,629
2021,Barking and Dagenham 008E,E01000025,56,113,92,85,91,100,80,66,156,839
2021,Barking and Dagenham 001A,E01000027,77,104,84,67,127,94,58,84,110,805
2021,Barking and Dagenham 001B,E01000028,32,126,56,61,85,80,47,67,132,686
2021,Barking and Dagenham 001C,E01000029,81,159,73,74,102,69,64,61,93,776
2021,Barking and Dagenham 001D,E01000030,86,144,96,96,100,139,84,90,143,978
2021,Barking and Dagenham 002A,E01000031,94,160,90,101,69,82,69,47,80,792
2021,Barking and Dagenham 002B,E01000032,86,124,98,89,112,92,83,78,123,885
2021,Barking and Dagenham 006A,E01000033,42,87,45,59,58,84,53,48,113,589
2021,Barking and Dagenham 003A,E01000034,52,101,69,59,94,77,47,60,95,654
2021,Barking and Dagenham 010A,E01000035,65,126,69,60,114,102,56,93,133,818
2021,Barking and Dagenham 010B,E01000036,46,119,57,67,98,58,48,81,120,694
2021,Barking and Dagenham 003B,E01000037,73,166,104,107,113,75,56,71,91,856
2021,Barking and Dagenham 003C,E01000038,60,172,85,88,86,70,56,70,96,783
2021,Barking and Dagenham 003D,E01000039,77,178,92,89,97,80,56,80,74,823
