date,geography,geography code,Employment history: Not in employment: Never worked,Employment history: Not in employment: Not worked in the last 12 months,Employment history: Not in employment: Worked in the last 12 months,Employment history: Total: All usual residents aged 16 years and over not in employment the week before the census
2021,City of London 001A,E01000001,57,346,83,486
2021,City of London 001B,E01000002,80,286,52,418
2021,City of London 001C,E01000003,68,331,105,504
2021,City of London 001E,E01000005,225,165,73,463
2021,Barking and Dagenham 016A,E01000006,243,223,78,544
2021,Barking and Dagenham 015A,E01000007,336,277,162,775
2021,Barking and Dagenham 015B,E01000008,315,205,89,609
2021,Barking and Dagenham 016B,E01000009,289,237,99,625
2021,Barking and Dagenham 016C,E01000011,301,191,91,583
2021,Barking and Dagenham 015D,E01000012,312,242,122,676
2021,Barking and Dagenham 013A,E01000013,211,302,86,599
2021,Barking and Dagenham 013B,E01000014,212,236,76,524
2021,Barking and Dagenham 009A,E01000015,281,277,113,671
2021,Barking and Dagenham 009B,E01000016,222,225,93,540
2021,Barking and Dagenham 009C,E01000017,234,236,82,552
2021,Barking and Dagenham 009D,E01000018,199,241,80,520
2021,Barking and Dagenham 023A,E01000019,220,202,65,487
2021,Barking and Dagenham 023B,E01000020,312,310,93,715
2021,Barking and Dagenham 008A,E01000021,244,229,76,549
2021,Barking and Dagenham 008B,E01000022,185,199,70,454
2021,Barking and Dagenham 008D,E01000024,223,183,84,490
2021,Barking and Dagenham 008E,E01000025,239,278,91,608
2021,Barking and Dagenham 001A,E01000027,278,317,87,682
2021,Barking and Dagenham 001B,E01000028,299,278,86,663
2021,Barking and Dagenham 001C,E01000029,229,365,72,666
2021,Barking and Dagenham 001D,E01000030,299,323,116,738
2021,Barking and Dagenham 002A,E01000031,213,293,101,607
2021,Barking and Dagenham 002B,E01000032,248,347,108,703
2021,Barking and Dagenham 006A,E01000033,192,259,76,527
2021,Barking and Dagenham 003A,E01000034,218,310,85,613
2021,Barking and Dagenham 010A,E01000035,266,287,87,640
2021,Barking and Dagenham 010B,E01000036,178,212,78,468
2021,Barking and Dagenham 003B,E01000037,156,309,83,548
2021,Barking and Dagenham 003C,E01000038,148,292,65,505
2021,Barking and Dagenham 003D,E01000039,188,274,73,535
2021,Barking and Dagenham 019A,E01000040,330,229,110,669
2021,Barking and Dagenham 017A,E01000041,216,249,89,554
2021,Barking and Dagenham 017B,E01000042,263,254,96,613
2021,Barking and Dagenham 019B,E01000043,253,191,70,514
