date,geography,geography code,Schoolchild or full-time student indicator: Not a student,Schoolchild or full-time student indicator: Student,Schoolchild or full-time student indicator: Total
2021,City of London 001A,E01000001,1269,154,1423
2021,City of London 001B,E01000002,1210,141,1351
2021,City of London 001C,E01000003,1436,138,1574
2021,City of London 001E,E01000005,798,252,1050
2021,Barking and Dagenham 016A,E01000006,1276,416,1692
2021,Barking and Dagenham 015A,E01000007,1872,771,2643
2021,Barking and Dagenham 015B,E01000008,1042,631,1673
2021,Barking and Dagenham 016B,E01000009,1266,395,1661
2021,Barking and Dagenham 016C,E01000011,1146,442,1588
2021,Barking and Dagenham 015D,E01000012,1381,693,2074
2021,Barking and Dagenham 013A,E01000013,1278,476,1754
2021,Barking and Dagenham 013B,E01000014,1203,419,1622
2021,Barking and Dagenham 009A,E01000015,1544,659,2203
2021,Barking and Dagenham 009B,E01000016,1253,478,1731
2021,Barking and Dagenham 009C,E01000017,1178,441,1619
2021,Barking and Dagenham 009D,E01000018,1225,435,1660
2021,Barking and Dagenham 023A,E01000019,1056,481,1537
2021,Barking and Dagenham 023B,E01000020,1442,588,2030
2021,Barking and Dagenham 008A,E01000021,1111,452,1563
2021,Barking and Dagenham 008B,E01000022,972,408,1380
2021,Barking and Dagenham 008D,E01000024,1011,374,1385
2021,Barking and Dagenham 008E,E01000025,1307,476,1783
2021,Barking and Dagenham 001A,E01000027,1323,591,1914
2021,Barking and Dagenham 001B,E01000028,1162,524,1686
2021,Barking and Dagenham 001C,E01000029,1309,402,1711
2021,Barking and Dagenham 001D,E01000030,1523,795,2318
2021,Barking and Dagenham 002A,E01000031,1266,383,1649
2021,Barking and Dagenham 002B,E01000032,1451,450,1901
2021,Barking and Dagenham 006A,E01000033,1018,426,1444
2021,Barking and Dagenham 003A,E01000034,1139,354,1493
2021,Barking and Dagenham 010A,E01000035,1285,452,1737
2021,Barking and Dagenham 010B,E01000036,1041,342,1383
2021,Barking and Dagenham 003B,E01000037,1300,308,1608
2021,Barking and Dagenham 003C,E01000038,1199,321,1520
2021,Barking and Dagenham 003D,E01000039,1262,361,1623
2021,Barking and Dagenham 019A,E01000040,1222,484,1706
2021,Barking and Dagenham 017A,E01000041,1224,496,1720
2021,Barking and Dagenham 017B,E01000042,1177,531,1708
2021,Barking and Dagenham 019B,E01000043,1057,399,1456
2021,Barking and Dagenham 016D,E01000044,1320,513,1833
2021,Barking and Dagenham 017C,E01000045,1140,444,1584
2021,Barking and Dagenham 017D,E01000046,1302,508,1810
2021,Barking and Dagenham 021C,E01000049,1093,714,1807
2021,Barking and Dagenham 019C,E01000050,1199,489,1688
2021,Barking and Dagenham 021D,E01000051,683,288,971
2021,Barking and Dagenham 019D,E01000052,1534,596,2130
2021,Barking and Dagenham 020A,E01000053,1119,361,1480
2021,Barking and Dagenham 018A,E01000054,1230,495,1725
2021,Barking and Dagenham 018B,E01000055,1151,428,1579
2021,Barking and Dagenham 018C,E01000056,1161,420,1581
2021,Barking and Dagenham 012A,E01000057,1019,423,1442
2021,Barking and Dagenham 018D,E01000058,1362,623,1985
2021,Barking and Dagenham 013C,E01000059,1169,413,1582
2021,Barking and Dagenham 006B,E01000060,1373,638,2011
2021,Barking and Dagenham 006C,E01000061,1228,536,1764
2021,Barking and Dagenham 006D,E01000062,1498,573,2071
2021,Barking and Dagenham 004A,E01000063,1209,444,1653
2021,Barking and Dagenham 006E,E01000064,1545,579,2124
2021,Barking and Dagenham 007A,E01000065,1380,480,1860
2021,Barking and Dagenham 011A,E01000066,1575,806,2381
2021,Barking and Dagenham 011B,E01000067,1469,599,2068
2021,Barking and Dagenham 016E,E01000068,1292,405,1697
2021,Barking and Dagenham 011C,E01000069,1490,468,1958
2021,Barking and Dagenham 011D,E01000070,1452,475,1927
2021,Barking and Dagenham 011E,E01000071,1754,684,2438
2021,Barking and Dagenham 017E,E01000072,1397,576,1973
2021,Barking and Dagenham 012B,E01000073,1224,492,1716
2021,Barking and Dagenham 012C,E01000074,1139,486,1625
2021,Barking and Dagenham 012D,E01000075,1401,488,1889
2021,Barking and Dagenham 012E,E01000076,1471,555,2026
2021,Barking and Dagenham 008F,E01000077,1173,412,1585
2021,Barking and Dagenham 007B,E01000078,1219,530,1749
2021,Barking and Dagenham 009E,E01000079,1162,425,1587
2021,Barking and Dagenham 007C,E01000080,1218,453,1671
2021,Barking and Dagenham 007D,E01000081,1332,509,1841
2021,Barking and Dagenham 007E,E01000082,1299,489,1788
2021,Barking and Dagenham 007F,E01000083,1246,541,1787
2021,Barking and Dagenham 013D,E01000084,982,372,1354
2021,Barking and Dagenham 013E,E01000085,1111,425,1536
2021,Barking and Dagenham 013F,E01000086,962,383,1345
2021,Barking and Dagenham 020B,E01000087,1070,466,1536
2021,Barking and Dagenham 020C,E01000088,1302,542,1844
2021,Barking and Dagenham 020D,E01000089,1129,570,1699
2021,Barking and Dagenham 020E,E01000090,1061,515,1576
2021,Barking and Dagenham 022A,E01000091,1293,659,1952
2021,Barking and Dagenham 022B,E01000093,1164,488,1652
2021,Barking and Dagenham 022C,E01000094,1471,748,2219
2021,Barking and Dagenham 018E,E01000095,1369,592,1961
2021,Barking and Dagenham 022D,E01000096,909,616,1525
2021,Barking and Dagenham 023C,E01000097,1298,510,1808
2021,Barking and Dagenham 023D,E01000098,1237,534,1771
2021,Barking and Dagenham 023E,E01000099,1809,733,2542
2021,Barking and Dagenham 004B,E01000100,1283,484,1767
2021,Barking and Dagenham 004C,E01000101,1180,403,1583
2021,Barking and Dagenham 007G,E01000102,1167,488,1655
2021,Barking and Dagenham 014A,E01000103,1170,486,1656
2021,Barking and Dagenham 014B,E01000104,1242,515,1757
2021,Barking and Dagenham 014C,E01000105,1598,550,2148
2021,Barking and Dagenham 014D,E01000106,1421,566,1987
2021,Barking and Dagenham 010C,E01000107,1238,427,1665
2021,Barking and Dagenham 010D,E01000108,1300,437,1737
2021,Barking and Dagenham 002C,E01000110,1105,364,1469
2021,Barking and Dagenham 002D,E01000111,1439,503,1942
2021,Barking and Dagenham 002E,E01000112,1352,421,1773
2021,Barking and Dagenham 002F,E01000113,1341,515,1856
2021,Barking and Dagenham 004E,E01000114,1510,699,2209
2021,Barnet 009A,E01000115,1082,261,1343
2021,Barnet 009B,E01000116,1244,415,1659
2021,Barnet 010A,E01000117,1322,321,1643
2021,Barnet 010B,E01000118,1514,446,1960
2021,Barnet 009C,E01000119,1351,378,1729
2021,Barnet 009D,E01000120,1130,325,1455
2021,Barnet 010C,E01000121,1083,332,1415
2021,Barnet 009E,E01000122,1103,344,1447
2021,Barnet 010D,E01000123,1360,298,1658
2021,Barnet 010E,E01000124,1343,412,1755
2021,Barnet 026A,E01000126,1584,551,2135
2021,Barnet 024B,E01000127,1085,371,1456
2021,Barnet 024C,E01000128,1414,524,1938
2021,Barnet 024D,E01000129,1134,383,1517
2021,Barnet 021A,E01000130,1405,417,1822
2021,Barnet 024E,E01000131,1460,399,1859
2021,Barnet 021B,E01000132,1084,406,1490
2021,Barnet 021C,E01000133,1154,397,1551
2021,Barnet 024F,E01000134,1221,452,1673
2021,Barnet 038A,E01000135,1269,332,1601
2021,Barnet 038B,E01000136,1081,346,1427
2021,Barnet 041A,E01000137,1136,420,1556
2021,Barnet 040A,E01000138,1225,310,1535
2021,Barnet 041B,E01000139,1056,270,1326
2021,Barnet 041C,E01000140,1461,382,1843
2021,Barnet 039A,E01000141,1420,347,1767
2021,Barnet 040B,E01000142,1655,434,2089
2021,Barnet 041D,E01000143,1118,384,1502
2021,Barnet 038C,E01000144,1195,362,1557
2021,Barnet 037A,E01000145,1039,468,1507
2021,Barnet 038D,E01000146,1438,356,1794
