indicator_id,title,topic,source_key,source_name,source_file_or_api,source_geography,geography_version,source_period,time_coverage,latest_period_available,history_available,unit,value_field,numerator_field,denominator_field,aggregation_method,benchmark_method,polarity,caveats,last_refresh_date,review_required,qof_group_code,qof_group_description,qof_indicator_code,qof_metric_kind,qof_domain,qof_sub_domain,qof_patient_list_type
qof_achievement_af006,Atrial fibrillation: stroke risk assessed using CHA2DS2-VASc score,Health & Wider Determinants,qof_lsoa_2425,NHS England Quality and Outcomes Framework,london_maps/data_for_app/QOF/qof_lsoa_long.csv,LSOA,2021,2024/25,2021/22 to 2024/25,2024/25,True,share,value,numerator,denominator,recompute_rate_from_numerator_denominator,direct_aggregate,neutral,Neighbourhood estimate allocated from GP-practice QOF achievement data using practice-to-LSOA GP registrations and Census 2021 age structure.,2026-03-23,False,AF,Atrial fibrillation,AF006,achievement,Clinical,Clinical,TOTAL
qof_achievement_af007,Atrial fibrillation: high-risk patients on anticoagulation (retired 2022/23),Health & Wider Determinants,qof_lsoa_2425,NHS England Quality and Outcomes Framework,london_maps/data_for_app/QOF/qof_lsoa_long.csv,LSOA,2021,2022/23,2021/22 to 2022/23,2022/23,True,share,value,numerator,denominator,recompute_rate_from_numerator_denominator,direct_aggregate,neutral,Neighbourhood estimate allocated from GP-practice QOF achievement data using practice-to-LSOA GP registrations and Census 2021 age structure.,2026-03-23,False,AF,Atrial fibrillation,AF007,achievement,Clinical,,TOTAL
qof_achievement_af008,Atrial fibrillation: high-risk patients treated with anticoagulation,Health & Wider Determinants,qof_lsoa_2425,NHS England Quality and Outcomes Framework,london_maps/data_for_app/QOF/qof_lsoa_long.csv,LSOA,2021,2024/25,2023/24 to 2024/25,2024/25,True,share,value,numerator,denominator,recompute_rate_from_numerator_denominator,direct_aggregate,neutral,Neighbourhood estimate allocated from GP-practice QOF achievement data using practice-to-LSOA GP registrations and Census 2021 age structure.,2026-03-23,False,AF,Atrial fibrillation,AF008,achievement,Clinical,Clinical,TOTAL
qof_achievement_ast006,Asthma: annual asthma review completed,Health & Wider Determinants,qof_lsoa_2425,NHS England Quality and Outcomes Framework,london_maps/data_for_app/QOF/qof_lsoa_long.csv,LSOA,2021,2022/23,2021/22 to 2022/23,2022/23,True,share,value,numerator,denominator,recompute_rate_from_numerator_denominator,direct_aggregate,neutral,Neighbourhood estimate allocated from GP-practice QOF achievement data using practice-to-LSOA GP registrations and Census 2021 age structure.,2026-03-23,False,AST,Asthma,AST006,achievement,Clinical,,06OV
qof_achievement_ast007,Asthma: review including inhaler technique and written action plan,Health & Wider Determinants,qof_lsoa_2425,NHS England Quality and Outcomes Framework,london_maps/data_for_app/QOF/qof_lsoa_long.csv,LSOA,2021,2024/25,2021/22 to 2024/25,2024/25,True,share,value,numerator,denominator,recompute_rate_from_numerator_denominator,direct_aggregate,neutral,Neighbourhood estimate allocated from GP-practice QOF achievement data using practice-to-LSOA GP registrations and Census 2021 age structure.,2026-03-23,False,AST,Asthma,AST007,achievement,Clinical,Clinical,06OV
qof_achievement_ast008,Asthma: personal asthma action plan recorded (age 19 and under),Health & Wider Determinants,qof_lsoa_2425,NHS England Quality and Outcomes Framework,london_maps/data_for_app/QOF/qof_lsoa_long.csv,LSOA,2021,2024/25,2021/22 to 2024/25,2024/25,True,share,value,numerator,denominator,recompute_rate_from_numerator_denominator,direct_aggregate,neutral,Neighbourhood estimate allocated from GP-practice QOF achievement data using practice-to-LSOA GP registrations and Census 2021 age structure.,2026-03-23,False,AST,Asthma,AST008,achievement,Clinical,Clinical,06_19
qof_achievement_ast011,Asthma: new diagnosis confirmed with spirometry or PCAM record,Health & Wider Determinants,qof_lsoa_2425,NHS England Quality and Outcomes Framework,london_maps/data_for_app/QOF/qof_lsoa_long.csv,LSOA,2021,2024/25,2023/24 to 2024/25,2024/25,True,share,value,numerator,denominator,recompute_rate_from_numerator_denominator,direct_aggregate,neutral,Neighbourhood estimate allocated from GP-practice QOF achievement data using practice-to-LSOA GP registrations and Census 2021 age structure.,2026-03-23,False,AST,Asthma,AST011,achievement,Clinical,Clinical,06OV
qof_achievement_bp002,Blood pressure: measurement recorded in last 5 years (age 45 and over),Health & Wider Determinants,qof_lsoa_2425,NHS England Quality and Outcomes Framework,london_maps/data_for_app/QOF/qof_lsoa_long.csv,LSOA,2021,2024/25,2021/22 to 2024/25,2024/25,True,share,value,numerator,denominator,recompute_rate_from_numerator_denominator,direct_aggregate,neutral,Neighbourhood estimate allocated from GP-practice QOF achievement data using practice-to-LSOA GP registrations and Census 2021 age structure.,2026-03-23,False,BP,Blood pressure,BP002,achievement,Public Health,Public Health,45OV
qof_achievement_can004,Cancer: care plan reviewed within 24 months of diagnosis,Health & Wider Determinants,qof_lsoa_2425,NHS England Quality and Outcomes Framework,london_maps/data_for_app/QOF/qof_lsoa_long.csv,LSOA,2021,2024/25,2021/22 to 2024/25,2024/25,True,share,value,numerator,denominator,recompute_rate_from_numerator_denominator,direct_aggregate,neutral,Neighbourhood estimate allocated from GP-practice QOF achievement data using practice-to-LSOA GP registrations and Census 2021 age structure.,2026-03-23,False,CAN,Cancer,CAN004,achievement,Clinical,Clinical,TOTAL
qof_achievement_can005,Cancer: holistic needs assessment offered within 12 months of diagnosis,Health & Wider Determinants,qof_lsoa_2425,NHS England Quality and Outcomes Framework,london_maps/data_for_app/QOF/qof_lsoa_long.csv,LSOA,2021,2024/25,2021/22 to 2024/25,2024/25,True,share,value,numerator,denominator,recompute_rate_from_numerator_denominator,direct_aggregate,neutral,Neighbourhood estimate allocated from GP-practice QOF achievement data using practice-to-LSOA GP registrations and Census 2021 age structure.,2026-03-23,False,CAN,Cancer,CAN005,achievement,Clinical,Clinical,TOTAL
qof_achievement_chd005,Coronary heart disease: cholesterol checked in last 12 months,Health & Wider Determinants,qof_lsoa_2425,NHS England Quality and Outcomes Framework,london_maps/data_for_app/QOF/qof_lsoa_long.csv,LSOA,2021,2024/25,2021/22 to 2024/25,2024/25,True,share,value,numerator,denominator,recompute_rate_from_numerator_denominator,direct_aggregate,neutral,Neighbourhood estimate allocated from GP-practice QOF achievement data using practice-to-LSOA GP registrations and Census 2021 age structure.,2026-03-23,False,CHD,Secondary prevention of coronary heart disease,CHD005,achievement,Clinical,Clinical,TOTAL
qof_achievement_chd008,Coronary heart disease: blood pressure recorded in last 12 months,Health & Wider Determinants,qof_lsoa_2425,NHS England Quality and Outcomes Framework,london_maps/data_for_app/QOF/qof_lsoa_long.csv,LSOA,2021,2022/23,2021/22 to 2022/23,2022/23,True,share,value,numerator,denominator,recompute_rate_from_numerator_denominator,direct_aggregate,neutral,Neighbourhood estimate allocated from GP-practice QOF achievement data using practice-to-LSOA GP registrations and Census 2021 age structure.,2026-03-23,False,CHD,Secondary prevention of coronary heart disease,CHD008,achievement,Clinical,,79UN
qof_achievement_chd009,Coronary heart disease: flu vaccination received,Health & Wider Determinants,qof_lsoa_2425,NHS England Quality and Outcomes Framework,london_maps/data_for_app/QOF/qof_lsoa_long.csv,LSOA,2021,2022/23,2021/22 to 2022/23,2022/23,True,share,value,numerator,denominator,recompute_rate_from_numerator_denominator,direct_aggregate,neutral,Neighbourhood estimate allocated from GP-practice QOF achievement data using practice-to-LSOA GP registrations and Census 2021 age structure.,2026-03-23,False,CHD,Secondary prevention of coronary heart disease,CHD009,achievement,Clinical,,80OV
