inventory_item_id,indicator_id,ui_title,short_title,source_name,category,subcategory,category_final,subcategory_final,ui_exposure_level,currently_in_app,api_candidate_status,use_mode,neighbourhood_suitability,geography_level,geography_type,period_type,time_coverage,latest_period_available,unit_type,polarity,direction_hint,metric_family,history_available,default_view,primary_visual_final,secondary_visual_final,module_bundle_view,view_toggle_options_compact,view_toggle_options_full,comparison_view,benchmark_style,comparator_note,trend_view,trend_note,map_view_final,map_role,map_note,distribution_view,composition_view,axis_guidance,labelling_guidance,accessibility_guidance,misinterpretation_risks,visual_rationale,expert_review_questions,expert_review_amendment,operational_review_notes,operational_review_amendment,pie_allowed,suggested_aggregation_method,aggregation_warning,methodology_summary,caveats,source_url,docs_url,review_include_decision,review_primary_visual_override,review_secondary_visual_override,review_notes,notes,title
api::nomis api::nomis_home_family_share,nomis_home_family_share,Residents aged 16+ looking after home or family,Looking after home or family,Nomis API,"Children, Families & Young People",Household and caring roles,Health & Wellbeing,"Health, disability & care",hidden,True,currently_in_app,direct_neighbourhood_candidate,HIGH,LSOA,official_small_area,snapshot,2021 snapshot,2021,share,neutral,higher_is_context_dependent,snapshot_comparison,False,benchmark_lollipop,benchmark_lollipop,choropleth_map,stacked_100_bar,benchmark_lollipop|stacked_100_bar|choropleth_map,benchmark_lollipop|stacked_100_bar|grouped_bar|choropleth_map|ranked_distribution|table_support_only,benchmark_lollipop,direct_labelled_markers_selected_borough_london,Compare selected neighbourhood(s) to borough and London using direct-labelled markers; preserve multi-borough logic.,none,Trend not a default focus.,choropleth_map,optional_area_pattern_view,Map is optional and should always be paired with a ranked or benchmark comparison view.,ranked_distribution,stacked_100_bar,Use a shared baseline and consistent scale across comparators; marker charts may crop the axis if it improves readability without exaggeration.,"Direct-label Selected, Borough and London markers; avoid legends.",Keep backgrounds plain and gridlines light; do not rely on colour alone; prefer direct labels over legends; use accessible contrast and provide plain-language help text.,"Snapshot comparisons show the latest available position; small differences may not be practically meaningful, so keep comparator labels and units explicit.",Default to a direct comparison view because neighbourhood users usually need to know how the selected area compares with borough and London before exploring detail.,Does the scale exaggerate small differences or make very large benchmark gaps meaningless?,"Direct-label Selected, Borough and London and keep the scale consistent across similar indicators.",Lead with a simple sentence: above or below borough and London.,Show simple comparator badges and a one-line interpretation first.,no,recompute_share_from_category_counts,Recompute from category counts rather than averaging local shares.,Aggregate residents looking after home or family and divide by the resident population aged 16 and over.,Static 2021 snapshot.,https://www.nomisweb.co.uk/datasets/c2021ts066,https://www.nomisweb.co.uk/api/v01/help,group_under_profile_indicator,benchmark_lollipop,choropleth_map,Hidden from the public Explorer because this component is now covered by a richer profile indicator with composition toggles.,Helps surface unpaid household and caring responsibilities that sit alongside paid work indicators.,
next_wave::ea_flood_area_overlap_share,ea_flood_area_overlap_share,Area covered by flood areas,Area covered by flood areas,Environment Agency Flood Monitoring API,Environment & Access,Environment & access,Environment & Access,Environment & air quality,advanced,True,currently_in_app,neighbourhood_estimate_with_caveats,MEDIUM,Flood areas / polygons,environmental_overlay,snapshot,Reference flood-area geometry,Live reference endpoint,share,negative,Higher is worse,environmental_overlay_share,False,benchmark_lollipop,benchmark_lollipop,choropleth_map,,benchmark_lollipop | choropleth_map,benchmark_lollipop | choropleth_map | ranked_distribution,benchmark_lollipop,borough_and_london,,,,choropleth_map,supplementary,,ranked_distribution,,Start bar charts at zero and keep any comparison axis consistent across areas.,Use direct labels and plain-English titles; avoid legends where the selection is small enough to label directly.,"Keep contrast strong, minimise clutter, and provide a ranked or benchmark alternative where a map is shown.",Users may over-read it as a prediction of actual flooding rather than contextual exposure.,Overlap share can be mappable because it is normalised and spatially explicit.,,,,,False,area_weighted_mean,Needs explicit spatial overlay logic and careful public explanation.,Intersect flood-area polygons with neighbourhood boundaries and calculate a proportional overlap measure.,"Represents flood-area context, not actual flooding or neighbourhood-level risk realised at a specific time.",https://environment.data.gov.uk/flood-monitoring/doc/reference,https://environment.data.gov.uk/flood-monitoring/doc/reference,,,,,Implemented in the live app from the Environment Agency flood-area API as a contextual climate and flood-exposure overlay.,
next_wave::dft_average_annual_daily_traffic,dft_average_annual_daily_traffic,Average annual daily motor traffic,Average annual daily motor traffic,Department for Transport Road Traffic Statistics API,Environment & Access,Transport & connectivity,Environment & Access,Transport & connectivity,advanced,True,currently_in_app,neighbourhood_estimate_with_caveats,MEDIUM,Traffic count points,transport_count_points,annual,Annual 2024 snapshot,2024,count,negative,Higher is worse,transport_context,False,benchmark_lollipop,benchmark_lollipop,ranked_distribution,,benchmark_lollipop,benchmark_lollipop | ranked_distribution,benchmark_lollipop,borough_and_london,,,,,,,ranked_distribution,,Start bar charts at zero and keep any comparison axis consistent across areas.,Use direct labels and plain-English titles; avoid legends where the selection is small enough to label directly.,"Keep contrast strong, minimise clutter, and provide a ranked or benchmark alternative where a map is shown.",Users may assume the value represents all traffic in the neighbourhood rather than sampled traffic-flow context.,A direct comparison chart is easier to read than a map for a derived traffic-exposure measure.,,,,,False,area_weighted_mean,Do not simply average point values; would need a clear summarisation rule and explainability guardrails.,"If used, summarise count-point traffic flow into a neighbourhood-context measure with explicit spatial rules.",Count points sample traffic locations rather than representing every street evenly.,https://roadtraffic.dft.gov.uk/,https://roadtraffic.dft.gov.uk/api-docs,,,,,Implemented in the live app from the DfT road traffic API as an advanced sampled traffic-flow context measure.,
next_wave::naptan_bus_access_node_count,naptan_bus_access_node_count,Bus stops,Bus stops,NaPTAN / NPTG API,Environment & Access,Transport & connectivity,Environment & Access,Transport & connectivity,advanced,True,currently_in_app,direct_neighbourhood_candidate,HIGH,Transport access nodes,transport_access_nodes,snapshot,Current reference extract,Live API reference data,count,positive,Higher is better,transport_access_count,False,benchmark_lollipop,benchmark_lollipop,ranked_strip,domain_tile_matrix,benchmark_lollipop,benchmark_lollipop | ranked_strip,benchmark_lollipop,borough_and_london,,,,,,,ranked_strip,,Start bar charts at zero and keep any comparison axis consistent across areas.,Use direct labels and plain-English titles; avoid legends where the selection is small enough to label directly.,"Keep contrast strong, minimise clutter, and provide a ranked or benchmark alternative where a map is shown.",,,,,,,False,sum_counts,Better suited to advanced transport exploration than the default public landing view.,Filter access nodes by bus mode and aggregate spatially to neighbourhoods.,Still an infrastructure proxy rather than a direct measure of service frequency or quality.,https://beta-naptan.dft.gov.uk/,https://naptan.api.dft.gov.uk/swagger/index.html,,,,,Implemented in the live app from the NaPTAN API as an advanced transport-access measure.,
next_wave::naptan_public_transport_access_node_count,naptan_public_transport_access_node_count,Public transport stops and stations,Public transport stops and stations,NaPTAN / NPTG API,Environment & Access,Transport & connectivity,Environment & Access,Transport & connectivity,standard,True,currently_in_app,direct_neighbourhood_candidate,HIGH,Transport access nodes,transport_access_nodes,snapshot,Current reference extract,Live API reference data,count,positive,Higher is better,transport_access_count,False,benchmark_lollipop,benchmark_lollipop,ranked_distribution,domain_tile_matrix,benchmark_lollipop,benchmark_lollipop | ranked_distribution,benchmark_lollipop,borough_and_london,,,,,,,ranked_distribution,,Start bar charts at zero and keep any comparison axis consistent across areas.,Use direct labels and plain-English titles; avoid legends where the selection is small enough to label directly.,"Keep contrast strong, minimise clutter, and provide a ranked or benchmark alternative where a map is shown.",Users may mistake raw node counts for access quality without considering population or area size.,"A benchmark comparison works well first, especially when paired later with a density alternative.",,,,,False,sum_counts,"Raw counts can be shown, but density or per-population normalisation is often easier to interpret.","Download access-node CSV, spatially join points to neighbourhoods, then sum counts.",Raw counts should be complemented by density or context notes because larger neighbourhoods can naturally contain more nodes.,https://beta-naptan.dft.gov.uk/,https://naptan.api.dft.gov.uk/swagger/index.html,,,,,Implemented in the live app from the NaPTAN API as a direct neighbourhood transport-context measure.,
next_wave::naptan_access_node_density,naptan_access_node_density,Public transport stops and stations density,Public transport stops and stations density,NaPTAN / NPTG API,Environment & Access,Transport & connectivity,Environment & Access,Transport & connectivity,standard,True,currently_in_app,direct_neighbourhood_candidate,HIGH,Transport access nodes,transport_access_nodes,snapshot,Current reference extract,Live API reference data,density_per_sq_km,positive,Higher is better,transport_access_density,False,benchmark_lollipop,benchmark_lollipop,choropleth_map,domain_tile_matrix,benchmark_lollipop,benchmark_lollipop | choropleth_map | choropleth_map,benchmark_lollipop,borough_and_london,,,,choropleth_map,supplementary,,choropleth_map,,Start bar charts at zero and keep any comparison axis consistent across areas.,Use direct labels and plain-English titles; avoid legends where the selection is small enough to label directly.,"Keep contrast strong, minimise clutter, and provide a ranked or benchmark alternative where a map is shown.",Users may read it as an all-purpose accessibility score rather than one transport-infrastructure proxy.,Density is the more mappable and more comparable form of the access-node concept.,,,,,False,area_weighted_mean,Use a clear density denominator and explain that node density is a proxy rather than a full accessibility measure.,Count access nodes by neighbourhood and divide by neighbourhood area or an agreed access denominator.,"Density is more interpretable than raw count, but still not a full public transport accessibility score.",https://beta-naptan.dft.gov.uk/,https://naptan.api.dft.gov.uk/swagger/index.html,,,,,Implemented in the live app from the NaPTAN API as a density-based neighbourhood transport-context measure.,
next_wave::naptan_rail_and_tube_node_count,naptan_rail_and_tube_node_count,Rail and Tube stations,Rail and Tube stations,NaPTAN / NPTG API,Environment & Access,Transport & connectivity,Environment & Access,Transport & connectivity,advanced,True,currently_in_app,direct_neighbourhood_candidate,HIGH,Transport access nodes,transport_access_nodes,snapshot,Current reference extract,Live API reference data,count,positive,Higher is better,transport_access_count,False,benchmark_lollipop,benchmark_lollipop,ranked_strip,domain_tile_matrix,benchmark_lollipop,benchmark_lollipop | ranked_strip,benchmark_lollipop,borough_and_london,,,,,,,ranked_strip,,Start bar charts at zero and keep any comparison axis consistent across areas.,Use direct labels and plain-English titles; avoid legends where the selection is small enough to label directly.,"Keep contrast strong, minimise clutter, and provide a ranked or benchmark alternative where a map is shown.",,,,,,,False,sum_counts,Useful in advanced views; raw counts will strongly favour inner London if shown without context.,Filter the access-node dataset to rail- and tube-related nodes and aggregate spatially.,A specialist transport context metric rather than a universal access summary.,https://beta-naptan.dft.gov.uk/,https://naptan.api.dft.gov.uk/swagger/index.html,,,,,Implemented in the live app from the NaPTAN API as an advanced transport-access measure.,
next_wave::tfl_cycle_dock_capacity_total,tfl_cycle_dock_capacity_total,Cycle hire dock capacity,Cycle hire dock capacity,TfL Unified API,Environment & Access,Transport & connectivity,Environment & Access,Transport & connectivity,advanced,True,currently_in_app,neighbourhood_estimate_with_caveats,MEDIUM,Point features,transport_infrastructure_points,snapshot,Current reference inventory,2026-03-22,count,positive,Higher is better,transport_infrastructure,False,benchmark_lollipop,benchmark_lollipop,ranked_distribution,domain_tile_matrix,benchmark_lollipop,benchmark_lollipop | ranked_distribution,benchmark_lollipop,borough_and_london,,,,,,,ranked_distribution,,Start bar charts at zero and keep any comparison axis consistent across areas.,Use direct labels and plain-English titles; avoid legends where the selection is small enough to label directly.,"Keep contrast strong, minimise clutter, and provide a ranked or benchmark alternative where a map is shown.",Users may assume a low value means poor overall transport access rather than lack of cycle-hire provision.,A comparison view is clearer than a map for a small central-London infrastructure feature set.,,,,,False,sum_counts,Raw dock-capacity totals strongly favour central neighbourhoods with dense cycle-hire coverage.,"Download BikePoint locations, extract installed dock counts, spatially join to neighbourhoods, and sum total dock capacity.",Dock capacity reflects cycle-hire infrastructure only and should not be read as overall transport capacity.,https://api.tfl.gov.uk/BikePoint,https://api.tfl.gov.uk/,,,,,Implemented in the live app from the TfL BikePoint API as an advanced cycle-hire capacity measure.,
next_wave::tfl_cycle_dock_capacity_density,tfl_cycle_dock_capacity_density,Cycle hire dock capacity density,Cycle hire dock capacity density,TfL Unified API,Environment & Access,Transport & connectivity,Environment & Access,Transport & connectivity,advanced,True,currently_in_app,neighbourhood_estimate_with_caveats,MEDIUM,Point features,transport_infrastructure_points,snapshot,Current reference inventory,2026-03-22,density_per_sq_km,positive,Higher is better,transport_infrastructure_density,False,benchmark_lollipop,benchmark_lollipop,choropleth_map,domain_tile_matrix,benchmark_lollipop | choropleth_map,benchmark_lollipop | choropleth_map | ranked_distribution,benchmark_lollipop,borough_and_london,,,,choropleth_map,supplementary,Only use the map as a secondary view because the cycle-hire network is geographically bounded.,ranked_distribution,,Start bar charts at zero and keep any comparison axis consistent across areas.,Use direct labels and plain-English titles; avoid legends where the selection is small enough to label directly.,"Keep contrast strong, minimise clutter, and provide a ranked or benchmark alternative where a map is shown.",Users may assume a low value means poor overall transport access rather than lack of cycle-hire provision.,A comparison view is clearer than a map for a small central-London infrastructure feature set.,,,,,False,recompute_rate_from_numerator_denominator,"Even as a density, this remains a bounded cycle-hire infrastructure measure concentrated in parts of London.","Download BikePoint locations, sum installed dock capacity per neighbourhood, and divide by neighbourhood area.","This is a density of cycle-hire docking spaces, not a measure of all local transport options or travel demand.",https://api.tfl.gov.uk/BikePoint,https://api.tfl.gov.uk/,,,,,Implemented in the live app from the TfL BikePoint API as an advanced density-based cycle-hire capacity measure.,
next_wave::tfl_cycle_docking_station_count,tfl_cycle_docking_station_count,Cycle hire docking stations,Cycle hire docking stations,TfL Unified API,Environment & Access,Transport & connectivity,Environment & Access,Transport & connectivity,advanced,True,currently_in_app,neighbourhood_estimate_with_caveats,MEDIUM,Point features,transport_infrastructure_points,snapshot,Current reference inventory,Live API inventory,count,positive,Higher is better,transport_infrastructure,False,benchmark_lollipop,benchmark_lollipop,ranked_distribution,domain_tile_matrix,benchmark_lollipop,benchmark_lollipop | ranked_distribution,benchmark_lollipop,borough_and_london,,,,,,,ranked_distribution,,Start bar charts at zero and keep any comparison axis consistent across areas.,Use direct labels and plain-English titles; avoid legends where the selection is small enough to label directly.,"Keep contrast strong, minimise clutter, and provide a ranked or benchmark alternative where a map is shown.",Users may assume a low value means poor overall transport access rather than lack of cycle-hire provision.,A comparison view is clearer than a map for a small central-London infrastructure feature set.,,,,,False,sum_counts,"Raw counts strongly favour central London and should be read as bounded cycle-hire coverage, not general transport access.","Download BikePoint locations, keep installed sites, spatially join to neighbourhoods, then count stations.",Cycle-hire infrastructure is concentrated in parts of London and should not be read as a general transport-access score.,https://api.tfl.gov.uk/BikePoint,https://api.tfl.gov.uk/,,,,,Implemented in the live app from the TfL BikePoint API as an advanced cycle-infrastructure context measure.,
